r_kpc,v_obs,v_model
0.77,35.1,8.774964387392123e-07
1.59,77.9,1.2609520212918492e-06
2.36,115.0,1.5362291495737214e-06
3.13,156.0,1.769180601295413e-06
3.95,192.0,1.987460691435179e-06
4.73,204.0,2.1748563170931545e-06
5.5,209.0,2.345207879911715e-06
6.27,220.0,2.503996805109783e-06
7.08,231.0,2.660826939130014e-06
7.86,235.0,2.8035691537752375e-06
8.66,245.0,2.9427877939124325e-06
9.45,246.0,3.074085229787879e-06
10.24,239.0,3.2e-06
11.02,240.0,3.3196385345395665e-06
11.79,240.0,3.433656942677879e-06
12.47,246.0,3.531288716601915e-06
13.34,241.0,3.6523964735499346e-06
14.11,250.0,3.7563279941985895e-06
14.59,242.0,3.819685850956856e-06
14.98,244.0,3.870400496072726e-06
15.75,248.0,3.968626966596886e-06
16.52,249.0,4.064480286580315e-06
17.1,246.0,4.135214625627067e-06
17.88,241.0,4.228474902373194e-06
18.65,247.0,4.318564576337836e-06
19.62,234.0,4.4294469180700204e-06
20.78,249.0,4.558508528016593e-06
22.13,236.0,4.70425339453563e-06
23.0,245.0,4.7958315233127195e-06
23.58,243.0,4.855924216871594e-06
25.03,238.0,5.0029991005395955e-06
25.9,247.0,5.089204259999789e-06
