r_kpc,v_obs,v_model
0.12,4.2,497.70517232720846
0.36,9.41,418.3785891131586
0.59,15.3,284.3444265322642
0.83,18.4,199.07155789078428
1.07,23.4,13.598141774744152
1.31,28.1,1.1445523142259596e-06
1.54,33.1,1.2409673645990857e-06
1.79,37.5,1.3379088160259653e-06
2.02,40.5,1.4212670403551894e-06
2.26,42.3,1.5033296378372907e-06
2.49,45.2,1.57797338380595e-06
2.74,47.4,1.6552945357246848e-06
2.97,48.1,1.7233687939614085e-06
3.21,48.8,1.7916472867168918e-06
3.44,50.7,1.8547236990991407e-06
3.69,52.1,1.9209372712298546e-06
3.92,53.0,1.979898987322333e-06
4.16,53.7,2.039607805437114e-06
4.4,51.2,2.0976176963403034e-06
4.64,51.6,2.1540659228538017e-06
4.87,51.5,2.2068076490713912e-06
5.11,50.4,2.260530911091463e-06
5.35,48.5,2.3130067012440753e-06
5.59,50.0,2.364318083507378e-06
5.82,49.0,2.412467616362964e-06
6.06,49.4,2.4617067250182343e-06
