galaxy,gamma_topo,n_points,n_segments,mean_Dw_i,mean_sigma_i,mean_beta_i,mean_info_source_i,mean_v_struct_kms,rmse_vis_only_kms,rmse_topo_kms,mae_vis_only_kms,mae_topo_kms,reduced_chi2_vis_only,reduced_chi2_topo,rmse_improvement_kms,mae_improvement_kms
DDO168,1e-06,9,2,2.048143220556609,0.025129852138522812,0.9452501590223938,0.069261383617133,0.00028812863084597227,19.024813323289894,19.024813322104404,15.826201390734967,15.826201388057278,128.81094172142923,128.81094170326128,1.185490816624224e-09,2.6776891814961346e-09
DDO168,0.0001,9,2,2.048143220556609,0.025129852138522812,0.9452501590223938,0.069261383617133,0.002881286308459723,19.024813323289894,19.024813204740582,15.826201390734967,15.826201122966374,128.81094172142923,128.8109399046345,1.1854931258881152e-07,2.6776859307631184e-07
DDO168,0.01,9,2,2.048143220556609,0.025129852138522812,0.9452501590223938,0.069261383617133,0.02881286308459723,19.024813323289894,19.024801468404885,15.826201390734967,15.826174613932134,128.81094172142923,128.81076004226745,1.1854885009654481e-05,2.6776802833694546e-05
DDO168,1.0,9,2,2.048143220556609,0.025129852138522812,0.9452501590223938,0.069261383617133,0.2881286308459723,19.024813323289894,19.02362829805748,15.826201390734967,15.823524274366207,128.81094172142923,128.79277694681954,0.0011850252324130395,0.002677116368760224
DDO168,100.0,9,2,2.048143220556609,0.025129852138522812,0.9452501590223938,0.069261383617133,2.881286308459723,19.024813323289894,18.910659182997232,15.826201390734967,15.563739740262134,128.81094172142923,127.02490966692349,0.11415414029266202,0.262461650472833
DDO168,10000.0,9,2,2.048143220556609,0.025129852138522812,0.9452501590223938,0.069261383617133,28.81286308459723,19.024813323289894,19.133508007724576,15.826201390734967,16.209634103430204,128.81094172142923,84.81495194980485,-0.10869468443468122,-0.38343271269523704
DDO168,1000000.0,9,2,2.048143220556609,0.025129852138522812,0.9452501590223938,0.069261383617133,288.1286308459723,19.024813323289894,294.2852368026308,15.826201390734967,275.903110349474,128.81094172142923,32330.904738402387,-275.2604234793409,-260.076908958739
ESO563-G021,1e-06,26,5,2.008788424053411,0.005749287926006286,0.9749421862207205,0.013913114581428892,0.00015480096104405024,64.78208319473143,64.78208319479373,57.10482145811693,57.10482145820236,67.4922502885804,67.49225028865405,-6.230038707144558e-11,-8.542855312043685e-11
ESO563-G021,0.0001,26,5,2.008788424053411,0.005749287926006286,0.9749421862207205,0.013913114581428892,0.0015480096104405025,64.78208319473143,64.78208320096267,57.10482145811693,57.104821466660795,67.4922502885804,67.49225029594591,-6.231246629795351e-09,-8.543864282728464e-09
ESO563-G021,0.01,26,5,2.008788424053411,0.005749287926006286,0.9749421862207205,0.013913114581428892,0.015480096104405025,64.78208319473143,64.78208381785738,57.10482145811693,57.10482231250471,67.4922502885804,67.49225102513239,-6.231259561673141e-07,-8.543877783040443e-07
