galaxy,source_file,beta_mode,beta_mean,beta_max,d_eff_mean,d_eff_max,cinfo_cap_mean,eta_mean,projection_mean,struct_to_bar_ratio_mean,struct_to_bar_ratio_max,sigma_flip_severity,a_newton_source,rmse_kmps,mean_absolute_fractional_error,n_points,status,error
F563-V2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F563-V2_normalized.csv,local_structural_coupling_v5,92.5996682688065,111.63756967816389,2.3722929945075473,2.4400398990666625,0.5889171978030192,0.4937579620385595,0.8176657786392394,0.40840811407377975,0.7592453429176268,32.887745330221335,baryonic_velocity_components,53.42764913648347,0.5031104103035338,10,ok,
F565-V2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F565-V2_normalized.csv,local_structural_coupling_v5,83.11299333853414,99.48506838499844,2.3687331530855937,2.4143135955513446,0.5874932612342377,0.49272237180671835,0.8190959470859579,0.3070333238579268,0.527764119926925,4.595934876367136,baryonic_velocity_components,39.09068789285523,0.533346334591666,7,ok,
F567-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F567-2_normalized.csv,local_structural_coupling_v5,77.35968150277877,93.53703238718857,2.394698245208355,2.4120778088679726,0.5978792980833421,0.5002758531515216,0.8243174703701696,0.4643782276185795,0.5684163217469927,3.673960308399657,baryonic_velocity_components,20.062032514692287,0.4212287573044183,5,ok,
F568-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F568-1_normalized.csv,local_structural_coupling_v5,78.89787959678615,113.01757900331988,2.3722908617580702,2.4175345851697068,0.5889163447032283,0.4937573416023478,0.799912814111322,0.2662895836576538,0.6370817005423548,23.658947700251183,baryonic_velocity_components,63.037003485101316,0.4992079119952546,12,ok,
F568-3,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F568-3_normalized.csv,local_structural_coupling_v5,93.08382117139128,111.48594364859389,2.3732098576787966,2.47101124781317,0.5892839430715185,0.4940246858701954,0.8089615760216486,0.352318226554021,0.5439456410324969,14.679235977022687,baryonic_velocity_components,40.406179908714755,0.3966198594829322,18,ok,
F568-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F568-V1_normalized.csv,local_structural_coupling_v5,91.00200811256356,109.94265371319383,2.3821927281437985,2.4476621172648296,0.5928770912575195,0.49663788455092317,0.8061029803405947,0.4064918167948082,0.6220676646933178,38.4456620519658,baryonic_velocity_components,63.874203980470476,0.5696764393045785,15,ok,
F571-8,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F571-8_normalized.csv,local_structural_coupling_v5,69.68250777009717,105.01501260229563,2.3556356404541234,2.4241514640798134,0.5822542561816493,0.48891218631392686,0.7903527234977579,0.43632644478250904,0.5597468927789461,610.9270562083817,baryonic_velocity_components,62.09741936705618,0.8003854584599707,13,ok,
F571-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F571-V1_normalized.csv,local_structural_coupling_v5,91.58925987415189,95.58306325513519,2.3591325666436527,2.4489621269245094,0.5836530266574611,0.48992947393269903,0.8143597989812225,0.3029373248055104,0.5152936242502908,9.066723197373504,baryonic_velocity_components,41.529032597183665,0.49670549540211884,7,ok,
F574-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F574-1_normalized.csv,local_structural_coupling_v5,83.90666528306545,111.78785030764894,2.3745007266111733,2.3891733595010267,0.5898002906444691,0.4944002113777958,0.8189122250061894,0.34731555996267355,0.6784800757216254,31.453308877581264,baryonic_velocity_components,43.59677348829785,0.4371984461118161,14,ok,
F574-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F574-2_normalized.csv,local_structural_coupling_v5,93.38124948018599,104.55300558501577,2.3764375901788286,2.391623331243675,0.5905750360715316,0.4949636625974775,0.8193607609542406,0.35556914962750985,0.5249369544805894,2.9531182988523756,baryonic_velocity_components,2.7782220728501352,0.11921396531439302,5,ok,
F579-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F579-V1_normalized.csv,local_structural_coupling_v5,90.15123912777668,109.70189873751325,2.3847281540238856,2.4769260205304025,0.5938912616095541,0.4973754629887667,0.8126362037599406,0.39008087580745165,0.6503479480254585,48.673325324617565,baryonic_velocity_components,48.41141799472917,0.4632744919482645,14,ok,
F583-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F583-1_normalized.csv,local_structural_coupling_v5,88.77618866887151,115.77429917943651,2.378570958730734,2.4762211802522085,0.5914283834922938,0.49558427890348633,0.8057994741702609,0.3522119157058537,0.6149863505424165,8.187515029346502,baryonic_velocity_components,36.676585217004195,0.5568294501453483,25,ok,
F583-4,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F583-4_normalized.csv,local_structural_coupling_v5,91.28576180632416,108.70187937014954,2.371140767141991,2.431281535604279,0.5884563068567965,0.49342276862312473,0.8203134865602536,0.4517075413407101,0.7895227771445017,46.32477795193334,baryonic_velocity_components,26.19717482267811,0.37992422480533955,12,ok,
IC2574,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\IC2574_normalized.csv,local_structural_coupling_v5,81.5722247825857,111.5171143042081,2.3638230256714783,2.45715734980507,0.5855292102685914,0.49129397110443,0.8150208311697598,0.32029427854552345,0.5236750296363208,8.832275464130348,baryonic_velocity_components,21.739371663200966,0.3714438578270687,34,ok,
IC4202,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\IC4202_normalized.csv,local_structural_coupling_v5,84.5350585213173,109.32348166971501,2.354078963877605,2.434221054695449,0.5816315855510421,0.48845933494621246,0.8053122206443712,0.32838889320772513,0.4859149746631295,85.49992301919553,baryonic_velocity_components,52.86490171296836,0.28912353672881097,32,ok,
KK98-251,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\KK98-251_normalized.csv,local_structural_coupling_v5,79.30821337865987,101.82209178027634,2.368513357599499,2.443042656618234,0.5874053430397999,0.4926584313016726,0.8067730185832662,0.45159776739149826,0.5576318916521079,24.20666301033316,baryonic_velocity_components,9.546304898290265,0.220772405953029,15,ok,
NGC0024,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC0024_normalized.csv,local_structural_coupling_v5,83.46862647893778,105.39379637682117,2.38429116121802,2.479990403403755,0.593716464487208,0.49724833780887867,0.7951961410162653,0.48732183438196575,0.9636745846951303,208.78451454437206,baryonic_velocity_components,44.513160225091056,0.37935020753606596,29,ok,
NGC0055,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC0055_normalized.csv,local_structural_coupling_v5,81.72194087923862,103.56055224008716,2.3559944852984422,2.4405877768595783,0.582397794119377,0.4890165775413651,0.8026631270042944,0.40072162135402917,0.47029934858864264,9.251464727000027,baryonic_velocity_components,33.4264391526334,0.41505103298331875,21,ok,
NGC0100,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC0100_normalized.csv,local_structural_coupling_v5,83.1018252674006,104.72118028580323,2.345962087326101,2.416025106752752,0.5783848349304405,0.48609806176759307,0.8014816119127058,0.4469441595086307,0.6219336921406171,95.4376397856145,baryonic_velocity_components,37.96302434869395,0.46826005402227416,21,ok,
NGC0247,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC0247_normalized.csv,local_structural_coupling_v5,85.62081752645237,106.28945283315956,2.3780575462202944,2.479940443916875,0.5912230184881178,0.49543492253681287,0.8069847864531492,0.35638410154826683,0.5126465087955532,17.283365415358443,baryonic_velocity_components,42.21567152042311,0.4424671809750342,26,ok,
NGC0289,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC0289_normalized.csv,local_structural_coupling_v5,77.47571207161859,112.41681265195898,2.368575699532222,2.418435237758763,0.5874302798128889,0.4926765671366464,0.7912939956093771,0.0844080126995148,0.19775406078766422,6.0777586521741895,baryonic_velocity_components,57.76463983523911,0.3100355578382817,28,ok,
NGC0300,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC0300_normalized.csv,local_structural_coupling_v5,87.34886966170968,106.74901303172373,2.3767933394222083,2.4616746294918777,0.5907173357688833,0.4950671532864606,0.8024196073946732,0.4778731256577518,0.49671590722360276,9.101239838713212,baryonic_velocity_components,48.758630263895895,0.5570957018217318,25,ok,
NGC0801,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC0801_normalized.csv,local_structural_coupling_v5,69.18194102478728,106.33747217971955,2.337521291146582,2.419455535886688,0.575008516458633,0.48364255742446033,0.7938607574094265,0.3544751989962366,0.7274345733147981,320.55953150561726,baryonic_velocity_components,43.026523342813874,0.17900193657044636,13,ok,
NGC0891,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC0891_normalized.csv,local_structural_coupling_v5,78.34420429930343,109.91195956632467,2.3675181140144335,2.410145161138241,0.5870072456057734,0.49236890589510796,0.7959761290903574,0.42673138849784653,0.5527701669941374,328.331659203393,baryonic_velocity_components,33.719065833233074,0.14180961632865988,18,ok,
NGC1003,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC1003_normalized.csv,local_structural_coupling_v5,77.91604179057565,112.17271387631169,2.361152562460426,2.411194601942153,0.5844610249841703,0.4905171090793966,0.7947694840819342,0.28528387659590765,0.4419484515823237,2.6868725909583944,baryonic_velocity_components,54.89953214439106,0.4981238383167211,36,ok,
NGC1090,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC1090_normalized.csv,local_structural_coupling_v5,74.80196941241799,106.36095468230248,2.3402015546943082,2.399060025789782,0.5760806218777232,0.48442227045652597,0.7954182709461923,0.27011156886281945,0.4989824545803745,191.03009653207573,baryonic_velocity_components,41.75663881765941,0.35516312386291676,24,ok,
NGC1705,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC1705_normalized.csv,local_structural_coupling_v5,74.10433191504285,109.31243104145315,2.3589686644713233,2.3975511695671603,0.5835874657885293,0.4898817933007486,0.7932522596719984,0.5024516071498468,0.5356295576436186,86.99573816839518,baryonic_velocity_components,47.258489209698524,0.6603381103049275,14,ok,
NGC2366,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC2366_normalized.csv,local_structural_coupling_v5,87.7086616129459,109.20588536592228,2.3637048402845906,2.444253007836017,0.5854819361138364,0.4912595899009719,0.8074714182872742,0.47014323724826773,0.7513502871171632,56.60871746810654,baryonic_velocity_components,23.820332498713476,0.4825915646249497,26,ok,
NGC2403,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC2403_normalized.csv,local_structural_coupling_v5,70.08619103181584,112.24937527622725,2.352748241809348,2.4403860055980218,0.5810992967237394,0.48807221579908316,0.7920636159652794,0.35466836728571466,0.541505609440796,461.35207373140145,baryonic_velocity_components,47.762500465947376,0.36500585172199485,73,ok,
NGC2683,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC2683_normalized.csv,local_structural_coupling_v5,75.70637466728827,109.0502879927073,2.3633712457442213,2.3913195944665815,0.5853484982976886,0.49116254421650074,0.7925739313193944,0.36244965938307827,0.5241162416761236,78.64158994204311,baryonic_velocity_components,56.07526725994801,0.30357240499790583,11,ok,
NGC2841,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC2841_normalized.csv,local_structural_coupling_v5,60.933733526553226,111.71156233327847,2.3810507087389277,2.428340915007097,0.592420283495571,0.4963056607240517,0.7971067492870333,0.2567935296825697,0.4645699459308316,96.31337270453025,baryonic_velocity_components,115.31778915797283,0.3805847614336628,50,ok,
NGC2903,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC2903_normalized.csv,local_structural_coupling_v5,68.63250684347048,109.96122804933528,2.34318092474947,2.3869484660390192,0.5772723698997883,0.48528899629075495,0.7886528129791744,0.3424477562352163,0.55226944649018,279.8961487452084,baryonic_velocity_components,47.215407201210716,0.2932687672356271,34,ok,
NGC2915,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC2915_normalized.csv,local_structural_coupling_v5,74.06282161936585,113.39562766014853,2.3681734965028194,2.40929796839997,0.5872693986011278,0.49255956261900197,0.8003211953103293,0.43815031130899096,0.5238765994175697,7.915078867618405,baryonic_velocity_components,55.10579538321089,0.6966641305470263,30,ok,
NGC2955,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC2955_normalized.csv,local_structural_coupling_v5,69.65542963564694,106.29419146993065,2.3589253247997553,2.436123361858615,0.5835701299199021,0.4898691853962925,0.7917856204465532,0.3382908178487258,0.476369494871904,202.45240854979102,baryonic_velocity_components,27.59523103748397,0.104679365684962,24,ok,
NGC2976,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC2976_normalized.csv,local_structural_coupling_v5,83.8720739589141,100.35810099292007,2.3863005003215068,2.476533346683718,0.5945202001286026,0.49783287282080185,0.8077491153663067,0.4740048400159128,0.5456517301638488,886.8763921427571,baryonic_velocity_components,16.34094636008856,0.3566890135151236,27,ok,
NGC2998,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC2998_normalized.csv,local_structural_coupling_v5,77.88414650006078,103.7381217666587,2.333472834090776,2.429287299145773,0.5733891336363105,0.4824648244627712,0.8002363986745871,0.2504631760800333,0.519894470494289,163.0303072052486,baryonic_velocity_components,43.177530119288434,0.1933535316621528,13,ok,
NGC3109,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC3109_normalized.csv,local_structural_coupling_v5,81.95027359743752,113.2321401915438,2.3775852979387095,2.4743711484438733,0.5910341191754838,0.49529754121853364,0.8193658811354464,0.46267009816457344,0.5971574314354334,14.107603793664502,baryonic_velocity_components,34.56669795833322,0.6019966511407726,25,ok,
NGC3198,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC3198_normalized.csv,local_structural_coupling_v5,71.69930105262728,110.47663359718531,2.353879938697557,2.4361978248304164,0.581551975479023,0.48840143671201675,0.7904662164411634,0.28434019778300584,0.5075992139087642,139.58439112317762,baryonic_velocity_components,45.795308046616235,0.3048132347489657,43,ok,
NGC3521,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC3521_normalized.csv,local_structural_coupling_v5,81.61386657302357,109.46674907280006,2.3817752258847436,2.4612679334126746,0.5927100903538975,0.4965164293482892,0.7935045310454069,0.4721406385378141,0.5154323827131925,631.6317606787843,baryonic_velocity_components,31.20819843395126,0.12521402024320022,41,ok,
NGC3726,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC3726_normalized.csv,local_structural_coupling_v5,74.97122377564143,100.34375569228231,2.3590475446694086,2.4342589635207488,0.5836190178677634,0.4899047402674643,0.7992992962449931,0.35156910400194996,0.4271986593998429,49.90156465817421,baryonic_velocity_components,41.39305863853429,0.2067128567268257,12,ok,
NGC3741,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC3741_normalized.csv,local_structural_coupling_v5,90.48930141859735,112.95730147534326,2.3546799773659592,2.418490037299987,0.5818719909463839,0.48863417523373365,0.8058262639288837,0.4900604925005177,0.5242601231475128,4.880283506515326,baryonic_velocity_components,28.658211802414332,0.6962784675697699,21,ok,
NGC3769,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC3769_normalized.csv,local_structural_coupling_v5,70.71639516173211,109.18953830131021,2.3623047650853572,2.405278968867391,0.5849219060341432,0.4908522952975587,0.7940353161100604,0.422222708010362,0.5308240469351971,61.55173071062649,baryonic_velocity_components,51.711797703449285,0.4011330425170198,12,ok,
NGC3877,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC3877_normalized.csv,local_structural_coupling_v5,85.7718686775648,107.9381764373802,2.3602569837664213,2.4671143611118103,0.5841027935065686,0.4902565770956863,0.8196179749538994,0.41431608326348923,0.5341439957696598,262.7754199564598,baryonic_velocity_components,28.167839552376268,0.21239703739899898,13,ok,
NGC3893,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC3893_normalized.csv,local_structural_coupling_v5,78.48490769579466,108.62169676707609,2.361905080786675,2.4027809750883025,0.5847620323146699,0.4907360235015782,0.7996875355781169,0.4663895232429657,0.5503832397123342,264.5286943309145,baryonic_velocity_components,59.73672693833088,0.31175984152004055,10,ok,
NGC3917,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC3917_normalized.csv,local_structural_coupling_v5,84.99416290851843,91.7168459873386,2.3551846389352464,2.472854095569027,0.5820738555740986,0.48878098587207175,0.8103927215562576,0.3361445332947369,0.4847728367590448,56.824250166254714,baryonic_velocity_components,43.61097775740936,0.29621798865547594,17,ok,
NGC3949,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC3949_normalized.csv,local_structural_coupling_v5,88.78165423523862,92.5672801812704,2.3378466722722426,2.4080216615366483,0.5751386689088972,0.4837372137519252,0.8099400033616061,0.48931954162257174,0.550124518727828,207.9050188162987,baryonic_velocity_components,32.33486957699635,0.15447992830755936,7,ok,
NGC3953,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC3953_normalized.csv,local_structural_coupling_v5,94.46742499393356,104.56799730090972,2.385474411324093,2.4608319579046065,0.5941897645296372,0.49759255602155433,0.8212437118323135,0.45142460567649084,0.4827760015192514,101.63346221867982,baryonic_velocity_components,43.324780179208105,0.19859781073138197,8,ok,
NGC3972,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC3972_normalized.csv,local_structural_coupling_v5,81.7685921593419,97.19496482291304,2.3865329695943553,2.4799803446669535,0.5946131878377424,0.4979005002456308,0.8233304329613403,0.4788383022919344,0.5473496705406159,64.3778339443214,baryonic_velocity_components,45.31368566216854,0.3773661291214112,10,ok,
NGC3992,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC3992_normalized.csv,local_structural_coupling_v5,73.82587639173187,95.9227586547404,2.3396777907291035,2.3880905357915525,0.5758711162916416,0.4842699027575574,0.802038376768626,0.1587004055740351,0.19803795689180587,24.277153425826256,baryonic_velocity_components,66.54286258135649,0.25892218118043614,9,ok,
NGC4010,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC4010_normalized.csv,local_structural_coupling_v5,93.26756719110541,105.21121244383461,2.374041067420823,2.4587176255551695,0.5896164269683295,0.49426649234060327,0.821216974239411,0.4281233083123728,0.6285564544421605,173.0835424408872,baryonic_velocity_components,39.591584201585476,0.33388426746937866,12,ok,
NGC4013,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC4013_normalized.csv,local_structural_coupling_v5,78.20636605012412,112.41206572631592,2.3650807099697957,2.3927851615341478,0.5860322839879182,0.4916598429003043,0.7907427570955112,0.2599115684167188,0.40856632524576775,14.21068682358893,baryonic_velocity_components,49.859067164077715,0.2628999339222661,36,ok,
NGC4051,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC4051_normalized.csv,local_structural_coupling_v5,89.1906094617486,101.13165906350106,2.3690588643643165,2.450469593671814,0.5876235457457267,0.4928171241787104,0.826644039620658,0.5138393721637596,0.7704741510648413,372.72785459850604,baryonic_velocity_components,30.262113809543326,0.19954363421519128,7,ok,
NGC4068,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC4068_normalized.csv,local_structural_coupling_v5,87.03832244451486,98.06723468695058,2.3525998095191314,2.404571034580521,0.5810399238076526,0.4880290354964747,0.8227992069190138,0.3932513539065807,0.6527913353770458,89.70575259754845,baryonic_velocity_components,10.136489885799001,0.4127318018644243,6,ok,
NGC4085,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC4085_normalized.csv,local_structural_coupling_v5,87.96198263387238,90.8712283491086,2.3723441808096877,2.462817413682311,0.5889376723238751,0.49377285259918186,0.8111531559622138,0.49734902869957825,0.5739916904212341,63.98291146448719,baryonic_velocity_components,25.63144202607269,0.25647221031813944,7,ok,
NGC4088,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC4088_normalized.csv,local_structural_coupling_v5,85.09086764903869,99.45495220594069,2.340784274346841,2.4124971337482632,0.5763137097387364,0.4845917889008991,0.799113578655089,0.4206007293508547,0.4765730515766769,106.2689261011746,baryonic_velocity_components,24.628006410981257,0.1321598259352634,12,ok,
NGC4100,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC4100_normalized.csv,local_structural_coupling_v5,80.34012027980417,107.44071152025325,2.347487635945957,2.3960837712027137,0.5789950543783828,0.48654185772973296,0.7961264228163086,0.3343974270436704,0.449295669965996,97.11614365367603,baryonic_velocity_components,53.99327153632899,0.296135556736106,24,ok,
NGC4138,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC4138_normalized.csv,local_structural_coupling_v5,80.15362698281261,107.39978474784644,2.357629268979636,2.3819998698861715,0.5830517075918547,0.4894921509758942,0.7992768554250743,0.5362246097012513,0.6595125182297848,387.794194572666,baryonic_velocity_components,66.72825582904234,0.3820097024655618,7,ok,
