dataset,observation_date,time_value,time_reference,radius_arcsec,ra_offset_arcsec,dec_offset_arcsec,x_center_arcsec,y_center_arcsec,source_id,observation_date_dt,mass_proxy_raw,echo_volume_proxy_raw,echo_volume_proxy_safe,mass_volume_proxy_raw,mass_volume_proxy_log,sigma_mass_volume,dsigma_mass_volume_dt,Dw_trial_mass_volume,radius_standard,radius_topological,sigma_radius_obs
Tylenda,2002-04-30,120.0,t in days since 2002-01-01 per paper,18.55,,,-0.84,0.46,SRC-01,2002-04-30,72.57586078622346,6383.101375000001,6383.101375000001,0.0113699997105597,0.0113058470827831,1.0,-0.0171875967935615,2.2,18.55,19.477500000000003,0.5565
Tylenda,2002-05-20,140.0,t in days since 2002-01-01 per paper,20.89,,,-1.12,0.51,SRC-01,2002-05-20,72.57586078622346,9116.230969,9116.230969,0.0079611695922382,0.0079296466772543,0.6562480641287695,-0.0070731986775878,2.4750015486969845,20.89,21.575451102982502,0.6267
Tylenda,2002-09-02,245.0,t in days since 2002-01-01 per paper,30.32,,,-2.27,0.37,SRC-01,2002-09-02,73.18136078622348,27873.248768,27873.248768,0.0026255052432294,0.0026220646252629,0.115850165301519,-0.0038044922529653,2.9073198677587846,30.32,30.495628850597107,0.9096
Tylenda,2002-10-28,301.0,t in days since 2002-01-01 per paper,33.68,,,-2.36,1.11,SRC-01,2002-10-28,73.18136078622348,38204.652032,38204.652032,0.0019155091564484,0.0019136769082033,0.0437248114013554,-0.0010929260877501,2.965020150878916,33.68,33.75363258239988,1.0104
Tylenda,2002-12-17,351.0,t in days since 2002-01-01 per paper,36.66,,,-2.61,1.58,SRC-01,2002-12-17,73.18136078622348,49269.41229599999,49269.41229599999,0.0014853304997138,0.001484228487467,0.0,-0.0008744962280271,3.0,36.66,36.66,1.0997999999999999
