dataset,observation_date,time_value,time_reference,radius_arcsec,ra_offset_arcsec,dec_offset_arcsec,x_center_arcsec,y_center_arcsec,source_id,observation_date_dt,mass_proxy_raw,echo_volume_proxy_raw,echo_volume_proxy_safe,mass_volume_proxy_raw,mass_volume_proxy_log,sigma_mass_volume,dsigma_mass_volume_dt,Dw_trial_mass_volume,radius_standard,radius_topological,sigma_radius_obs
Crause,2002-05-01,85.0,time since 2002-02-05 peak per paper,19.5,-1.0,1.0,,,SRC-02,2002-05-01,72.57586078622346,7414.875,7414.875,0.0097878738058596,0.0097402828598403,1.0,-0.0075462930739071,2.2,19.5,20.475,0.585
Crause,2002-06-02,117.0,time since 2002-02-05 peak per paper,21.4,0.0,0.0,,,SRC-02,2002-06-02,73.18136078622348,9800.343999999996,9800.343999999996,0.0074672236797222,0.0074394819816941,0.7585186216349725,-0.005695298563629,2.393185102692022,21.4,22.21161492514942,0.6419999999999999
Crause,2002-09-16,223.0,time since 2002-02-05 peak per paper,31.9,-2.0,0.0,,,SRC-02,2002-09-16,73.18136078622348,32461.758999999995,32461.758999999995,0.0022543867935876,0.0022518494763608,0.2140487982191877,-0.003889314702664,2.8287609614246496,31.9,32.241407833159606,0.957
Crause,2002-10-31,268.0,time since 2002-02-05 peak per paper,34.1,-2.0,2.0,,,SRC-02,2002-10-31,73.18136078622348,39651.821,39651.821,0.0018455989899234,0.0018438979647262,0.1712321015326944,-0.0008396962544923,2.8630143187738444,34.1,34.39195073311324,1.023
Crause,2003-01-26,355.0,time since 2002-02-05 peak per paper,39.4,-3.0,2.0,,,SRC-02,2003-01-26,73.18136078622348,61162.984,61162.984,0.0011964975545703,0.0011957823218305,0.1032088926261965,-0.0006189217887074,2.917432885899043,39.4,39.60332151847361,1.182
Crause,2003-04-19,438.0,time since 2002-02-05 peak per paper,44.3,-4.0,3.0,,,SRC-02,2003-04-19,73.18136078622348,86938.30699999999,86938.30699999999,0.000841761972501,0.0008414078895803,0.0660153974524355,-0.0004273029381024,2.947187682038052,44.3,44.44622410535714,1.329
Crause,2003-05-21,470.0,time since 2002-02-05 peak per paper,46.5,-5.0,3.0,,,SRC-02,2003-05-21,73.18136078622348,100544.625,100544.625,0.0007278495572112,0.0007275848031819,0.0540690547444155,-0.00022646699163,2.9567447562044675,46.5,46.625710552280765,1.395
Crause,2003-09-12,584.0,time since 2002-02-05 peak per paper,51.8,-6.0,3.0,,,SRC-02,2003-09-12,73.18136078622348,138991.83199999997,138991.83199999997,0.0005265155493901,0.0005263769887123,0.0329512166744523,-0.000164610875026,2.9736390266604382,51.8,51.88534365118682,1.5539999999999998
Crause,2003-11-03,636.0,time since 2002-02-05 peak per paper,53.9,-7.0,3.0,,,SRC-02,2003-11-03,73.18136078622348,156590.819,156590.819,0.000467341324693,0.0004672321547478,0.0267436494900973,-8.806131556648093e-05,2.978605080407922,53.9,53.972074135375806,1.617
Crause,2004-03-24,778.0,time since 2002-02-05 peak per paper,58.6,-7.0,5.0,,,SRC-02,2004-03-24,73.18136078622348,201230.056,201230.056,0.000363670130799,0.0003636040188451,0.015867321454555,-8.527934957803408e-05,2.987306142836356,58.6,58.646491251861846,1.758
Crause,2004-05-07,822.0,time since 2002-02-05 peak per paper,61.4,-8.0,7.0,,,SRC-02,2004-05-07,73.18136078622348,231475.544,231475.544,0.0003161515878594,0.0003161016224769,0.0108816904685829,-6.056229562807267e-05,2.9912946476251334,61.4,61.433406789738555,1.8419999999999999
Crause,2004-12-11,1040.0,time since 2002-02-05 peak per paper,70.1,-10.0,9.0,,,SRC-02,2004-12-11,73.18136078622348,344472.1009999999,344472.1009999999,0.0002124449572948,0.0002124223940605,0.0,-4.991601132377516e-05,3.0,70.1,70.1,2.1029999999999998
