galaxy,source_file,beta_mode,status,error
KK98-251,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\KK98-251_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC0024,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0024_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC0055,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0055_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC0100,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0100_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC0247,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0247_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC0289,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0289_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC0300,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0300_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC0801,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0801_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC0891,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0891_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC1003,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC1003_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC1090,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC1090_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC1705,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC1705_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC2366,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2366_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC2403,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2403_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC2683,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2683_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC2841,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2841_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC2903,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2903_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
