galaxy,source_file,beta_mode,status,error
UGC06917,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06917_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC06923,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06923_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC06930,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06930_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC06973,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06973_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC06983,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06983_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC07089,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC07089_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC07125,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC07125_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC07151,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC07151_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC07232,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC07232_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC07261,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC07261_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC07323,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC07323_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC07399,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC07399_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC07524,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC07524_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC07559,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC07559_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC07577,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC07577_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC07603,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC07603_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC07608,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC07608_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC07690,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC07690_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC07866,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC07866_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC08286,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC08286_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC08490,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC08490_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC08550,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC08550_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC08699,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC08699_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC08837,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC08837_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC09037,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC09037_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC09133,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC09133_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC09992,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC09992_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC10310,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC10310_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC11455,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC11455_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC11557,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC11557_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC11820,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC11820_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC11914,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC11914_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC12506,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC12506_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC12632,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC12632_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC12732,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC12732_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGCA281,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGCA281_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGCA442,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGCA442_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGCA444,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGCA444_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
