galaxy,matched_sparc_name,h_kpc_source,r_kpc,v_obs_kms,v_vis_kms,h_kpc,r_min_kpc,r_max_kpc,delta_r_kpc,Dw,sigma,sigma_scale,beta,rho_struct,M_struct,g_topo_kms2_per_kpc,v_struct_kms,v_topo_kms,residual_kms,abs_residual_kms,sq_error
NGC4010,NGC4010,structure_2014_z0,0.87,39.3,32.75,9.94,0.87,10.47,0.87,3.094306441334692,0.0,0.4019654353657139,1.0,9.574732352885365,8.330017147010267,4.732338979012307e-05,0.006416490404996105,32.750000628570206,6.5499993714297915,6.5499993714297915,42.902491765730666
NGC4010,NGC4010,structure_2014_z0,1.74,54.6,63.957868945111045,9.94,0.87,10.47,0.87,2.6355684321265596,0.45873800920813235,0.4019654353657139,0.3194235059269211,2.2187862521210766,10.260361186355603,1.457245114986428e-05,0.005035480612688708,63.9578691433358,-9.357869143335797,9.357869143335797,87.56971490379625
NGC4010,NGC4010,structure_2014_z0,2.61,65.5,84.18683982666175,9.94,0.87,10.47,0.8699999999999999,2.4617110587906414,0.1738573733359181,0.4019654353657139,0.6488730326102085,3.932184422603683,13.681361634020806,8.636082122442342e-06,0.004747649348843542,84.1868399605317,-18.6868399605317,18.6868399605317,349.1979877105244
NGC4010,NGC4010,structure_2014_z0,3.5,83.9,95.08020719371618,9.94,0.87,10.47,0.8900000000000001,2.364171677033835,0.09753938175680643,0.4019654353657139,0.7845412381889965,4.385042398082656,17.58404936831437,6.172360186428719e-06,0.004647930792567862,95.08020730732163,-11.180207307321623,11.180207307321623,124.99703543468783
NGC4010,NGC4010,structure_2014_z0,4.37,94.3,99.52326813363797,9.94,0.87,10.47,0.8700000000000001,2.3028628158395357,0.06130886119429935,0.4019654353657139,0.8585393884752892,4.552986466114906,21.54514759383434,4.851265632300932e-06,0.0046043491193821385,99.52326824014588,-5.2232682401458845,5.2232682401458845,27.282531108516686
NGC4010,NGC4010,structure_2014_z0,5.24,104.0,100.64390542899257,9.94,0.87,10.47,0.8700000000000001,2.2595445337240445,0.04331828211549116,0.4019654353657139,0.8978374983261718,4.583946607854694,25.533181142667924,3.998626205985668e-06,0.00457742299982915,100.64390553308631,3.3560944669136887,3.3560944669136887,11.263370070848676
NGC4010,NGC4010,structure_2014_z0,6.11,115.0,101.9057628399886,9.94,0.87,10.47,0.8700000000000001,2.2271480307973457,0.03239650292669882,0.4019654353657139,0.9225670290849033,4.576106230761567,29.514393563430488,3.3995379933824005e-06,0.004557540689842107,101.90576294190225,13.094237058097747,13.094237058097747,171.45904413366034
NGC4010,NGC4010,structure_2014_z0,6.98,127.0,103.40600466123811,9.94,0.87,10.47,0.8700000000000001,2.2019312252410383,0.025216805556307342,0.4019654353657139,0.9391934856593227,4.5536806677653825,33.47609574438637,2.954557263504844e-06,0.00454123438056921,103.40600476095578,23.59399523904422,23.59399523904422,556.6766113400413
NGC4010,NGC4010,structure_2014_z0,7.85,129.0,104.68091755425151,9.94,0.87,10.47,0.8699999999999992,2.181709779786182,0.02022144545485638,0.4019654353657139,0.9509379852998617,4.526329361477668,37.41400228887194,2.610738120688862e-06,0.00452706243025293,104.68091765214085,24.31908234785915,24.31908234785915,591.4177662419546
NGC4010,NGC4010,structure_2014_z0,8.72,127.0,103.32310196659797,9.94,0.87,10.47,0.870000000000001,2.165115248108487,0.016594531677694757,0.4019654353657139,0.959557076945883,4.498138775040614,41.32738302315728,2.337078989031546e-06,0.004514346994234613,103.3231020652174,23.676897934782602,23.676897934782602,560.5954958141126
NGC4010,NGC4010,structure_2014_z0,9.6,124.0,99.93100469824168,9.94,0.87,10.47,0.879999999999999,2.1510968190468143,0.014018429061672943,0.4019654353657139,0.9657264019607792,4.468626131424405,45.25977401881075,2.1117299075617e-06,0.004502511200718142,99.9310047996747,24.068995200325304,24.068995200325304,579.3165299532825
NGC4010,NGC4010,structure_2014_z0,10.47,122.0,96.31905989989728,9.94,0.87,10.47,0.870000000000001,2.1393445976475043,0.011752221399309981,0.4019654353657139,0.9711863676033696,4.444921209939108,49.12685547145778,1.92705477265073e-06,0.00449179958030778,96.31906000463388,25.680939995366117,25.680939995366117,659.5106790455951
