galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,beta_mode
UGC05005,0.78,14.5,8.1,0.0,331.4826923076923,0.0,331.4826923076923,16.07969216123244,0.0,16.07969216123244,,856.998620316903,856.998620316903,formula
UGC05005,2.34,32.6,26.8,0.11849486821096115,401.08760683760687,43.39740964590896,444.48501648351584,30.635681810594654,10.077198944718068,32.25050291966665,,856.998620316903,856.998620316903,formula
UGC05005,3.91,48.6,11.3,0.2779940333926285,442.52237851662403,60.93107495493956,503.4534534715636,41.59642412515768,15.435041401752498,44.3678149459021,,856.998620316903,856.998620316903,formula
UGC05005,5.47,58.1,6.1,0.37056298970000573,401.14268738574043,58.05703307374986,459.19972045949027,46.84282762600909,17.820549119300775,50.11808526782933,,856.998620316903,856.998620316903,formula
UGC05005,7.04,65.9,8.71,0.5285824811744972,320.79990056818184,64.34580356395306,385.1457041321349,47.52295550573428,21.283666439084914,52.0713525567584,,856.998620316903,856.998620316903,formula
UGC05005,8.6,72.5,12.2,0.6209502671391264,276.00904651162784,61.87831653763299,337.88736304926084,48.72040434971778,23.068452965546772,53.905763348863196,,856.998620316903,856.998620316903,formula
UGC05005,10.17,78.6,28.4,0.7111455594159265,237.3744346116027,59.92632873785066,297.30076334945335,49.13347127977016,24.68705659376875,54.986805356048286,,856.998620316903,856.998620316903,formula
UGC05005,17.97,97.1,10.0,0.9630459205039109,133.0995937673901,45.92815944205196,179.02775320944207,48.90602928065209,28.728540254834975,56.719738408896724,,856.998620316903,856.998620316903,formula
UGC05005,21.07,99.4,10.0,1.0125119055451004,108.91130991931657,41.18278624141384,150.0940961607304,47.90366687425922,29.45710960203987,56.235954745221406,,856.998620316903,856.998620316903,formula
UGC05005,22.72,100.0,10.0,1.0298957385080902,99.0861003521127,38.84767724347233,137.933777595585,47.447193805324254,29.70890820901521,55.98084875179807,,856.998620316903,856.998620316903,formula
UGC05005,28.61,99.1,10.0,1.0353752576361668,76.51984620761972,31.014161737310484,107.53400794493021,46.78923807885741,29.787835894949687,55.46663832705614,,856.998620316903,856.998620316903,formula
