galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,beta_mode
NGC3109,0.26,6.1,1.6,0.9895252637248078,33.57076923076922,2747.37060727071,2780.941376501479,2.9543865691544156,26.726697474442755,26.889491588544114,,721.8778378649257,721.8778378649257,formula
NGC3109,0.52,11.2,0.7,1.038540096382156,51.66788461538463,1441.7289986776582,1493.3968832930427,5.183367631183419,27.38063328910386,27.86694061629985,,721.8778378649257,721.8778378649257,formula
NGC3109,0.77,14.9,1.5,0.8302198172433968,90.28688311688312,778.334138473087,868.6210215899702,8.337919404743607,24.48095763290883,25.861906090315095,,721.8778378649257,721.8778378649257,formula
NGC3109,1.03,19.1,2.2,0.8188449751761389,113.16475728155339,573.8893594434077,687.0541167249611,10.796281767349349,24.312672420503468,26.601987523993575,,721.8778378649257,721.8778378649257,formula
NGC3109,1.29,24.3,0.9,0.8435975082860914,139.9731007751938,472.07313589907164,612.0462366742654,13.437458837146258,24.67740556277751,28.098748109298434,,721.8778378649257,721.8778378649257,formula
NGC3109,1.55,29.8,1.9,0.9155596557063534,153.91096774193548,426.40143528881174,580.3124030307472,15.445452405157967,25.708407665541213,29.991402513014595,,721.8778378649257,721.8778378649257,formula
NGC3109,1.81,34.3,1.6,0.9526633165363372,163.17486187845302,379.94836196380135,543.1232238422543,17.185648082047997,26.22415937936773,31.35367658113607,,721.8778378649257,721.8778378649257,formula
NGC3109,2.06,38.2,3.5,0.98335368752014,168.06723300970873,344.59283194346625,512.6600649531749,18.606947627163354,26.643221160429167,32.497380414481725,,721.8778378649257,721.8778378649257,formula
NGC3109,2.32,42.5,5.6,1.0527572681308541,162.39383620689657,327.5698881529685,489.96372435986507,19.41014425500233,27.567410841696518,33.71521675022848,,721.8778378649257,721.8778378649257,formula
NGC3109,2.58,42.3,3.0,1.0195309785106053,153.8862403100775,285.2623327145534,439.1485730246309,19.925523832511907,27.12889268664587,33.66011465226385,,721.8778378649257,721.8778378649257,formula
NGC3109,2.84,47.3,4.4,1.115432826352624,146.12295774647887,283.52332287711107,429.64628062359,20.371283710164168,28.376156134525964,34.93129595321358,,721.8778378649257,721.8778378649257,formula
NGC3109,3.1,49.3,4.0,1.1267981120555512,142.35461290322579,262.3905112390134,404.7451241422392,21.007124981777014,28.520353869490144,35.42188426440555,,721.8778378649257,721.8778378649257,formula
NGC3109,3.35,50.6,3.5,1.1148117911323918,141.93101492537312,240.22624639073913,382.1572613161122,21.805249367984764,28.36825559333841,35.780257481032415,,721.8778378649257,721.8778378649257,formula
NGC3109,3.61,53.0,3.5,1.136630918294861,138.69243767313017,227.28772015211064,365.9801578252408,22.375873167320194,28.644522508659826,36.34815497035743,,721.8778378649257,721.8778378649257,formula
NGC3109,3.87,54.7,3.3,1.1857932911751214,125.6149354005168,221.18808712874184,346.80302252925867,22.048351412293847,29.257441740320203,36.63506103704798,,721.8778378649257,721.8778378649257,formula
NGC3109,4.13,55.2,3.1,1.213171279149387,113.8309927360775,212.04877964943964,325.87977238551713,21.682296926294505,29.5932671388643,36.686284357402364,,721.8778378649257,721.8778378649257,formula
NGC3109,4.38,57.5,2.6,1.248349987562439,108.97518264840183,205.74342235622842,314.71860500463026,21.847455229385414,30.019263647202948,37.127718619924394,,721.8778378649257,721.8778378649257,formula
NGC3109,4.64,59.1,2.4,1.2619898014449449,105.9073275862069,196.33673906781547,302.2440666540224,22.16776939613005,30.182817450905137,37.448797968354924,,721.8778378649257,721.8778378649257,formula
NGC3109,4.9,61.2,1.9,1.281204145098715,103.70524489795918,188.74956696478387,292.45481186274304,22.542309109760694,30.411722708972622,37.8553639280808,,721.8778378649257,721.8778378649257,formula
NGC3109,5.16,62.7,1.9,1.291056407378278,101.45895348837209,180.6172495968779,282.07620308525,22.8807386244413,30.52842950300408,38.151188813979175,,721.8778378649257,721.8778378649257,formula
NGC3109,5.42,64.4,2.9,1.297423168150869,100.68164206642068,172.80092830638583,273.4825703728065,23.360104879901545,30.603611411410437,38.50033157546323,,721.8778378649257,721.8778378649257,formula
NGC3109,5.67,66.6,3.2,1.3115742190130104,100.21342151675485,166.98348525934577,267.1969067761006,23.837157968180687,30.770056246625394,38.92308391456785,,721.8778378649257,721.8778378649257,formula
NGC3109,5.93,66.3,3.4,1.306197775233891,95.92824620573354,159.00762661211087,254.93587281784443,23.850670850103985,30.706924720815294,38.881483071120336,,721.8778378649257,721.8778378649257,formula
NGC3109,6.19,66.2,3.2,1.322003188090392,88.92526655896607,154.17201988194358,243.09728644090967,23.461615460151076,30.892147919321356,38.79139341489593,,721.8778378649257,721.8778378649257,formula
NGC3109,6.45,67.3,3.0,1.353511630303924,83.10271317829458,151.4837285595081,234.5864417378027,23.151943762889545,31.258119732460354,38.89836178052782,,721.8778378649257,721.8778378649257,formula
