galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,volume_kpc3,m_enc_inner_msun,m_enc_outer_msun,m_shell_msun,rho_eff_msun_per_kpc3,v_bar_internal_segment_kms,v_obs_segment_kms,v_err_segment_kms,n_points,r_max_gal_kpc,d_i,d_gal_mean,sigma_i,sigma_norm,beta_i,psi_i,density_ratio_i,thickness_visibility_i,radial_visibility_i,omega_i,sigma_desc_i,tau_i,v_desc_segment_kms,g_bar_internal_km2s2_per_kpc,g_desc_km2s2_per_kpc,g_transform_km2s2_per_kpc,source_file
DDO168,1,0.41,2.06,1.235,1.6500000000000001,0.35,4.481246300896821,16866166.694955252,368457030.25638765,351590863.5614324,78458276.9956361,22.801932483717632,29.560000000000002,1.8199999999999998,5,4.12,3.069502157470589,3.0498658113982784,0.019636346072310573,0.828792737652092,0.85,0.21885930646862362,0.4396449316696847,0.5,0.2997572815533981,0.21982246583484236,0.023559255070100198,0.0009634242504669206,22.812913806792295,420.99443319191687,421.4000294381655,0.4055962462486491,DDO168_segment_structure_v4.csv
DDO168,2,2.47,4.12,3.295,1.65,0.35,11.956037701583012,460665386.16246337,752061340.5070091,291395954.3445458,24372284.666345954,28.378055993417775,53.36,2.06,5,4.12,3.026173101290877,3.0498658113982784,-0.02369271010740137,-1.0,0.85,0.48263155566197835,0.1959623458854164,0.5,0.799757281553398,0.0979811729427082,-0.028423593935897582,-0.0011425001446766757,28.361840393973882,244.40487464811974,244.12564204347453,-0.27923260464521604,DDO168_segment_structure_v4.csv
ESO563-G021,1,0.45,4.9,2.6750000000000003,4.45,0.35,26.177713485118655,444645724.9744822,35206597694.441414,34761951969.466934,1327921630.3298678,133.77833333333334,101.05,6.423333333333333,6,42.41,3.3190566089620868,3.267345864204473,0.051710744757613725,0.19342264714468899,0.85,0.41433070985520626,0.9299681453968179,0.5,0.0630747465220467,0.46498407269840897,0.06197337002763119,0.01014867254699487,134.45545594566804,6690.333633437176,6758.231638713075,67.89800527589887,ESO563-G021_segment_structure_v4.csv
ESO563-G021,2,5.79,12.06,8.925,6.2700000000000005,0.35,123.061917647705,53413774949.71995,212118565278.51096,158704790328.79102,1289633652.4116461,237.24166715144466,270.8333333333333,5.251666666666668,6,42.41,3.315795029517921,3.267345864204473,0.048449165313448006,0.18122279713439976,0.85,0.8322029389998141,0.9280385878490676,0.5,0.21044564961094084,0.4640192939245338,0.05807358077769495,0.019061752002550704,239.49211432187877,6306.286681545866,6426.495554326481,120.20887278061582,ESO563-G021_segment_structure_v4.csv
ESO563-G021,3,13.44,21.94,17.69,8.500000000000002,0.35,330.6699055499206,241472075206.40982,385956725096.78186,144484649890.37204,436945266.1562498,278.4423539022395,314.6666666666667,13.983333333333334,6,42.41,3.201687117372589,3.267345864204473,-0.06565874683188389,-0.2455947730003647,0.85,0.9709285881982807,0.8137612782847401,0.5,0.417118604102806,0.40688063914237005,-0.07862785776183914,-0.02640278157080161,274.741938876545,4382.710257016393,4266.994515412278,-115.71574160411546,ESO563-G021_segment_structure_v4.csv
ESO563-G021,4,23.68,32.18,27.93,8.5,0.35,522.0808627478393,414032098918.601,398509622598.9384,1e-12,1.9154120967712843e-15,252.23871582961138,313.1666666666667,9.881666666666666,6,42.41,3.0,3.267345864204473,-0.26734586420447304,-1.0,0.85,0.9962500021037501,1.9154120967712844e-23,0.5,0.6585710917236501,9.577060483856422e-24,-0.31024369614212854,-2.5160684794246222e-24,252.23871582961138,2277.993904882615,2277.993904882615,0.0,ESO563-G021_segment_structure_v4.csv
ESO563-G021,5,33.91,42.41,38.16,8.5,0.35,713.3048951828696,396669789075.10266,382575157918.20795,1e-12,1.4019250488160894e-15,209.86750819634457,316.8333333333333,9.916666666666666,6,42.41,3.0,3.267345864204473,-0.26734586420447304,-1.0,0.85,0.9995153094927018,1.4019250488160894e-23,0.5,0.899787785899552,7.009625244080447e-24,-0.31024369614212854,-1.847592292948843e-24,209.86750819634457,1154.202594249024,1154.202594249024,0.0,ESO563-G021_segment_structure_v4.csv
IC4202,1,0.77,5.5,3.135,4.73,0.35,32.60968462037224,3282876490.7891593,54555844925.84128,51272968435.05212,1572323346.022806,185.46424308097198,141.28571428571428,3.8814285714285712,7,25.9,3.3380158773274773,3.2526375843660422,0.08537829296143506,0.3995733683250907,0.85,0.4658080245285159,0.9402029516374184,0.5,0.12104247104247104,0.4701014758187092,0.10209697038206951,0.01900335849297393,187.21817141346673,10971.925187112556,11180.428614801343,208.50342768878727,IC4202_segment_structure_v4.csv
IC4202,2,6.27,10.24,8.254999999999999,3.9700000000000006,0.35,72.07016180061143,62616475758.61854,140571648697.6012,77955172938.98267,1081656693.8569202,226.0905499053524,236.0,4.985,6,25.9,3.2963403029593303,3.2526375843660422,0.043702718593288115,0.2045302367566824,0.85,0.8081420452949126,0.9153730516486979,0.5,0.3187258687258687,0.45768652582434893,0.05239523698410354,0.01647276732985954,227.945112170254,6192.239461720733,6294.242781624432,102.00331990369887,IC4202_segment_structure_v4.csv
IC4202,3,11.02,14.59,12.805,3.5700000000000003,0.35,100.53000672911404,153705474459.59113,191354646314.1521,37649171854.560974,374506807.2661092,242.07131385357616,243.16666666666666,6.103333333333333,6,25.9,3.186852693377614,3.2526375843660422,-0.06578489098842821,-0.307875568430706,0.85,0.9227725256576542,0.7892548674356135,0.5,0.49440154440154443,0.39462743371780673,-0.0787782931187614,-0.024384138769540088,239.10174931034524,4576.221865739678,4464.634636725278,-111.58722901439978,IC4202_segment_structure_v4.csv
IC4202,4,14.98,18.65,16.814999999999998,3.669999999999998,0.35,135.7096869277186,194295136934.74173,212385271253.0604,18090134318.318665,133300243.54085934,229.03959164474358,245.83333333333334,9.143333333333334,6,25.9,3.10165872443213,3.2526375843660422,-0.15097885993391236,-0.7065862939766774,0.85,0.9653687906796219,0.5713677856384819,0.5,0.6492277992277992,0.28568389281924095,-0.17921801078613334,-0.04201260276822012,224.17669316805444,3119.782012535885,2988.711850119776,-131.07016241610881,IC4202_segment_structure_v4.csv
IC4202,5,19.62,25.9,22.759999999999998,6.279999999999998,0.35,314.3256441059133,215103318543.75003,227161320071.7987,12058001528.048676,38361494.69238241,205.63923030792338,241.71428571428572,12.457142857142857,7,25.9,3.038963952113425,3.2526375843660422,-0.21367363225261737,-1.0,0.85,0.9894539089045888,0.2772555672202812,0.5,0.8787644787644787,0.1386277836101406,-0.2509330926012765,-0.029256523140907827,202.6087560370765,1857.9742109681529,1803.6163454697532,-54.35786549839963,IC4202_segment_structure_v4.csv
NGC0100,1,0.23,1.59,0.91,1.36,0.35,2.72162454765791,5040132.2045799615,650641540.976212,645601408.7716321,237211781.95839077,27.599172151429467,25.6275,5.07,4,9.62,3.145864917611259,3.087722843482061,0.05814207412919803,0.7924786442705308,0.85,0.1663986595842647,0.7034504565076578,0.5,0.0945945945945946,0.3517252282538289,0.06965749655272417,0.0034652943583248176,27.646950423557037,837.0486851035602,839.949305189693,2.9006200861327898,NGC0100_segment_structure_v4.csv
NGC0100,2,2.05,3.42,2.735,1.37,0.35,8.239973415357793,1046830931.1285288,2494491340.2047477,1447660409.0762188,175687509.66818005,51.73566053421866,58.800000000000004,4.0,4,9.62,3.1216917392335692,3.087722843482061,0.0339688957515083,0.4629973191651875,0.85,0.4213167413160026,0.6372704729337906,0.5,0.28430353430353433,0.3186352364668953,0.04074011286930922,0.00464883006246053,51.85577624370214,978.6393312292176,983.1888591725423,4.54952794332462,NGC0100_segment_structure_v4.csv
NGC0100,3,3.88,5.7,4.79,1.8200000000000003,0.35,19.17144350482557,2866160585.5505,3791017993.8664155,924857408.3159156,48241406.969857186,55.162498029489754,76.9,4.388,5,9.62,3.0472406264527185,3.087722843482061,-0.040482217029342404,-0.5517741317103778,0.85,0.6163405619563866,0.3254246431947749,0.5,0.497920997920998,0.16271232159738744,-0.04854048310154223,-0.004137749660875995,55.04825542640933,635.2612085289063,632.6326566787482,-2.6285518501581464,NGC0100_segment_structure_v4.csv
NGC0100,4,6.16,7.52,6.84,1.3599999999999994,0.35,20.457046050527573,3883281668.2981052,4143246871.941055,259965203.64294958,12707856.403160673,50.06994501779251,82.6,5.423333333333333,3,9.62,3.0143554732070963,3.087722843482061,-0.07336737027496465,-1.0,0.85,0.7453843179751962,0.11275040452995702,0.5,0.7110187110187111,0.05637520226497851,-0.08781407362252128,-0.003136544217730228,49.99136004982657,366.5203792521587,365.370771875935,-1.1496073762236847,NGC0100_segment_structure_v4.csv
NGC0100,5,7.98,9.62,8.8,1.6399999999999988,0.35,31.737625623625505,4233213632.928847,4646754734.69568,413541101.7668328,13029994.955230445,46.49011326914392,88.84,8.472,5,9.62,3.01469796474989,3.087722843482061,-0.07302487873217078,-0.9953318274662117,0.85,0.8279551361769495,0.11527908994768546,0.5,0.9147609147609149,0.05763954497384273,-0.08740623834585157,-0.0035455915538768106,46.40762260819514,245.6057536111172,244.73493592553007,-0.8708176855871272,NGC0100_segment_structure_v4.csv
NGC2403,1,0.16,1.57,0.865,1.4100000000000001,0.35,2.682150435965554,20040562.57861709,3020680897.9960055,3000640335.4173884,1118744234.1716304,67.7444087710755,67.01333333333334,1.6440000000000003,15,20.87,3.3000487326452013,3.151202636438478,0.1488460962067233,0.9975657446020333,0.85,0.15886238515537676,0.9179483297675093,0.5,0.04144705318639195,0.45897416488375464,0.176739765943882,0.01095374232199836,68.11442566204688,5305.554820511643,5363.670500890765,58.11568037912184,NGC2403_segment_structure_v4.csv
NGC2403,2,1.67,2.98,2.325,1.31,0.35,6.697954077269779,3444443969.9970465,7404234806.122429,3959790836.1253824,591194085.6034464,103.12050731849263,97.4,1.6521428571428576,14,20.87,3.23199005697086,3.151202636438478,0.08078742053238219,0.5414368624484167,0.85,0.3718648948103592,0.8553228361138318,0.5,0.11140392908481074,0.4276614180569159,0.09664233580732531,0.01306386239074823,103.79189775407161,4573.694206289588,4633.444318017916,59.75011172832819,NGC2403_segment_structure_v4.csv
