galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,Dw_i,sigma_i,propagation_source_i,propagation_term_i,delta_struct_i,DeltaD_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_index,v_bar_kms,delta_v_i,C_i
ESO563-G021,0.45,18.9,65.19,9.78,0.35,data\derived\crossmatch\sparc_structure_test32\per_galaxy\ESO563-G021_structure_enriched.csv,2.10705888903762,0.008663310458691509,0.30227060945009593,0.03524906216071612,0.19948339483493294,0.19948339483493294,2671672080.6021585,4.166312500000001,1,65.19,2.4492063492063494,0.48857599719095485
ESO563-G021,1.34,58.3,120.17,10.5,0.35,data\derived\crossmatch\sparc_structure_test32\per_galaxy\ESO563-G021_structure_enriched.csv,2.10705888903762,0.008663310458691509,0.30227060945009593,0.03524906216071612,0.19948339483493294,0.19948339483493294,2671672080.6021585,4.166312500000001,1,120.17,1.0612349914236707,0.21169875880681477
ESO563-G021,2.23,74.1,137.48,5.69,0.35,data\derived\crossmatch\sparc_structure_test32\per_galaxy\ESO563-G021_structure_enriched.csv,2.10705888903762,0.008663310458691509,0.30227060945009593,0.03524906216071612,0.19948339483493294,0.19948339483493294,2671672080.6021585,4.166312500000001,1,137.48,0.8553306342780027,0.17062425863209243
ESO563-G021,3.12,119.0,146.18,4.27,0.35,data\derived\crossmatch\sparc_structure_test32\per_galaxy\ESO563-G021_structure_enriched.csv,2.107675716742279,0.009038168336431519,0.30998009997870185,0.03874532406243516,0.21187814537603075,0.21187814537603075,2906035339.6868567,5.264188020000001,1,146.18,0.22840336134453787,0.04839368059933208
ESO563-G021,4.01,141.0,157.86,3.76,0.35,data\derived\crossmatch\sparc_structure_test32\per_galaxy\ESO563-G021_structure_enriched.csv,2.1089093721515964,0.009787884091911541,0.3253990810359137,0.045737847865873246,0.23666764645822638,0.23666764645822638,3374761857.8562536,7.45993906,1,157.86,0.11957446808510648,0.028299407938196453
ESO563-G021,4.9,195.0,175.79,4.54,0.35,data\derived\crossmatch\sparc_structure_test32\per_galaxy\ESO563-G021_structure_enriched.csv,2.110143027560914,0.010537599847391563,0.34081806209312554,0.05273037166931134,0.26145714754042204,0.26145714754042204,3843488376.02565,9.655690100000001,1,175.79,0.09851282051282055,0.025756881047443638
ESO563-G021,5.79,227.0,199.19,4.2,0.35,data\derived\crossmatch\sparc_structure_test32\per_galaxy\ESO563-G021_structure_enriched.csv,2.111376682970232,0.011287315602871583,0.3562370431503374,0.05972289547274943,0.2862466486226176,0.2862466486226176,4312214894.195047,11.851441140000002,1,199.19,0.12251101321585904,0.03506836695240086
ESO563-G021,6.69,246.0,217.87,4.24,0.35,data\derived\crossmatch\sparc_structure_test32\per_galaxy\ESO563-G021_structure_enriched.csv,2.1126241996762833,0.01204545513088509,0.3718292711857202,0.06679398695937222,0.311314683424838,0.311314683424838,4786208002.456235,14.071863540000003,2,217.87,0.11434959349593495,0.0355987074989459
ESO563-G021,7.58,268.0,228.65,5.56,0.35,data\derived\crossmatch\sparc_structure_test32\per_galaxy\ESO563-G021_structure_enriched.csv,2.113857855085601,0.01279517088636511,0.38724825224293197,0.0737865107628103,0.3361041845070336,0.3361041845070336,5254934520.625631,16.26761458,2,228.65,0.1468283582089552,0.04934962559832751
ESO563-G021,8.47,283.0,241.76,2.96,0.35,data\derived\crossmatch\sparc_structure_test32\per_galaxy\ESO563-G021_structure_enriched.csv,2.1150915104949184,0.013544886641845132,0.40266723330014387,0.0807790345662484,0.3608936855892292,0.3608936855892292,5723661038.795029,18.463365620000005,2,241.76,0.14572438162544174,0.052591009165017015
ESO563-G021,10.23,291.0,260.94,9.81,0.35,data\derived\crossmatch\sparc_structure_test32\per_galaxy\ESO563-G021_structure_enriched.csv,2.112864595492451,0.014831811635252417,0.4238679728716062,0.09285517009284831,0.392391282953066,0.392391282953066,5977587145.349638,24.505433086138055,2,260.94,0.10329896907216496,0.040533615001955896
ESO563-G021,12.06,310.0,275.0400029086679,4.74,0.35,data\derived\crossmatch\sparc_structure_test32\per_galaxy\ESO563-G021_structure_enriched.csv,2.1088573806824398,0.016098989656658423,0.44254379185886633,0.10477654164327284,0.4187885955798608,0.4187885955798608,5997634770.638495,31.404071149458083,2,275.0400029086679,0.1127741841655875,0.04722854220437097
