__primary_name__,__name_norm__,__catalog_norm__,__ra_deg__,__dec_deg__,__has_coords__
,,UGC10020,,,False
,,UGC10055,,,False
,,UGC10076,,,False
,,UGC10104,,,False
,,UGC10149,,,False
,,UGC102,,,False
,,UGC10269,,,False
,,UGC10316,,,False
,,UGC10436,,,False
,,UGC10443,,,False
,,UGC10458,,,False
,,UGC10500,,,False
,,UGC10537,,,False
,,UGC10586,,,False
1069.0,10690,UGC1069,337.24724999999995,32.5014111,True
1081.0,10810,UGC1081,340.415496,21.4404275,True
1087.0,10870,UGC1087,342.914625,14.2774972,True
,,UGC10897,,,False
,,UGC11014,,,False
,,UGC1126,,,False
,,UGC11318,,,False
1167.0,11670,UGC1167,24.58685,7.5340944,True
1212.0,12120,UGC1212,26.0339028,34.3872331,True
,,UGC12158,,,False
,,UGC12193,,,False
,,UGC12213,,,False
,,UGC12224,,,False
,,UGC12270,,,False
,,UGC12303,,,False
,,UGC12359,,,False
,,UGC12391,,,False
,,UGC12418,,,False
,,UGC12438,,,False
,,UGC12586,,,False
,,UGC12702,,,False
,,UGC12753,,,False
,,UGC12760,,,False
,,UGC12784,,,False
,,UGC12808,,,False
,,UGC12852,,,False
,,UGC12893,,,False
,,UGC1322,,,False
1497.0,14970,UGC1497,30.2775397,31.8824306,True
1529.0,15290,UGC1529,30.6291733,11.0930122,True
1559.0,15590,UGC1559,30.99583,15.31806,True
1579.0,15790,UGC1579,31.3135083,6.1069222,True
16.0,160,UGC16,14.304942,7.4787147,True
1635.0,16350,UGC1635,32.1155667,6.3948694,True
1721.0,17210,UGC1721,33.6421925,37.4079622,True
1727.0,17270,UGC1727,33.6398353,-0.7667172,True
1862.0,18620,UGC1862,36.1032914,-2.1623125,True
1908.0,19080,UGC1908,36.6553483,12.1552056,True
2109.0,21090,UGC2109,39.4934111,34.2410953,True
2200.0,22000,UGC2200,40.8427944,4.9683758,True
305.0,3050,UGC305,114.63730799999999,13.3662661,True
3080.0,30800,UGC3080,67.9805458,1.1991111,True
,,UGC3091,,,False
311.0,3110,UGC311,117.52793399999999,30.7925333,True
3134.0,31340,UGC3134,70.4510708,-1.301885,True
3140.0,31400,UGC3140,70.7288411,0.6186028,True
3701.0,37010,UGC3701,107.9278792,72.1692056,True
3714.0,37140,UGC3714,108.1361269,71.7505053,True
3965.0,39650,UGC3965,115.3254386,34.2321775,True
3997.0,39970,UGC3997,116.1614328,40.3663733,True
4036.0,40360,UGC4036,117.97786,73.0157094,True
4066.0,40660,UGC4066,119.0649708,78.0134417,True
4099.0,40990,UGC4099,118.9529211,24.7059611,True
4107.0,41070,UGC4107,119.2577167,49.5673225,True
,,UGC4112,,,False
4139.0,41390,UGC4139,119.84845,16.4212056,True
4189.0,41890,UGC4189,120.7067944,15.8082542,True
,,UGC419,,,False
,,UGC4227,,,False
4256.0,42560,UGC4256,122.5632769,33.9566025,True
,,UGC4300,,,False
,,UGC4308,,,False
,,UGC4344,,,False
4368.0,43680,UGC4368,125.6873125,24.2969442,True
,,UGC4380,,,False
,,UGC4390,,,False
4397.0,43970,UGC4397,127.1663703,73.7480828,True
4445.0,44450,UGC4445,127.8626875,60.99505,True
,,UGC4456,,,False
4458.0,44580,UGC4458,128.0471731,22.5605569,True
,,UGC4473,,,False
448.0,4480,UGC448,158.8790625,29.6416139,True
,,UGC4542,,,False
,,UGC4549,,,False
4555.0,45550,UGC4555,131.0344394,34.7172831,True
,,UGC4584,,,False
4622.0,46220,UGC4622,132.5841325,41.2894214,True
463.0,4630,UGC463,163.27385850000002,14.3426106,True
,,UGC4630,,,False
,,UGC4643,,,False
,,UGC4658,,,False
,,UGC4673,,,False
,,UGC468,,,False
,,UGC473,,,False
,,UGC4731,,,False
,,UGC476,,,False
,,UGC4770,,,False
,,UGC4810,,,False
,,UGC4864,,,False
,,UGC4875,,,False
,,UGC4962,,,False
,,UGC4978,,,False
,,UGC4999,,,False
,,UGC5015,,,False
,,UGC5140,,,False
5180.0,51800,UGC5180,145.5137225,0.3364194,True
,,UGC5202,,,False
5277.0,52770,UGC5277,147.9168117,65.4911242,True
5302.0,53020,UGC5302,148.5907767,68.3323494,True
,,UGC5319,,,False
,,UGC5474,,,False
5544.0,55440,UGC5544,154.1422728,21.1230556,True
5577.0,55770,UGC5577,155.0151633,38.6155397,True
,,UGC5674,,,False
,,UGC5730,,,False
,,UGC5857,,,False
5868.0,58680,UGC5868,161.4455692,37.2113022,True
,,UGC5889,,,False
,,UGC5890,,,False
,,UGC5912,,,False
,,UGC5980,,,False
6077.0,60770,UGC6077,165.0098775,14.8416619,True
,,UGC6105,,,False
,,UGC6109,,,False
,,UGC6128,,,False
,,UGC6135,,,False
,,UGC6155,,,False
,,UGC6157,,,False
,,UGC6180,,,False
,,UGC6249,,,False
,,UGC6257,,,False
,,UGC6311,,,False
,,UGC6335,,,False
,,UGC6425,,,False
,,UGC6429,,,False
,,UGC6445,,,False
,,UGC6463,,,False
,,UGC6510,,,False
,,UGC6528,,,False
,,UGC6582,,,False
,,UGC6616,,,False
,,UGC6641,,,False
,,UGC6663,,,False
,,UGC6693,,,False
,,UGC6716,,,False
,,UGC6743,,,False
,,UGC6758,,,False
,,UGC6771,,,False
678.0,6780,UGC678,248.376813,3.5744056,True
,,UGC6784,,,False
,,UGC6813,,,False
,,UGC6821,,,False
,,UGC6849,,,False
,,UGC6883,,,False
,,UGC6903,,,False
,,UGC6909,,,False
,,UGC6910,,,False
,,UGC6918,,,False
,,UGC6958,,,False
,,UGC6995,,,False
,,UGC7020,,,False
,,UGC7025,,,False
,,UGC7072,,,False
,,UGC7163,,,False
,,UGC7169,,,False
,,UGC7205,,,False
,,UGC7208,,,False
,,UGC7244,,,False
,,UGC7309,,,False
,,UGC7357,,,False
,,UGC7385,,,False
74.0,740,UGC74,32.7963285,4.6125744,True
,,UGC7414,,,False
,,UGC7415,,,False
,,UGC7416,,,False
,,UGC7439,,,False
,,UGC7474,,,False
,,UGC7536,,,False
,,UGC7537,,,False
,,UGC7541,,,False
,,UGC7690,,,False
,,UGC7715,,,False
,,UGC7768,,,False
,,UGC7856,,,False
,,UGC7861,,,False
,,UGC7917,,,False
,,UGC7943,,,False
,,UGC8022,,,False
,,UGC8099,,,False
,,UGC8128,,,False
,,UGC8150,,,False
,,UGC8196,,,False
,,UGC8230,,,False
,,UGC8319,,,False
,,UGC8360,,,False
,,UGC8447,,,False
,,UGC8523,,,False
,,UGC8573,,,False
,,UGC8589,,,False
,,UGC8611,,,False
,,UGC8740,,,False
,,UGC8768,,,False
,,UGC8775,,,False
,,UGC8909,,,False
,,UGC892,,,False
,,UGC9149,,,False
,,UGC9177,,,False
,,UGC9216,,,False
,,UGC929,,,False
,,UGC9317,,,False
,,UGC9318,,,False
,,UGC9406,,,False
,,UGC9505,,,False
,,UGC9535,,,False
,,UGC9544,,,False
,,UGC9564,,,False
,,UGC9569,,,False
,,UGC9601,,,False
,,UGC9610,,,False
,,UGC9661,,,False
,,UGC9761,,,False
,,UGC9774,,,False
,,UGC9823,,,False
,,UGC9837,,,False
,,UGC9896,,,False
,,UGC9908,,,False
,,UGC9965,,,False
