__primary_name__,__name_norm__,__catalog_norm__,__ra_deg__,__dec_deg__,__has_coords__
CamB,CAMB,,,,False
D512-2,D5122,,,,False
D564-8,D5648,,,,False
D631-7,D6317,,,,False
DDO064,DDO064,,,,False
DDO154,DDO154,,,,False
DDO161,DDO161,,,,False
DDO168,DDO168,,,,False
DDO170,DDO170,,,,False
ESO079-G014,ESO79,ESO79,,,False
ESO116-G012,ESO116,ESO116,,,False
ESO444-G084,ESO444,ESO444,,,False
ESO563-G021,ESO563,ESO563,,,False
F561-1,F5611,,,,False
F563-1,F5631,,,,False
F563-V1,F563V1,,,,False
F563-V2,F563V2,,,,False
F565-V2,F565V2,,,,False
F567-2,F5672,,,,False
F568-1,F5681,,,,False
F568-3,F5683,,,,False
F568-V1,F568V1,,,,False
F571-8,F5718,,,,False
F571-V1,F571V1,,,,False
F574-1,F5741,,,,False
F574-2,F5742,,,,False
F579-V1,F579V1,,,,False
F583-1,F5831,,,,False
F583-4,F5834,,,,False
IC2574,IC2574,IC2574,157.09833,68.41214,True
IC4202,IC4202,IC4202,,,False
KK98-251,KK98251,,,,False
NGC0024,NGC24,NGC24,37.266600000000004,-24.96402,True
NGC0055,NGC55,NGC55,55.92615,-39.1995,True
NGC0100,NGC100,NGC100,90.16665,16.48603,True
NGC0247,NGC247,NGC247,176.77949999999998,-20.76018,True
NGC0289,NGC289,NGC289,197.6415,-31.20582,True
NGC0300,NGC300,NGC300,205.84005000000002,-37.6842,True
NGC0801,NGC801,NGC801,,,False
NGC0891,NGC891,NGC891,,,False
NGC1003,NGC1003,NGC1003,,,False
NGC1090,NGC1090,NGC1090,41.64131,-0.24714,True
NGC1705,NGC1705,NGC1705,73.55597,-53.36099,True
NGC2366,NGC2366,NGC2366,,,False
NGC2403,NGC2403,NGC2403,,,False
NGC2683,NGC2683,NGC2683,133.17208,33.42188,True
NGC2841,NGC2841,NGC2841,140.51122,50.97659,True
NGC2903,NGC2903,NGC2903,143.0424,21.50183,True
NGC2915,NGC2915,NGC2915,,,False
NGC2955,NGC2955,NGC2955,,,False
NGC2976,NGC2976,NGC2976,146.81366,67.91671,True
NGC2998,NGC2998,NGC2998,,,False
NGC3109,NGC3109,NGC3109,,,False
NGC3198,NGC3198,NGC3198,154.97921,45.54977,True
NGC3521,NGC3521,NGC3521,166.45241,-0.03594,True
NGC3726,NGC3726,NGC3726,173.33808,47.02924,True
NGC3741,NGC3741,NGC3741,,,False
NGC3769,NGC3769,NGC3769,174.4337,47.89294,True
NGC3877,NGC3877,NGC3877,176.53221,47.49459,True
NGC3893,NGC3893,NGC3893,177.15901,48.71095,True
NGC3917,NGC3917,NGC3917,177.68935,51.82448,True
NGC3949,NGC3949,NGC3949,178.42388,47.85875,True
NGC3953,NGC3953,NGC3953,178.45424,52.32681,True
NGC3972,NGC3972,NGC3972,178.93807,55.32037,True
NGC3992,NGC3992,NGC3992,179.39983,53.37483,True
NGC4010,NGC4010,NGC4010,179.658,47.26141,True
NGC4013,NGC4013,NGC4013,179.63059,43.94746,True
NGC4051,NGC4051,NGC4051,180.79007,44.53131,True
NGC4068,NGC4068,NGC4068,181.00735,52.58772,True
NGC4085,NGC4085,NGC4085,181.34446,50.35283,True
NGC4088,NGC4088,NGC4088,181.3928,50.53923,True
NGC4100,NGC4100,NGC4100,181.53561,49.58271,True
NGC4138,NGC4138,NGC4138,182.37415,43.68521,True
