galaxy,n_points,n_segments,d_gal_mean,sigma_abs_max,mean_omega_i,mean_g_trans,rmse_bar_only_kms,rmse_desc_kms,mae_bar_only_kms,mae_desc_kms,reduced_chi2_bar_only,reduced_chi2_desc,rmse_improvement_kms,mae_improvement_kms
NGC4068,6,1,3.0721698819561456,4.440892098500626e-16,1.1668393448563275,-1.5307302964856781e-13,6.0332781675934655,6.033278167593468,4.801296271137378,4.801296271137379,5.445130931015962,5.445130931015967,-2.6645352591003757e-15,-8.881784197001252e-16
UGCA281,7,1,3.0666004637672675,0.0,1.1567379804101843,0.0,6.731165308050977,6.731165308050977,6.138508437910452,6.138508437910452,18.04988983802662,18.04988983802662,0.0,0.0
UGC08837,7,2,3.0551582039847935,0.011717968416825375,1.1344135653992384,-0.5887216216589354,8.490305533776496,8.599439352271427,6.9506867492881765,7.036480379835756,9.31837127870333,9.562066777220688,-0.10913381849493042,-0.08579363054757927
UGC07089,10,3,3.0721376981610047,0.04104520736919781,1.1347870842234213,-5.803378414848466,15.229946408036618,16.191914702898003,12.303559329756132,12.99506070776069,7.696393487154574,8.585653046559676,-0.9619682948613857,-0.691501378004558
UGC01281,21,5,3.035635662183777,0.017519264992960082,1.0812319156607786,0.2376264423605159,18.640470373770814,18.696937870563982,15.743638018514199,15.763570547926387,18.048624607225378,18.20550607184317,-0.05646749679316798,-0.019932529412187705
DDO168,9,2,3.0498658113982784,0.02369271010740137,1.1039883684778649,-1.5826841373124811,19.024813323289894,19.31650707154227,15.826201390734967,16.016785436704,128.81094172142923,132.02899995441112,-0.29169374825237426,-0.19058404596903422
UGC05750,10,2,3.0213523016184904,0.017684621146588864,1.051556179386925,0.14607520323524947,21.177236001939548,21.18940938619099,17.68465137815956,17.693235316735336,8.104833924877713,8.114046892383424,-0.012173384251443764,-0.008583938575775107
NGC4010,10,3,3.1630827154265875,0.11526341884906355,1.2007330529788611,-56.48034995009979,17.55139775692406,22.642345725029934,15.401422451744116,19.038229992103822,14.345191584623803,24.980761044856074,-5.090947968105873,-3.6368075403597064
UGC04278,21,5,3.0793069742022596,0.027615688503523028,1.1477113997696473,-1.7993229288180526,27.733839595268694,27.69309454997799,23.36036661759344,23.395288934316277,30.149033019702177,30.558397760020675,0.04074504529070566,-0.034922316722838076
NGC0100,17,5,3.087722843482061,0.07336737027496465,1.0991109181387775,-9.895996100354614,27.477769360087667,28.946634715944434,22.47593038297263,23.537273575233954,22.75170568590904,25.048505509618018,-1.4688653558567673,-1.0613431922613223
UGC06917,10,2,3.0846621670458725,0.027599108023313335,1.17995708324455,0.6586076837051724,30.596331189780688,31.165818730065805,28.244821977626014,28.636304369106,57.79119508699503,59.958150016556345,-0.5694875402851167,-0.3914823914799861
NGC3917,14,4,3.1570071859694764,0.15700718596947638,1.1528852902030444,-48.51726811645151,26.275307983859516,32.03894894201444,23.910904002915338,28.086792415151553,39.657952050238954,56.64165335944479,-5.763640958154927,-4.175888412236215
NGC4183,19,5,3.103905379716083,0.10013505635877973,1.0814519086599028,-16.901260753864996,33.32695447458726,35.83673755904806,31.374016102312698,33.42930355049742,35.62939113587394,41.008063758867706,-2.5097830844608,-2.0552874481847248
UGC05721,19,5,3.10678549419961,0.11446937960163872,1.0718673079444823,-7.421514686755546,36.852187353133786,37.90993524321867,32.95812890387441,33.78601173553517,64.97833429318933,68.8481849345677,-1.0577478900848831,-0.8278828316607587
UGC08490,26,5,3.0897602462848472,0.08735351616209197,1.05218059256255,-8.29859864824358,38.11435670120881,39.24935501846073,36.39149888289967,37.36608963711738,110.95778925072966,117.66455476529816,-1.1349983172519202,-0.974590754217715
NGC2403,69,5,3.151202636438478,0.14920930977446867,1.0928207875826672,-3.7781288028423377,38.14020035207019,41.458107841372374,26.9481844126792,29.185305225723916,2117.2026111001674,2445.3391025733235,-3.3179074893021863,-2.237120813044715
NGC3198,39,5,3.142116359454708,0.13479201216875092,1.0842794925958483,-3.434005175092861,38.233093369686515,41.93000070094924,28.66609111276689,30.981640801939005,308.0344533964537,374.37611772583136,-3.6969073312627287,-2.3155496891721157
UGC05986,13,3,3.1358647918351097,0.1358647918351097,1.1137173441659425,-35.76615965653548,39.21030770006691,42.390821349062406,35.005928290617334,37.48966435204788,159.98877964927615,183.09531934684458,-3.1805136489954933,-2.483736061430548
NGC2683,10,2,3.1574402838589815,0.15744028385898146,1.0913663399512359,-47.10368961993663,34.69083060476303,43.09417729852221,30.871646941735946,37.558006135257585,15.1749967952912,21.753938237857707,-8.403346693759183,-6.686359193521639
NGC3769,10,3,3.131425190794143,0.12836349933019386,1.052529392689377,-12.348780111717687,41.03929160632841,44.38466993490248,37.68828076383251,40.5134274772974,26.748521752640777,31.28764084669308,-3.3453783285740712,-2.825146713464889
UGC06667,8,2,3.0331040750328917,0.001993096483271728,1.085798761046029,-0.016952349329649653,45.17688884804951,45.18311591582267,43.819180397494996,43.82385200359184,214.57156548510218,214.63168908750893,-0.0062270677731604,-0.00467160609684214
NGC4088,10,3,3.339281681115601,0.339281681115601,1.1352845318156286,-500.26603696115336,47.03169137242292,46.313761740488204,40.29237110232917,41.05716344803456,46.15742119320178,38.5850128211401,0.7179296319347159,-0.7647923457053878
NGC2998,11,3,3.1815604172873853,0.17953294735838066,1.1236543564969166,-15.83448695359653,37.33173037461076,47.41395342117609,31.907527665370004,39.15783327847944,200.42843511566008,354.58252791058214,-10.082223046565332,-7.250305613109433
IC4202,28,5,3.2526375843660422,0.21367363225261737,1.2119126889171679,-196.9837174790799,37.32068988815855,49.66215447538786,25.941003196887227,37.83336969684519,68.3607217596409,91.84781792945999,-12.34146458722931,-11.892366499957962
NGC4013,32,5,3.231679024910719,0.231679024910719,1.0468284610244007,-164.22173500965528,39.77498515690112,51.8835075844655,33.98487619687046,45.05850029244741,63.22861127015683,102.81312507664343,-12.108522427564381,-11.073624095576953
NGC4157,14,4,3.355936162541273,0.35593616254127314,1.045495712897518,-398.3405807007959,41.47400894099612,55.87063560615355,36.94523856803081,49.77184241723726,22.518587028159978,34.922810399040394,-14.396626665157427,-12.82660384920645
NGC4389,6,1,3.259983776495822,4.440892098500626e-16,1.3376732223173673,2.618572836775741e-12,57.39781645079807,57.3978164507981,56.31212209049402,56.31212209049405,95.84293762891839,95.84293762891846,-3.552713678800501e-14,-2.842170943040401e-14
NGC5907,16,4,3.204331276597056,0.20224199917171015,1.0911201478170636,-106.39688311698771,44.87186077341752,58.68894766432412,38.15277312787822,49.739335313964155,278.20567368565906,491.5227864625279,-13.817086890906602,-11.586562186085935
UGC12506,27,5,3.1335603483555743,0.11278320012786125,1.130126364715379,-29.93742283346316,78.6664731901264,84.108605636825,77.98599478458165,82.83853346530296,36.1241909455634,41.34557512533275,-5.442132446698608,-4.85253868072131
ESO563-G021,26,5,3.267345864204473,0.26734586420447304,1.1184855745243545,-195.3485094464819,64.78208319473143,85.6843719014228,57.10482145811693,72.5391281860496,67.4922502885804,106.36799679629576,-20.902288706691365,-15.434306727932665
NGC5985,29,5,3.186784812874047,0.12432232211468941,1.216911848078628,-40.3972021353825,80.13422110229563,85.76990386394326,79.36502297396683,84.40081337974202,253.88130843550564,318.32784507804234,-5.6356827616476295,-5.035790405775188
NGC2841,46,5,3.215230853415098,0.20895590264286623,1.0943292257214048,-9.068886323388531,88.77406175651149,99.44934069141418,74.28523701151788,81.45457506234229,412.3645809600969,524.9363658223914,-10.675278934902693,-7.169338050824408
