galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,shell_geom_kpc3,Dw_i,v_vis_segment_kms,v_obs_segment_kms,v_err_segment_kms,n_points,r_max_gal_kpc,r_min_gal_kpc,r_scale,L_static,delta_sigma_i,beta_i,rho_struct_proxy_i,delta_m_struct_msun,M_struct_i_msun,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_segment_kms
NGC3769,1,1.74,6.98,4.36,5.24,0.35,50.2418576806817,2.02045422031826,126.80353346510815,108.625,6.875,4,37.16,1.74,3.0613478007192,0.3266535085510607,0.0,1.0,4.0822352564018685,20509908277.120384,20509908277.120384,4640.353800613891,142.23903321759667,190.55466058302895
NGC3769,2,8.72,14.52,11.620000000000001,5.799999999999999,0.35,148.21154493693635,2.0062405501208933,93.98851101146455,120.5,4.95,4,37.16,1.74,3.0613478007192,0.3266535085510607,0.014213670197366746,0.9574201190388024,3.853617075328756,57115054032.983315,77624962310.1037,2472.575154188043,169.5031660225409,193.81734569902991
NGC3769,3,17.07,37.16,27.115,20.089999999999996,0.35,1197.9465971717525,2.002289155264645,63.51872460033542,118.5,11.575,4,37.16,1.74,3.0613478007192,0.3266535085510607,0.0039513948562484025,0.9879762757187875,3.9609568044714965,474501472546.0928,552126434856.1965,3229.830103554419,295.9338494628116,302.67387008582574
