galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,Dw_i,v_vis_segment_kms,v_obs_segment_kms,v_err_segment_kms,n_points,r_max_gal_kpc,r_min_gal_kpc,r_scale,sigma_scale,sigma_i,beta_i,source_core_i,info_source_i,I_struct_i,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_segment_kms,source_file
DDO168,1,0.41,2.06,1.235,1.6500000000000001,0.35,2.073273072695132,22.801932483717632,29.560000000000002,1.8199999999999998,5,4.12,0.41,2.3074512826452187,0.43337859720861316,0.0,1.0,0.07327307269513206,0.07327307269513206,0.1209005699469679,3.4092181172654104e-07,0.0006488747471448386,22.801932492950147,DDO168_segment_structure_v8_3.csv
DDO168,2,2.47,4.12,3.295,1.65,0.35,2.0230133684180864,28.378055993417775,53.36,2.06,5,4.12,0.41,2.3074512826452187,0.43337859720861316,0.050259704277045625,0.8905003180447876,0.07327307269513206,0.06524969453913394,0.2285625659365389,9.054294573901408e-08,0.0005462041799639137,28.378055998674284,DDO168_segment_structure_v8_3.csv
ESO563-G021,1,0.45,4.9,2.6750000000000003,4.45,0.35000000000000003,2.03010047535154,133.77833333333334,101.05,6.423333333333333,6,42.41,0.45,4.545891879704271,0.21997883505866708,0.0,1.0,0.030100475351539924,0.030100475351539924,0.13394711531435266,8.050931787602793e-08,0.0004640715734866495,133.77833333413827,ESO563-G021_segment_structure_v8_3.csv
ESO563-G021,2,5.79,12.06,8.925,6.2700000000000005,0.35000000000000003,2.007271578606507,237.24166715144466,270.8333333333333,5.251666666666668,6,42.41,0.45,4.545891879704271,0.21997883505866708,0.022828896745032967,0.901425665377484,0.030100475351539924,0.027133341021940434,0.30407316352191915,1.6418066015087533e-08,0.0003827939905283993,237.2416671517535,ESO563-G021_segment_structure_v8_3.csv
ESO563-G021,3,13.44,21.94,17.69,8.500000000000002,0.35000000000000003,2.003279495107795,278.4423539022395,314.6666666666667,13.983333333333334,6,42.41,0.45,4.545891879704271,0.21997883505866708,0.003992083498712162,0.982016095767664,0.0072715786065069565,0.0071408072332296325,0.36477002500437106,5.0133015917356585e-09,0.0002978007809892442,278.4423539023988,ESO563-G021_segment_structure_v8_3.csv
ESO563-G021,4,23.68,32.18,27.93,8.5,0.35000000000000003,2.0019365354797065,252.23871582961138,313.1666666666667,9.881666666666666,6,42.41,0.45,4.545891879704271,0.21997883505866708,0.0013429596280882805,0.9939136480701711,0.0032794951077947943,0.003259534946416603,0.39247607204891216,2.1638725003341134e-09,0.0002458392949353943,252.23871582973118,ESO563-G021_segment_structure_v8_3.csv
ESO563-G021,5,33.91,42.41,38.16,8.5,0.35000000000000003,2.0013540357215085,209.86750819634457,316.8333333333333,9.916666666666666,6,42.41,0.45,4.545891879704271,0.21997883505866708,0.0005824997581980185,0.9973555218882836,0.0019365354797065137,0.0019314143540178675,0.408893094058064,1.2076842383040103e-09,0.0002146747086493447,209.86750819645437,ESO563-G021_segment_structure_v8_3.csv
IC4202,1,0.77,5.5,3.135,4.73,0.35000000000000003,2.028554327113041,185.46424308097198,141.28571428571428,3.8814285714285712,7,25.9,0.77,3.5156077328398996,0.2844458415137807,0.0,1.0,0.028554327113040845,0.028554327113040845,0.1350619672446832,5.910419893137678e-08,0.0004304551819293923,185.4642430814715,IC4202_segment_structure_v8_3.csv
IC4202,2,6.27,10.24,8.254999999999999,3.9700000000000006,0.35000000000000003,2.0088826534259168,226.0905499053524,236.0,4.985,6,25.9,0.77,3.5156077328398996,0.2844458415137807,0.01967167368712408,0.9331793305044864,0.028554327113040845,0.02664630785835356,0.24084780944234685,1.5200885935674454e-08,0.0003542362395337222,226.0905499056299,IC4202_segment_structure_v8_3.csv
IC4202,3,11.02,14.59,12.805,3.5700000000000003,0.35000000000000003,2.00527323534315,242.07131385357616,243.16666666666666,6.103333333333333,6,25.9,0.77,3.5156077328398996,0.2844458415137807,0.0036094180827666023,0.987390871563309,0.008882653425916764,0.008770650908010767,0.2721590331839453,7.138779084587755e-09,0.0003023442841830257,242.07131385376496,IC4202_segment_structure_v8_3.csv
IC4202,4,14.98,18.65,16.814999999999998,3.669999999999998,0.35000000000000003,2.0038247745392535,229.03959164474358,245.83333333333334,9.143333333333334,6,25.9,0.77,3.5156077328398996,0.2844458415137807,0.0014484608038967117,0.994920723369897,0.005273235343150162,0.005246451122106667,0.2914135088020768,4.432781161638015e-09,0.0002730150457995735,229.0395916449063,IC4202_segment_structure_v8_3.csv
IC4202,5,19.62,25.9,22.759999999999998,6.279999999999998,0.35000000000000003,2.0026825342193066,205.63923030792338,241.71428571428572,12.457142857142857,7,25.9,0.77,3.5156077328398996,0.2844458415137807,0.0011422403199468079,0.9959923831151135,0.0038247745392534505,0.0038094463082290544,0.3153368316177552,2.6181259719228065e-09,0.0002441076547774835,205.63923030806828,IC4202_segment_structure_v8_3.csv
NGC0100,1,0.23,1.59,0.91,1.36,0.35,2.08847927962468,27.599172151429467,25.6275,5.07,4,9.62,0.23,3.733520234736557,0.26784373382954535,0.0,1.0,0.08847927962467983,0.08847927962467983,0.12033182028956457,6.249683965723839e-07,0.0007541360890985587,27.599172161732696,NGC0100_segment_structure_v8_3.csv
NGC0100,2,2.05,3.42,2.735,1.37,0.35,2.0252009899794645,51.73566053421866,58.800000000000004,4.0,4,9.62,0.23,3.733520234736557,0.26784373382954535,0.06327828964521531,0.7895826416661991,0.08847927962467983,0.069861703338777,0.21604235386368909,1.2421801752699673e-07,0.0005828690058120573,51.73566053750204,NGC0100_segment_structure_v8_3.csv
NGC0100,3,3.88,5.7,4.79,1.8200000000000003,0.35,2.013209481655429,55.162498029489754,76.9,4.388,5,9.62,0.23,3.733520234736557,0.26784373382954535,0.011991508324035394,0.9562168711669722,0.025200989979464516,0.024097611788473777,0.2599000073187114,4.871869197210258e-08,0.00048307611672113475,55.16249803160498,NGC0100_segment_structure_v8_3.csv
NGC0100,4,6.16,7.52,6.84,1.3599999999999994,0.3499999999999999,2.0087626009710484,50.06994501779251,82.6,5.423333333333333,3,9.62,0.23,3.733520234736557,0.26784373382954535,0.004446880684380705,0.9835345432277901,0.013209481655429123,0.012991981506248355,0.27756910216720915,2.5516392377183825e-08,0.0004177704200394486,50.069945019535396,NGC0100_segment_structure_v8_3.csv
NGC0100,5,7.98,9.62,8.8,1.6399999999999988,0.35,2.006558277107572,46.49011326914392,88.84,8.472,5,9.62,0.23,3.733520234736557,0.26784373382954535,0.002204323863476354,0.9918038850656442,0.008762600971048418,0.008690781686365808,0.29182198413284904,1.6207387522944363e-08,0.0003776572655224713,46.49011327067785,NGC0100_segment_structure_v8_3.csv
NGC2403,1,0.16,1.57,0.865,1.4100000000000001,0.3499999999999999,2.0851523460390853,67.7444087710755,67.01333333333334,1.6440000000000003,15,20.87,0.16,4.87089418483742,0.20530111352303537,0.0,1.0,0.08515234603908528,0.08515234603908528,0.12006480791511026,6.901506004345976e-07,0.0007726449827546458,67.74440877548162,NGC2403_segment_structure_v8_3.csv
NGC2403,2,1.67,2.98,2.325,1.31,0.35,2.0281647992198613,103.12050731849263,97.4,1.6521428571428576,14,20.87,0.16,4.87089418483742,0.20530111352303537,0.05698754681922402,0.7576147178111515,0.08515234603908528,0.06451267061535912,0.2045764064212307,1.627683592815142e-07,0.0006151718746249056,103.12050732032756,NGC2403_segment_structure_v8_3.csv
NGC2403,3,3.08,6.46,4.77,3.38,0.3499999999999999,2.012427902467385,102.2789615368371,113.33333333333333,3.049333333333334,15,20.87,0.16,4.87089418483742,0.20530111352303537,0.015736896752476248,0.926211416463855,0.02816479921986126,0.026086558579847773,0.2927489744211162,5.533742914430789e-08,0.000513769926152114,102.27896153812749,NGC2403_segment_structure_v8_3.csv
NGC2403,4,6.96,13.42,10.19,6.46,0.35,2.0052304362957885,81.8632729073081,128.64285714285714,1.542142857142857,14,20.87,0.16,4.87089418483742,0.20530111352303537,0.007197466171596556,0.965549319958169,0.01242790246738501,0.011999752775890047,0.3702673773533659,1.533654158749091e-08,0.0003953218420180352,81.86327290826262,NGC2403_segment_structure_v8_3.csv
NGC2403,5,13.91,20.87,17.39,6.960000000000001,0.3499999999999999,2.0028503035508365,66.5174223471972,134.26666666666668,4.1066666666666665,15,20.87,0.16,4.87089418483742,0.20530111352303537,0.0023801327449519682,0.9884735694696073,0.005230436295788454,0.005170148035181404,0.4062516076782285,5.7777172341297505e-09,0.000316977132773827,66.51742234795245,NGC2403_segment_structure_v8_3.csv
