dataset,rows_read,rows_written,D_loc_pos_nonnull,D_loc_kin_nonnull,D_loc_nonnull,shells_nonempty,median_D_loc,median_lambda_pos,median_xi_cinfo2_shell_estimate
5d,22517,22517,20290,20290,20290,4,2.3442670282251354,0.4030146395426611,-144495.0729572206
6d,858,858,855,855,855,2,2.8111179534358763,0.49811235065474235,-323.56352979828824
