dataset,shell,shell_center_kpc,n_shell,D_halo_shell,Delta_halo_shell,sigma_bar_shell,observed_variance_shell,standard_variance_shell,topological_gradient_term,topological_prediction_norm,xi_cinfo2_shell_estimate
6d,5-10,7.5,824,2.8791566855942365,-0.12084331440576346,2.499551521061269e-17,19719.550948305743,19799.74727412438,0.24785341496500524,32527.995511472232,-323.56352979828824
6d,10-20,15.0,31,4.7380572978317765,1.7380572978317765,-6.0101499317641e-16,48076.47517370161,82908.12333677658,,,
6d,20-40,30.0,0,,,,,,,,
6d,40-80,60.0,0,,,,,,,,
6d,80+,100.0,0,,,,,,0.24785341496500524,,
