dataset,shell,shell_center_kpc,n_shell,D_halo_shell,Delta_halo_shell,sigma_bar_shell,observed_variance_shell,standard_variance_shell,topological_gradient_term,topological_prediction_norm,xi_cinfo2_shell_estimate
5d,5-10,7.5,8610,2.436289036991308,-0.5637109630086918,-3.106640892208703e-17,19953.982815730633,19969.820666005413,0.0015158928457938814,20062.299434932123,-10447.869266435979
5d,10-20,15.0,7593,2.4249198406478536,-0.5750801593521464,4.262408413649992e-16,29299.834321378497,30165.229927636065,0.005989101140588906,30530.6018614083,-144495.0729572206
5d,20-40,30.0,3458,2.335083323539021,-0.6649166764609791,-4.892045150358045e-16,60333.24813867293,91847.04710541131,0.00108668416110151,91913.34150986718,-28999961.621594485
5d,40-80,60.0,629,2.302482798705975,-0.697517201294025,8.473148196350936e-17,72883.46192898112,167834.73891582928,,,
5d,80+,100.0,0,,,,,,0.00108668416110151,,
