galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,volume_kpc3,m_enc_inner_msun,m_enc_outer_msun,m_shell_msun,rho_eff_msun_per_kpc3,v_bar_internal_segment_kms,v_obs_segment_kms,v_err_segment_kms,n_points,r_max_gal_kpc,d_i,d_gal_mean,sigma_i,sigma_norm,beta_i,density_ratio_i,thickness_visibility_i,radial_visibility_i,omega_i,sigma_desc_i,a_i,psi_i,g_bar_internal_km2s2_per_kpc,g_scale_i,g_trans_km2s2_per_kpc,g_desc_km2s2_per_kpc,v_desc_segment_kms
NGC5907,1,5.03,15.1,10.065,10.07,0.35,222.89029678152954,37409811452.69257,179253282430.9274,141843470978.23483,636382440.2695538,214.54029707471642,226.8,4.4,5,50.33,3.2395895301259867,3.204331276597056,0.03525825352893053,0.17433695114433231,1.0,0.8642009986503821,0.5,0.1999801311345122,1.193231618972726,0.049321503127681,0.1999801311345122,0.8664126890086625,4573.029216980385,4573.912148738411,53.83140616423569,4626.860623144621,215.79933311284955
NGC5907,2,17.61,25.16,21.384999999999998,7.550000000000001,0.35,355.0619377707386,197209809953.00992,220383070363.24875,23173260410.23883,65265402.86388475,208.05811317104434,228.0,4.5,4,50.33,3.0602858997436466,3.204331276597056,-0.14404537685340957,-0.7122426471422995,1.0,0.3949126782308962,0.5,0.42489568845618914,1.1287099859598284,-0.19897351552227832,0.42489568845618914,0.986115747572943,2024.2309308531726,2024.513685373045,-193.18823810023952,1831.0426927529331,197.88089342966256
NGC5907,3,27.68,37.75,32.715,10.07,0.35,724.4765086147779,222820688112.9808,229569519276.15323,6748831163.172424,9315458.931962341,174.22505643645147,217.0,2.0,5,50.33,3.010688116198123,3.204331276597056,-0.19364316039893303,-0.9574824279427914,1.0,0.08521629989917764,0.5,0.650009934432744,1.0343520512181206,-0.2646484852922252,0.650009934432744,0.9985598384727736,927.8425887294726,927.9494130581232,-165.11331175522542,762.7292769742471,157.96419941307113
NGC5907,4,40.26,50.33,45.295,10.07,0.35,1003.0616982334208,231021942121.55103,232783628806.22934,1761686684.6783142,1756309.3953053674,148.05471556378245,215.8,3.6,5,50.33,3.002089277425346,3.204331276597056,-0.20224199917171015,-1.0,1.0,0.017259955728960396,0.5,0.8999602622690245,1.0081869351175787,-0.27580761468217974,0.8999602622690245,0.9998836607423072,483.9430135925052,483.98939763080773,-121.11738877672154,362.82562481578367,128.19589180637155
