r_kpc,v_obs_kms,v_bar_internal_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,segment_index,h_i_kpc,d_i,d_gal_mean,sigma_i,sigma_norm,sigma_desc_i,beta_i,omega_i,density_ratio_i,thickness_visibility_i,radial_visibility_i,a_i,psi_i,g_scale_i,g_trans_km2s2_per_kpc,g_bar_internal_km2s2_per_kpc,g_desc_km2s2_per_kpc,v_desc_kms,rotation_residual_desc_kms,rotation_residual_bar_only_kms
11.82,304.0,222.8105006502162,10.4,NGC5985,-9.2,214.14,60.86,7818.612521150592,NGC5985,NGC5985,Bizyaev_2014,,False,unique_to_2014,NGC05981,,EON_234.473_59.392,NGC05981,NGC05981,234.472717,59.39175,r,22.43,0.24,5.62,0.25,0.2505572893446277,3.991103202846975,21.35,0.08,0.031,12.53,0.14,SB,2528.0,NGC5981,NED,thick_like,NGC05981,NGC05981,NGC5981,234.472717,59.39175,NGC5981,NGC5981,NED,,True,coord_review,NGC5985,85.0,0.2280439303552131,Bizyaev_2014,2,0.35,3.2623566750072137,3.186784812874047,0.07557186213316669,0.6078704197903446,0.10540759743077222,1.0,1.2461020056737468,0.8876690242672166,0.5,0.30745967741935487,0.30745967741935487,0.8817554096233646,4243.684365607602,171.37866342590226,4200.043925549915,4371.422588975817,227.3108334455139,76.68916655448609,81.1894993497838
13.39,305.0,227.93530244347846,10.1,NGC5985,13.39,220.24,57.18,6947.348767737117,NGC5985,NGC5985,Bizyaev_2014,,False,unique_to_2014,NGC05981,,EON_234.473_59.392,NGC05981,NGC05981,234.472717,59.39175,r,22.43,0.24,5.62,0.25,0.2505572893446277,3.991103202846975,21.35,0.08,0.031,12.53,0.14,SB,2528.0,NGC5981,NED,thick_like,NGC05981,NGC05981,NGC5981,234.472717,59.39175,NGC5981,NGC5981,NED,,True,coord_review,NGC5985,85.0,0.2280439303552131,Bizyaev_2014,3,0.35,3.1759469687275304,3.186784812874047,-0.010837844146516673,-0.08717536772293058,-0.015171817540865613,1.0,1.2581312187248568,0.7692048456061867,0.5,0.4504608294930876,0.4504608294930876,0.9561946796588295,3340.5212921485636,-28.723332558000482,3880.0972442120983,3851.373911654098,227.09006292008547,77.90993707991453,77.06469755652154
14.1,300.0,229.88370298914188,8.78,NGC5985,17.64,222.33,55.72,6382.978723404255,NGC5985,NGC5985,Bizyaev_2014,,False,unique_to_2014,NGC05981,,EON_234.473_59.392,NGC05981,NGC05981,234.472717,59.39175,r,22.43,0.24,5.62,0.25,0.2505572893446277,3.991103202846975,21.35,0.08,0.031,12.53,0.14,SB,2528.0,NGC5981,NED,thick_like,NGC05981,NGC05981,NGC5981,234.472717,59.39175,NGC5981,NGC5981,NED,,True,coord_review,NGC5985,85.0,0.2280439303552131,Bizyaev_2014,3,0.35,3.1759469687275304,3.186784812874047,-0.010837844146516673,-0.08717536772293058,-0.015171817540865613,1.0,1.2581312187248568,0.7692048456061867,0.5,0.4504608294930876,0.4504608294930876,0.9561946796588295,3340.5212921485636,-28.723332558000482,3747.979921985816,3719.2565894278155,229.00113080710366,70.99886919289634,70.11629701085812
14.93,295.0,229.79410566853105,9.72,NGC5985,21.66,222.27,54.15,5828.86805090422,NGC5985,NGC5985,Bizyaev_2014,,False,unique_to_2014,NGC05981,,EON_234.473_59.392,NGC05981,NGC05981,234.472717,59.39175,r,22.43,0.24,5.62,0.25,0.2505572893446277,3.991103202846975,21.35,0.08,0.031,12.53,0.14,SB,2528.0,NGC5981,NED,thick_like,NGC05981,NGC05981,NGC5981,234.472717,59.39175,NGC5981,NGC5981,NED,,True,coord_review,NGC5985,85.0,0.2280439303552131,Bizyaev_2014,3,0.35,3.1759469687275304,3.186784812874047,-0.010837844146516673,-0.08717536772293058,-0.015171817540865613,1.0,1.2581312187248568,0.7692048456061867,0.5,0.4504608294930876,0.4504608294930876,0.9561946796588295,3340.5212921485636,-28.723332558000482,3536.860750167449,3508.1374176094487,228.8591087217397,66.14089127826031,65.20589433146895
15.64,294.0,228.80087434273497,5.32,NGC5985,24.38,221.26,52.91,5526.598465473146,NGC5985,NGC5985,Bizyaev_2014,,False,unique_to_2014,NGC05981,,EON_234.473_59.392,NGC05981,NGC05981,234.472717,59.39175,r,22.43,0.24,5.62,0.25,0.2505572893446277,3.991103202846975,21.35,0.08,0.031,12.53,0.14,SB,2528.0,NGC5981,NED,thick_like,NGC05981,NGC05981,NGC5981,234.472717,59.39175,NGC5981,NGC5981,NED,,True,coord_review,NGC5985,85.0,0.2280439303552131,Bizyaev_2014,3,0.35,3.1759469687275304,3.186784812874047,-0.010837844146516673,-0.08717536772293058,-0.015171817540865613,1.0,1.2581312187248568,0.7692048456061867,0.5,0.4504608294930876,0.4504608294930876,0.9561946796588295,3340.5212921485636,-28.723332558000482,3347.176476982097,3318.4531444240965,227.81704760353838,66.18295239646162,65.19912565726503
16.35,290.0,228.586548379383,5.32,NGC5985,26.24,221.1,51.75,5143.730886850152,NGC5985,NGC5985,Bizyaev_2014,,False,unique_to_2014,NGC05981,,EON_234.473_59.392,NGC05981,NGC05981,234.472717,59.39175,r,22.43,0.24,5.62,0.25,0.2505572893446277,3.991103202846975,21.35,0.08,0.031,12.53,0.14,SB,2528.0,NGC5981,NED,thick_like,NGC05981,NGC05981,NGC5981,234.472717,59.39175,NGC5981,NGC5981,NED,,True,coord_review,NGC5985,85.0,0.2280439303552131,Bizyaev_2014,3,0.35,3.1759469687275304,3.186784812874047,-0.010837844146516673,-0.08717536772293058,-0.015171817540865613,1.0,1.2581312187248568,0.7692048456061867,0.5,0.4504608294930876,0.4504608294930876,0.9561946796588295,3340.5212921485636,-28.723332558000482,3195.8293639143735,3167.106031356373,227.55698981283064,62.443010187169364,61.413451620616996
17.18,291.0,228.39280023678504,4.03,NGC5985,27.98,220.98,50.48,4929.045401629802,NGC5985,NGC5985,Bizyaev_2014,,False,unique_to_2014,NGC05981,,EON_234.473_59.392,NGC05981,NGC05981,234.472717,59.39175,r,22.43,0.24,5.62,0.25,0.2505572893446277,3.991103202846975,21.35,0.08,0.031,12.53,0.14,SB,2528.0,NGC5981,NED,thick_like,NGC05981,NGC05981,NGC5981,234.472717,59.39175,NGC5981,NGC5981,NED,,True,coord_review,NGC5985,85.0,0.2280439303552131,Bizyaev_2014,3,0.35,3.1759469687275304,3.186784812874047,-0.010837844146516673,-0.08717536772293058,-0.015171817540865613,1.0,1.2581312187248568,0.7692048456061867,0.5,0.4504608294930876,0.4504608294930876,0.9561946796588295,3340.5212921485636,-28.723332558000482,3036.27888242142,3007.5555498634194,227.3099301540818,63.6900698459182,62.607199763214965
18.72,287.0,222.76641802569793,3.61,NGC5985,31.57,215.15,48.36,4400.053418803419,NGC5985,NGC5985,Bizyaev_2014,,False,unique_to_2014,NGC05981,,EON_234.473_59.392,NGC05981,NGC05981,234.472717,59.39175,r,22.43,0.24,5.62,0.25,0.2505572893446277,3.991103202846975,21.35,0.08,0.031,12.53,0.14,SB,2528.0,NGC5981,NED,thick_like,NGC05981,NGC05981,NGC5981,234.472717,59.39175,NGC5981,NGC5981,NED,,True,coord_review,NGC5985,85.0,0.2280439303552131,Bizyaev_2014,4,0.35,3.097158081006417,3.186784812874047,-0.08962673186763004,-0.7209222796284958,-0.12482301570998595,1.0,1.213848840979769,0.5549865066111515,0.5,0.5938940092165899,0.5938940092165899,0.9838203338328041,2298.909949655903,-206.86650789333115,2650.9015491452988,2444.0350412519674,213.89795691459238,73.10204308540762,64.23358197430207
19.44,294.0,220.14586914134907,3.35,NGC5985,33.2,212.39,47.46,4446.296296296296,NGC5985,NGC5985,Bizyaev_2014,,False,unique_to_2014,NGC05981,,EON_234.473_59.392,NGC05981,NGC05981,234.472717,59.39175,r,22.43,0.24,5.62,0.25,0.2505572893446277,3.991103202846975,21.35,0.08,0.031,12.53,0.14,SB,2528.0,NGC5981,NED,thick_like,NGC05981,NGC05981,NGC5981,234.472717,59.39175,NGC5981,NGC5981,NED,,True,coord_review,NGC5985,85.0,0.2280439303552131,Bizyaev_2014,4,0.35,3.097158081006417,3.186784812874047,-0.08962673186763004,-0.7209222796284958,-0.12482301570998595,1.0,1.213848840979769,0.5549865066111515,0.5,0.5938940092165899,0.5938940092165899,0.9838203338328041,2298.909949655903,-206.86650789333115,2493.0145936213985,2286.148085728067,210.8144178811156,83.18558211888441,73.85413085865093
20.26,290.0,218.41150564931326,3.75,NGC5985,35.16,210.49,46.49,4151.0365251727535,NGC5985,NGC5985,Bizyaev_2014,,False,unique_to_2014,NGC05981,,EON_234.473_59.392,NGC05981,NGC05981,234.472717,59.39175,r,22.43,0.24,5.62,0.25,0.2505572893446277,3.991103202846975,21.35,0.08,0.031,12.53,0.14,SB,2528.0,NGC5981,NED,thick_like,NGC05981,NGC05981,NGC5981,234.472717,59.39175,NGC5981,NGC5981,NED,,True,coord_review,NGC5985,85.0,0.2280439303552131,Bizyaev_2014,4,0.35,3.097158081006417,3.186784812874047,-0.08962673186763004,-0.7209222796284958,-0.12482301570998595,1.0,1.213848840979769,0.5549865066111515,0.5,0.5938940092165899,0.5938940092165899,0.9838203338328041,2298.909949655903,-206.86650789333115,2354.5698815399796,2147.7033736466483,208.59642937998987,81.40357062001013,71.58849435068674
