galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,v_obs_segment_kms,v_vis_segment_kms,v_err_segment_kms,mass_bar_segment_msun,n_points,density_ref_gal_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_density_eff_msun_per_kpc3,alpha_geom_i,alpha_dens_i,Dw_i,sigma_i,beta_i,ell_info_kpc,c_info_gal,tau_struct_gal,S_i,I_int_i,I_ext_i,DeltaD_i
NGC4010,1,0.87,3.5,2.185,2.63,9.94,60.825,68.99372899137225,6.0249999999999995,2418300822.08063,4,91188656.95228384,57.120706999999996,42336675.24599494,2.7197475419761643,2.1675396764226043,2.443643609199384,0.13180592909822142,0.652091112322403,2.620000000000001,1.0,2.0,3638815.007097171,3992561.4106442686,3393677.1990476283,0.15
NGC4010,2,4.37,6.98,5.675000000000001,2.6100000000000003,9.94,110.075,101.36973526596431,5.550000000000001,13558827508.198345,4,91188656.95228384,147.22879500000002,92093584.7379471,2.403140765997279,2.2205345942050463,2.3118376801011626,0.09769311973896277,0.1457219418304691,2.620000000000001,1.0,2.0,1311047.1375301213,2300692.416099334,1955588.553684434,0.15000000000000005
NGC4010,3,7.85,10.47,9.16,2.620000000000001,9.94,125.5,101.06352102974711,4.8,21753240870.336758,4,91188656.95228384,238.5520480000001,91188656.95228384,2.305463383326064,2.1910513561168528,2.2482573697214585,0.06358031037970413,0.01907373078172612,2.620000000000001,1.0,2.0,110585.73568630866,711240.7602381374,604554.6462024169,0.14999999999999997
