galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,segment_index,Dw_i,sigma_i,beta_i,S_i,I_int_i,I_ext_i,DeltaD_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,v_bar_kms,delta_v_i,C_i
NGC4013,5.49,198.0,215.85462932260685,10.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,1,2.221887871903171,0.07033727651671962,0.01917823576793133,2158375.1855018195,2240226.3583519584,1904192.4045991646,0.15000000000000002,1600046992.1374807,54.99155449999999,215.85462932260685,0.09017489556872149,0.013526234335308225
NGC4013,6.17,195.0,222.74844466348134,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,1,2.221887871903171,0.07033727651671962,0.01917823576793133,2158375.1855018195,2240226.3583519584,1904192.4045991646,0.15000000000000002,1600046992.1374807,54.99155449999999,222.74844466348134,0.1422997162229812,0.021344957433447186
NGC4013,6.92,194.0,226.13797160140976,4.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,1,2.221887871903171,0.07033727651671962,0.01917823576793133,2158375.1855018195,2240226.3583519584,1904192.4045991646,0.15000000000000002,1600046992.1374807,54.99155449999999,226.13797160140976,0.1656596474299472,0.024848947114492086
NGC4013,7.69,195.0,227.14213831871882,3.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,1,2.221887871903171,0.07033727651671962,0.01917823576793133,2158375.1855018195,2240226.3583519584,1904192.4045991646,0.15000000000000002,1600046992.1374807,54.99155449999999,227.14213831871882,0.1648314785575324,0.024724721783629864
NGC4013,8.36,195.0,225.69941005682756,3.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,1,2.221887871903171,0.07033727651671962,0.01917823576793133,2158375.1855018195,2240226.3583519584,1904192.4045991646,0.15000000000000002,1600046992.1374807,54.99155449999999,225.69941005682756,0.15743287208629517,0.023614930812944277
NGC4013,9.12,195.0,221.78880832900472,3.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,1,2.221887871903171,0.07033727651671962,0.01917823576793133,2158375.1855018195,2240226.3583519584,1904192.4045991646,0.15000000000000002,1600046992.1374807,54.99155449999999,221.78880832900472,0.13737850425130627,0.020606775637695942
NGC4013,10.56,188.0,203.82179324105653,8.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2,2.1515505953864515,0.06285792729744366,0.003913026848104849,258614.54514199714,941730.5649016674,800470.9801664173,0.15,1051429270.4305358,92.00274199999997,203.82179324105653,0.08415847468647088,0.01262377120297063
NGC4013,11.31,186.0,193.8722992074938,7.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2,2.1515505953864515,0.06285792729744366,0.003913026848104849,258614.54514199714,941730.5649016674,800470.9801664173,0.15,1051429270.4305358,92.00274199999997,193.8722992074938,0.04232418928760105,0.006348628393140158
NGC4013,12.08,186.0,185.08774702826764,6.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2,2.1515505953864515,0.06285792729744366,0.003913026848104849,258614.54514199714,941730.5649016674,800470.9801664173,0.15,1051429270.4305358,92.00274199999997,185.08774702826764,0.004904585869528803,0.0007356878804293203
NGC4013,12.77,186.0,178.37381814604964,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2,2.1515505953864515,0.06285792729744366,0.003913026848104849,258614.54514199714,941730.5649016674,800470.9801664173,0.15,1051429270.4305358,92.00274199999997,178.37381814604964,0.04100097770941052,0.0061501466564115774
NGC4013,13.47,185.0,172.65772760001215,6.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2,2.1515505953864515,0.06285792729744366,0.003913026848104849,258614.54514199714,941730.5649016674,800470.9801664173,0.15,1051429270.4305358,92.00274199999997,172.65772760001215,0.06671498594588027,0.010007247891882039
