file,error
NGC4068_structure_enriched.csv,index 0 is out of bounds for axis 0 with size 0
NGC4389_structure_enriched.csv,index 0 is out of bounds for axis 0 with size 0
UGCA281_structure_enriched.csv,index 0 is out of bounds for axis 0 with size 0
