galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,Dw_i,sigma_i,beta_i,S_i,I_int_i,eta_obs_i,I_ext_i,DeltaD_i,eta_sigma_term_i,eta_dw_term_i,eta_density_term_i,eta_flow_term_i,eta_transition_term_i,propagation_source_i,propagation_term_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_index,v_bar_kms,delta_v_i,C_i
NGC3198,0.32,24.4,63.28,35.9,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.3500548619065658,0.05489475818329126,0.06512140818386014,1015880.3846187086,6134781.542037063,0.5102273137482795,3130133.1066260985,0.4897726862517205,0.44451104110184103,0.30695053348086526,0.5,0.5,0.501656704837559,0.06822145060217247,0.2689232403156669,284176339.1599391,8.662185000000001,1,63.28,1.5934426229508198,0.7804246738306104
NGC3198,0.64,43.3,73.66,16.3,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.3500548619065658,0.05489475818329126,0.06512140818386014,1015880.3846187086,6134781.542037063,0.5102273137482795,3130133.1066260985,0.4897726862517205,0.44451104110184103,0.30695053348086526,0.5,0.5,0.501656704837559,0.06822145060217247,0.2689232403156669,284176339.1599391,8.662185000000001,1,73.66,0.7011547344110854,0.34340643775062896
NGC3198,0.96,45.5,78.98,16.1,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.3500548619065658,0.05489475818329126,0.06512140818386014,1015880.3846187086,6134781.542037063,0.5102273137482795,3130133.1066260985,0.4897726862517205,0.44451104110184103,0.30695053348086526,0.5,0.5,0.501656704837559,0.06822145060217247,0.2689232403156669,284176339.1599391,8.662185000000001,1,78.98,0.7358241758241759,0.36038658320236494
NGC3198,1.28,58.5,82.70074062546236,15.4,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.3500548619065658,0.05489475818329126,0.06512140818386014,1015880.3846187086,6134781.542037063,0.5102273137482795,3130133.1066260985,0.4897726862517205,0.44451104110184103,0.30695053348086526,0.5,0.5,0.501656704837559,0.06822145060217247,0.2689232403156669,284176339.1599391,8.662185000000001,1,82.70074062546236,0.4136878739395275,0.2026130212891255
NGC3198,1.61,68.8,84.22013357861645,7.61,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.3499543220564134,0.054966937271186324,0.06521081381319196,1027050.9142107139,6140406.822547387,0.510414835872354,3134729.6416996545,0.48958516412764597,0.44475716499980583,0.30707876285918356,0.5000194758705384,0.5000117386928333,0.5016075690994379,0.0683784430873739,0.2693208473158275,284868657.1180034,8.683834615384617,1,84.22013357861645,0.224129848526402,0.10973064867670296
NGC3198,1.93,76.9,83.17001502945638,10.3,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.3435197716466503,0.05958639889647028,0.07093277409042867,1741964.8080990342,6500424.775208111,0.5224162518131233,3428907.8864072245,0.47758374818687666,0.46050909446955285,0.3152854430715555,0.5012659315849964,0.500763015034169,0.4984628818596892,0.07842596214026472,0.294767695326106,329177006.4341186,10.069410000000001,1,83.17001502945638,0.08153465577966676,0.03893962651438004
NGC3198,2.24,82.0,87.04126894755154,8.09,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.3372863009371923,0.06406150234596411,0.07647592310900173,2434537.642803346,6849192.166848187,0.5340426235057436,3713893.060967684,0.4659573764942564,0.47576877614337026,0.32323566452729074,0.5024734355583775,0.5014908139898377,0.49541646609618256,0.08815949622275272,0.31941932933606343,372100719.83410525,11.411686153846155,1,87.04126894755154,0.061478889604287115,0.028646542109793637
NGC3198,2.57,86.9,88.91507521224958,7.6,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.330650670827124,0.0688253221470382,0.08237669464490208,3171792.595875676,7220460.680529559,0.546419083694662,4017264.3758223653,0.45358091630533803,0.4920129534090469,0.33169880349629927,0.5037588430139124,0.5022655677168401,0.49217350738019167,0.09852100024604638,0.3456613913466632,417793705.066349,12.84056076923077,1,88.91507521224958,0.023188437425196436,0.010517832695009593
NGC3198,2.89,97.6,88.99149004258778,3.03,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.324216120417361,0.07344478377232216,0.08809865492213878,3886706.4897639975,7580478.633190284,0.5584204996354313,4311442.620529937,0.4415795003645687,0.507764882878794,0.33990548370867113,0.5050052987283704,0.5030168440581756,0.4890288201404429,0.10856851929893721,0.3711082393569417,462102054.3824643,14.226136153846156,1,88.99149004258778,0.08820194628496117,0.038948171371695685
NGC3198,3.21,100.0,93.81692651115789,5.31,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.3177815700075977,0.07806424539760612,0.09382061519937548,4601620.383652317,7940496.585851007,0.5704219155762006,4605620.865237506,0.4295780844237994,0.523516812348541,0.34811216392104305,0.5062517544428283,0.5037681203995112,0.48588413290069415,0.11861603835182805,0.3965550873672203,506410403.69857943,15.611711538461538,2,93.81692651115789,0.06183073488842112,0.026561128651883727
NGC3198,3.54,107.0,101.22075133094003,7.51,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.31114593989753,0.08282806519868019,0.09972138673527584,5338875.336724648,8311765.099532379,0.582798375765119,4908992.1800921885,0.41720162423488105,0.5397609896142175,0.35657530289005157,0.5075371618983632,0.5045428741265136,0.48264117418470326,0.1289775423751217,0.42279714937782004,552103388.9308233,17.040586153846156,2,101.22075133094003,0.05401166980429876,0.022533756369991522
NGC3198,3.85,113.0,108.53059706829222,7.32,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.304912469188072,0.08730316864817403,0.10526453575384889,6031448.17142896,8660532.491172455,0.5944247474577392,5193977.354652648,0.40557525254226073,0.555020671288035,0.36452552434578683,0.5087446658717444,0.5052706730821823,0.47959475842119664,0.13871107645760972,0.4474487833877774,595027102.3308098,18.382862307692307,2,108.53059706829222,0.039552238333697136,0.0160414090508009
NGC3198,4.17,117.0,115.52000043282548,5.21,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.2984779187783086,0.09192263027345798,0.1109864960310856,6746362.06531728,9020550.44383318,0.6064261633985085,5488155.599360218,0.3935738366014914,0.570772600757782,0.3727322045581587,0.5099911215862023,0.506021949423518,0.4764500711814479,0.14875859551050052,0.47289563139805596,639335451.6469251,19.768437692307693,2,115.52000043282548,0.012649568950209543,0.00497853938308907
NGC3198,4.5,119.0,120.54909788131971,5.67,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.2897459041755015,0.09552247821967139,0.11198588120021001,6957474.028245171,9108084.21473855,0.6170434392257119,5609787.475795616,0.382956560774288,0.5815523218646155,0.3819456089587269,0.5103721556257046,0.5062146920215608,0.4720684887552278,0.1560090050016733,0.4958808213395623,651335198.4626149,23.41497500613497,2,120.54909788131971,0.013017629254787482,0.004985186528848172
NGC3198,4.82,127.0,125.50543135657517,5.39,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.279245638385881,0.09788453988401341,0.10820212246309342,6651989.395792757,8917828.726863999,0.6256331036770947,5551501.355083969,0.3743668963229054,0.5867065181778182,0.3916073494020025,0.50986467501816,0.5058372195067324,0.4667155615926103,0.16002288617408725,0.5150113113976597,630299085.3951102,29.101471987730065,2,125.50543135657517,0.01176825703484116,0.0044056458612636825
NGC3198,5.15,132.0,129.5399567701024,4.34,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.2684172392903346,0.10032041597536612,0.10430012126544194,6336958.368576206,8721627.75499337,0.634491195142583,5491393.793100084,0.36550880485741694,0.5920217831258084,0.40157101923413036,0.5093413356416296,0.5054479509758157,0.46119535545616097,0.1641622011331391,0.5347396292700726,608605593.7942461,34.965672,2,129.5399567701024,0.018636691135587826,0.006811874703465523
NGC3198,5.46,134.0,133.342371735319,2.36,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.25824510680664,0.10260866321269745,0.10063460498886026,6041020.130887932,8537317.7511149,0.64281243257986,5434929.113660677,0.35718756742014,0.5970149108042235,0.41093083028855354,0.5088497138030708,0.5050822744770759,0.4560097072673753,0.16805064851891507,0.5532722915138544,588226859.260101,40.474465950920234,2,133.342371735319,0.004907673617022346,0.0017529600009562117
NGC3198,5.78,137.0,136.70281123663844,0.89,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.2477448410170195,0.10497072487703947,0.09685084625174366,5735535.498435519,8347062.2632403495,0.6514020970312427,5376642.99294903,0.3485979029687573,0.6021691071174262,0.4205925707318291,0.5083422331955262,0.5047048019622477,0.45065678010475774,0.17206452969132902,0.5724027815719517,567190746.1925963,46.16096293251533,2,136.70281123663844,0.0021692610464347506,0.0007561998517789661
NGC3198,6.1,140.0,139.73059686410846,2.84,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.2372445752273986,0.1073327865413815,0.09306708751462708,5430050.865983106,8156806.7753658,0.6599917614826254,5318356.872237384,0.34000823851737466,0.6073233034306289,0.43025431117510465,0.5078347525879816,0.5043273294474193,0.44530385294214025,0.17607841086374293,0.591533271630049,546154633.1250917,51.84745991411041,2,139.73059686410846,0.0019243081135109769,0.0006542806120395595
NGC3198,6.43,142.0,142.2462463476629,0.88,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.2264161761318526,0.1097686626327342,0.08916508631697559,5115019.838766556,7960605.80349517,0.6688498529481137,5258249.310253499,0.3311501470518862,0.6126385683786192,0.44021798100723253,0.5073114132114513,0.5039380609165026,0.439783646805691,0.18021772582279477,0.6112615895024619,524461141.52422756,57.71165992638035,3,142.2462463476629,0.00173412920889359,0.0005742571425320835
