galaxy,n_points,n_segments,mean_Dw_i,mean_beta_i,mean_delta_sigma_i,mean_v_struct_kms,rmse_vis_only_kms,rmse_topo_kms,mae_vis_only_kms,mae_topo_kms,reduced_chi2_vis_only,reduced_chi2_topo,rmse_improvement_kms,mae_improvement_kms
NGC4068,6,1,2.095770010174564,1.0,0.0,0.0038567539972579577,6.0332781675934655,6.0332785676369785,4.801296271137378,4.801297475107395,5.445130931015962,5.4451311871175445,-4.000435129825064e-07,-1.2039700170163314e-06
UGCA281,6,1,2.223188582841033,1.0,0.0,0.0056538679126310375,7.177529777039661,7.17752889439359,6.688468146271515,6.688466847945667,21.399920300642766,21.399913444228254,8.826460708988293e-07,1.2983258486087834e-06
UGC08837,7,2,2.060064273665275,0.9366426869786635,0.032429912574127195,0.00348336118876566,8.490305533776496,8.490305568916707,6.9506867492881765,6.950686911368415,9.31837127870333,9.318371669896765,-3.514021074124685e-08,-1.6208023811969952e-07
UGC07089,10,3,2.024458726173117,0.9707765106094636,0.012834773192034632,0.0026332456161006737,15.229946408036618,15.22994635592238,12.303559329756132,12.303559227225119,7.696393487154574,7.696393422455283,5.211423825812744e-08,1.0253101301316292e-07
NGC4010,10,3,2.023764344801276,0.9680949416748647,0.013291058015783896,0.00256300313809916,17.55139775692406,17.55139773678948,15.401422451744116,15.401422419083437,14.345191584623803,14.345191553335654,2.0134582001674062e-08,3.266067949425633e-08
DDO168,9,2,2.064073703115479,0.9250522896897968,0.035189454209302085,0.003565000875662012,19.024813323289894,19.024813144767744,15.826201390734967,15.82620097655367,128.81094172142923,128.8109389793557,1.78522149951732e-07,4.141812972591197e-07
UGC01281,20,5,2.1009204675549618,0.8635823834594542,0.05577097332617616,0.0051619509647678075,19.039841709046208,19.039841290273557,16.21440390457922,16.214403337684164,18.972876049072816,18.972875265906676,4.187726503346312e-07,5.668950571191544e-07
UGC05750,10,2,2.0264151921241833,0.9161373161580878,0.02134733493061769,0.0021970567793444754,21.177236001939548,21.17723599657435,17.68465137815956,17.684652054198512,8.104833924877713,8.104833958391794,5.365198063600474e-09,-6.760389510418463e-07
NGC3917,14,4,2.0191747364348287,0.9707933145594856,0.010691982715168136,0.0024892036200524358,26.275307983859516,26.275307967055742,23.910904002915338,23.910903989462746,39.657952050238954,39.657951997243046,1.680377437196512e-08,1.3452591929308255e-08
NGC0100,17,5,2.0445016760431627,0.9120078036257914,0.027730800326145923,0.003474201365153583,27.477769360087667,27.477769314605364,22.47593038297263,22.475930608013396,22.75170568590904,22.751705573291726,4.548230236878226e-08,-2.2504076468976564e-07
UGC04278,21,5,2.064056649717106,0.8797374659041219,0.03940569514039405,0.004055764446773937,27.733839595268694,27.733839399613117,23.36036661759344,23.36036548529831,30.149033019702177,30.149032556280083,1.9565557707323933e-07,1.132295128769556e-06
UGC06917,10,2,2.0181316311160113,0.9845047991835407,0.008770827634721368,0.0021449990232672075,30.596331189780688,30.5963311590141,28.244821977626014,28.244821936920296,57.79119508699503,57.791194961680425,3.076658927625431e-08,4.070571790748545e-08
NGC4183,19,5,2.0132265147054182,0.9784629350858053,0.006982513562663684,0.002273966825054645,33.32695447458726,33.32695443690652,31.374016102312698,31.374016051049704,35.62939113587394,35.62939105626073,3.768074208210237e-08,5.126299384983213e-08
