r_kpc,v_obs_kms,v_vis_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,h_kpc,segment_index,Dw_i,sigma_i,beta_i,source_core_i,info_source_i,I_struct_i,gamma_topo,alpha_geom_i,alpha_mass_i,weight_geom_i,weight_mass_i,mass_bar_segment_msun,mass_norm_i,alpha_relax_i,neighbor_gradient_i,mean_dw_pert,mean_sigma,mean_beta,r_scale,dw_internal,dw_external,observer_gap,observer_factor,factor_dw,factor_sigma,factor_rscale,factor_beta,gamma_raw,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_kms,rotation_residual_topo_kms,rotation_residual_vis_only_kms
0.87,20.9,19.68121185293223,4.7,UGC07089,4.05,19.26,0.0,502.0804597701149,UGC07089,UGC7089,Bizyaev_2014,,False,unique_to_2014,NGC04111,,EON_181.763_43.066,NGC04111,NGC04111,181.762695,43.065773,r,27.73,0.29,9.19,1.18,0.3314100252434186,3.017410228509249,20.2,0.14,0.22,10.47,0.46,SC,784.0,NGC4111,NED,thick_like,NGC04111,NGC04111,NGC4111,181.762695,43.065773,NGC4111,NGC4111,NED,,True,coord_review,UGC07089,142.0,0.2132645667274477,Bizyaev_2014,0.35,1,2.1280489487512066,0.18703113779467762,0.8697822981115808,0.1678459526889188,0.14598943845849546,0.38395222314584304,1000000.0,2.1182905099665814,2.1365948006879996,0.1380670611439842,0.1576576535975395,682071619.6687983,0.432626593818377,0.2009384301588426,0.07111450106261506,0.2690508882430273,0.11798734034039216,0.942676343949981,2.3541082460195466,2.3289873789100493,2.269050888243027,0.05993649066702211,1.1548593555897382,8.968362941467577,11.798734034139216,0.9416432984082187,1.0,1150705.2743544271,507269.4188741485,664.3225078382557,664.613981586687,-643.713981586687,1.2187881470677695
1.74,36.4,34.07028323921009,3.9,UGC07089,8.89,32.89,0.0,761.4712643678159,UGC07089,UGC7089,Bizyaev_2014,,False,unique_to_2014,NGC04111,,EON_181.763_43.066,NGC04111,NGC04111,181.762695,43.065773,r,27.73,0.29,9.19,1.18,0.3314100252434186,3.017410228509249,20.2,0.14,0.22,10.47,0.46,SC,784.0,NGC4111,NED,thick_like,NGC04111,NGC04111,NGC4111,181.762695,43.065773,NGC4111,NGC4111,NED,,True,coord_review,UGC07089,142.0,0.2132645667274477,Bizyaev_2014,0.35,1,2.1280489487512066,0.18703113779467762,0.8697822981115808,0.1678459526889188,0.14598943845849546,0.38395222314584304,1000000.0,2.1182905099665814,2.1365948006879996,0.1380670611439842,0.1576576535975395,682071619.6687983,0.432626593818377,0.2009384301588426,0.07111450106261506,0.2690508882430273,0.11798734034039216,0.942676343949981,2.3541082460195466,2.3289873789100493,2.269050888243027,0.05993649066702211,1.1548593555897382,8.968362941467577,11.798734034139216,0.9416432984082187,1.0,1150705.2743544271,126817.35471853713,469.7469501872839,470.98087159698383,-434.58087159698385,2.329716760789907
2.61,43.4,44.03643264389158,3.9,UGC07089,12.07,42.35,0.0,721.6704980842912,UGC07089,UGC7089,Bizyaev_2014,,False,unique_to_2014,NGC04111,,EON_181.763_43.066,NGC04111,NGC04111,181.762695,43.065773,r,27.73,0.29,9.19,1.18,0.3314100252434186,3.017410228509249,20.2,0.14,0.22,10.47,0.46,SC,784.0,NGC4111,NED,thick_like,NGC04111,NGC04111,NGC4111,181.762695,43.065773,NGC4111,NGC4111,NED,,True,coord_review,UGC07089,142.0,0.2132645667274477,Bizyaev_2014,0.35,1,2.1280489487512066,0.18703113779467762,0.8697822981115808,0.1678459526889188,0.14598943845849546,0.38395222314584304,1000000.0,2.1182905099665814,2.1365948006879996,0.1380670611439842,0.1576576535975395,682071619.6687983,0.432626593818377,0.2009384301588426,0.07111450106261506,0.2690508882430273,0.11798734034039216,0.942676343949981,2.3541082460195466,2.3289873789100493,2.269050888243027,0.05993649066702211,1.1548593555897382,8.968362941467577,11.798734034139216,0.9416432984082187,1.0,1150705.2743544271,56363.26876379429,383.5467787291442,386.0664954039694,-342.6664954039694,-0.636432643891581
4.37,59.7,52.13794971035973,3.9,UGC07089,14.33,50.13,0.0,815.5812356979405,UGC07089,UGC7089,Bizyaev_2014,,False,unique_to_2014,NGC04111,,EON_181.763_43.066,NGC04111,NGC04111,181.762695,43.065773,r,27.73,0.29,9.19,1.18,0.3314100252434186,3.017410228509249,20.2,0.14,0.22,10.47,0.46,SC,784.0,NGC4111,NED,thick_like,NGC04111,NGC04111,NGC4111,181.762695,43.065773,NGC4111,NGC4111,NED,,True,coord_review,UGC07089,142.0,0.2132645667274477,Bizyaev_2014,0.35,2,2.3150800865458843,0.11798734034039216,0.9891748559705301,0.13189463270455715,0.1304668543088163,0.6683699655390625,1000000.0,2.0313075487717143,2.349269548928314,0.060240963855421686,0.5,3644211336.501261,1.0,0.013907292364164991,0.054122633183666134,0.2690508882430273,0.11798734034039216,0.942676343949981,2.3541082460195466,2.3289873789100493,2.269050888243027,0.05993649066702211,1.1548593555897382,8.968362941467577,11.798734034139216,0.9416432984082187,1.0,1150705.2743544271,34998.87235829179,391.08192518414234,394.54206113636997,-334.84206113637,7.5620502896402755
5.24,64.5,53.93761303580276,4.4,UGC07089,18.1,50.81,0.0,793.9408396946565,UGC07089,UGC7089,Bizyaev_2014,,False,unique_to_2014,NGC04111,,EON_181.763_43.066,NGC04111,NGC04111,181.762695,43.065773,r,27.73,0.29,9.19,1.18,0.3314100252434186,3.017410228509249,20.2,0.14,0.22,10.47,0.46,SC,784.0,NGC4111,NED,thick_like,NGC04111,NGC04111,NGC4111,181.762695,43.065773,NGC4111,NGC4111,NED,,True,coord_review,UGC07089,142.0,0.2132645667274477,Bizyaev_2014,0.35,2,2.3150800865458843,0.11798734034039216,0.9891748559705301,0.13189463270455715,0.1304668543088163,0.6683699655390625,1000000.0,2.0313075487717143,2.349269548928314,0.060240963855421686,0.5,3644211336.501261,1.0,0.013907292364164991,0.054122633183666134,0.2690508882430273,0.11798734034039216,0.942676343949981,2.3541082460195466,2.3289873789100493,2.269050888243027,0.05993649066702211,1.1548593555897382,8.968362941467577,11.798734034139216,0.9416432984082187,1.0,1150705.2743544271,24341.89315668749,357.14355676820276,361.193557862045,-296.693557862045,10.562386964197238
6.11,67.9,54.11803119109194,3.9,UGC07089,21.23,49.78,0.0,754.5679214402619,UGC07089,UGC7089,Bizyaev_2014,,False,unique_to_2014,NGC04111,,EON_181.763_43.066,NGC04111,NGC04111,181.762695,43.065773,r,27.73,0.29,9.19,1.18,0.3314100252434186,3.017410228509249,20.2,0.14,0.22,10.47,0.46,SC,784.0,NGC4111,NED,thick_like,NGC04111,NGC04111,NGC4111,181.762695,43.065773,NGC4111,NGC4111,NED,,True,coord_review,UGC07089,142.0,0.2132645667274477,Bizyaev_2014,0.35,2,2.3150800865458843,0.11798734034039216,0.9891748559705301,0.13189463270455715,0.1304668543088163,0.6683699655390625,1000000.0,2.0313075487717143,2.349269548928314,0.060240963855421686,0.5,3644211336.501261,1.0,0.013907292364164991,0.054122633183666134,0.2690508882430273,0.11798734034039216,0.942676343949981,2.3541082460195466,2.3289873789100493,2.269050888243027,0.05993649066702211,1.1548593555897382,8.968362941467577,11.798734034139216,0.9416432984082187,1.0,1150705.2743544271,17903.358384314368,330.7408649201982,335.139196496263,-267.23919649626305,13.781968808908069
6.98,70.3,54.096145888593576,6.1,UGC07089,23.49,48.73,0.0,708.035816618911,UGC07089,UGC7089,Bizyaev_2014,,False,unique_to_2014,NGC04111,,EON_181.763_43.066,NGC04111,NGC04111,181.762695,43.065773,r,27.73,0.29,9.19,1.18,0.3314100252434186,3.017410228509249,20.2,0.14,0.22,10.47,0.46,SC,784.0,NGC4111,NED,thick_like,NGC04111,NGC04111,NGC4111,181.762695,43.065773,NGC4111,NGC4111,NED,,True,coord_review,UGC07089,142.0,0.2132645667274477,Bizyaev_2014,0.35,3,2.364023629431991,0.048943542886106695,0.969071877767832,0.10183274010585819,0.09868324467262761,0.8834994389253906,1000000.0,2.0182231902644343,2.3881736454038385,0.04156769596199525,0.5952015740112986,5358322029.581978,1.2125862183425997,0.0350362505219417,0.022451166461516837,0.2690508882430273,0.11798734034039216,0.942676343949981,2.3541082460195466,2.3289873789100493,2.269050888243027,0.05993649066702211,1.1548593555897382,8.968362941467577,11.798734034139216,0.9416432984082187,1.0,1150705.2743544271,18134.076052852408,355.77500031467895,359.86420195527893,-289.5642019552789,16.20385411140642
7.85,73.7,53.82706010920529,6.1,UGC07089,25.32,47.5,0.0,691.9350318471338,UGC07089,UGC7089,Bizyaev_2014,,False,unique_to_2014,NGC04111,,EON_181.763_43.066,NGC04111,NGC04111,181.762695,43.065773,r,27.73,0.29,9.19,1.18,0.3314100252434186,3.017410228509249,20.2,0.14,0.22,10.47,0.46,SC,784.0,NGC4111,NED,thick_like,NGC04111,NGC04111,NGC4111,181.762695,43.065773,NGC4111,NGC4111,NED,,True,coord_review,UGC07089,142.0,0.2132645667274477,Bizyaev_2014,0.35,3,2.364023629431991,0.048943542886106695,0.969071877767832,0.10183274010585819,0.09868324467262761,0.8834994389253906,1000000.0,2.0182231902644343,2.3881736454038385,0.04156769596199525,0.5952015740112986,5358322029.581978,1.2125862183425997,0.0350362505219417,0.022451166461516837,0.2690508882430273,0.11798734034039216,0.942676343949981,2.3541082460195466,2.3289873789100493,2.269050888243027,0.05993649066702211,1.1548593555897382,8.968362941467577,11.798734034139216,0.9416432984082187,1.0,1150705.2743544271,14337.286525626041,335.481294897591,339.77205833641534,-266.07205833641535,19.87293989079471
8.72,77.6,53.22826692651189,6.1,UGC07089,26.4,46.22,0.0,690.5688073394494,UGC07089,UGC7089,Bizyaev_2014,,False,unique_to_2014,NGC04111,,EON_181.763_43.066,NGC04111,NGC04111,181.762695,43.065773,r,27.73,0.29,9.19,1.18,0.3314100252434186,3.017410228509249,20.2,0.14,0.22,10.47,0.46,SC,784.0,NGC4111,NED,thick_like,NGC04111,NGC04111,NGC4111,181.762695,43.065773,NGC4111,NGC4111,NED,,True,coord_review,UGC07089,142.0,0.2132645667274477,Bizyaev_2014,0.35,3,2.364023629431991,0.048943542886106695,0.969071877767832,0.10183274010585819,0.09868324467262761,0.8834994389253906,1000000.0,2.0182231902644343,2.3881736454038385,0.04156769596199525,0.5952015740112986,5358322029.581978,1.2125862183425997,0.0350362505219417,0.022451166461516837,0.2690508882430273,0.11798734034039216,0.942676343949981,2.3541082460195466,2.3289873789100493,2.269050888243027,0.05993649066702211,1.1548593555897382,8.968362941467577,11.798734034139216,0.9416432984082187,1.0,1150705.2743544271,11619.121903214565,318.30605240244967,322.7258765516503,-245.1258765516503,24.3717330734881
9.16,79.1,52.60427739262274,7.3,UGC07089,26.4,45.5,0.0,683.0578602620087,UGC07089,UGC7089,Bizyaev_2014,,False,unique_to_2014,NGC04111,,EON_181.763_43.066,NGC04111,NGC04111,181.762695,43.065773,r,27.73,0.29,9.19,1.18,0.3314100252434186,3.017410228509249,20.2,0.14,0.22,10.47,0.46,SC,784.0,NGC4111,NED,thick_like,NGC04111,NGC04111,NGC4111,181.762695,43.065773,NGC4111,NGC4111,NED,,True,coord_review,UGC07089,142.0,0.2132645667274477,Bizyaev_2014,0.35,3,2.364023629431991,0.048943542886106695,0.969071877767832,0.10183274010585819,0.09868324467262761,0.8834994389253906,1000000.0,2.0182231902644343,2.3881736454038385,0.04156769596199525,0.5952015740112986,5358322029.581978,1.2125862183425997,0.0350362505219417,0.022451166461516837,0.2690508882430273,0.11798734034039216,0.942676343949981,2.3541082460195466,2.3289873789100493,2.269050888243027,0.05993649066702211,1.1548593555897382,8.968362941467577,11.798734034139216,0.9416432984082187,1.0,1150705.2743544271,10529.683822359777,310.56706813958164,314.9906567071721,-235.8906567071721,26.495722607377253
