echo_patch,location_label,delay_time_days,delay_time_err_plus_days,delay_time_err_minus_days,theta_arcsec,z_1e17_cm,z_err_1e17_cm,hemisphere_group,source_table,notes
N1,north,125,8,8,4.52,0.0,0.4,north_south_ring,Sokoloski2013_Table2,Key echo region used in distance/ring geometry analysis.
S1,south,136,5,5,4.99,0.1,0.4,north_south_ring,Sokoloski2013_Table2,Key echo region used in distance/ring geometry analysis.
N2,north #2,156,5,5,5.50,-0.1,0.4,north_south_ring,Sokoloski2013_Table2,Key echo region used in distance/ring geometry analysis.
S2,south #2,162,3,3,5.82,0.0,0.4,north_south_ring,Sokoloski2013_Table2,Key echo region used in distance/ring geometry analysis.
NW,northwest,159,10,1,3.99,-1.1,0.2,west_side_inclined,Sokoloski2013_Table2,Used to infer ring inclination.
W,west,164,20,5,3.32,-1.5,0.2,west_side_inclined,Sokoloski2013_Table2,Used to infer ring inclination.
