galaxy,n_points,n_segments,mean_Dw_i,mean_sigma_i,mean_DeltaD_i,std_DeltaD_i,mean_delta_v_i,M_gal,R_gal,propagation_term_mean,propagation_source_mean,ell_info_kpc,density_ref_gal_msun_per_kpc3
DDO168,10,2,2.2841906530715903,0.10762250956485397,0.49719244529767864,0.03109765791730617,0.33066982021725205,0.16906013831289224,0.9333128583995915,0.29456202931061426,0.5,1.9769999999999999,75300744.96280545
ESO563-G021,30,5,2.0898387264367373,0.017069328710298003,0.42234859846186024,0.12394042438430196,0.3147385952704379,0.10885963126847015,-0.43196694651715967,0.11463849440390575,0.44633327594809946,8.5,4972515764.711152
IC4202,32,5,2.147029425853597,0.036824752083930566,0.5081950096448612,0.06367389507280677,0.2156063382860122,0.1114438735789372,0.055222800424723655,0.11607543663383302,0.46083401982633054,3.9700000000000006,870273012.8993666
NGC0100,21,5,2.405069179446495,0.1359863979797785,0.5251511940831681,0.03233697736694862,0.29156956392020095,0.150355649246168,-0.5525256369058735,0.13362401215496755,0.5461206123705397,2.0,56584745.922046766
NGC2403,73,5,2.1830250312414097,0.074618590735259,0.43703432184455077,0.13909457981277043,0.21066590603576663,0.11148216370202062,0.7133903795879294,0.12057002240540916,0.5200014868653083,3.38,1357749636.4929445
NGC2683,11,2,2.2029389564334108,0.1849904057081675,0.48955675238004087,0.05870064024427518,0.16949354890544696,0.08795704176971658,0.7879595616666822,0.31125306473342745,0.5,14.424999999999999,24312998.44047567
NGC2841,50,5,2.1636952457552936,0.07485608749846331,0.47469920102275,0.14543238772636533,0.25255408391929535,0.13673405823656215,0.67182457114916,0.10138690376796479,0.49287952742731206,12.240000000000002,607651636.969469
NGC2998,13,3,2.226069473156314,0.22787037020636713,0.3907075365620364,0.14487514804461504,0.17477439758625726,0.0630305709094848,-0.2743534679808044,0.15120423142890616,0.4556989381180986,13.850000000000001,222861850.65588945
NGC3198,43,5,2.1754597816309404,0.0728659060543857,0.42536289642609054,0.1381035172299115,0.2543189814811753,0.10782057476864994,-0.009005548226973468,0.10071885163696509,0.4825019380477258,5.259999999999999,284176339.1599391
NGC3769,12,3,2.1412520781800217,0.12213373364093894,0.541915508156891,0.11009666365998347,0.30586435108052396,0.17807021268483056,0.748182917271208,0.1886564979063169,0.4996461057176542,5.799999999999999,123821242.45870626
NGC3917,17,4,2.225375092504513,0.05441203105514447,0.515798478327288,0.04789751911273599,0.21411745063476587,0.1114681113207818,0.2446258233662772,0.13400976152373767,0.5058210494495069,2.6250000000000004,168121561.79605794
NGC4010,12,3,2.334579553007335,0.09769311973896277,0.5085209163498314,0.010741286856927367,0.1602889067540161,0.08100247785840341,-0.7190843896869018,0.17094969857150033,0.48954507900061456,2.620000000000001,91188656.95228384
NGC4013,36,5,2.1252709714603166,0.04196591875538851,0.49302699048133175,0.03147559567228285,0.18814133608173686,0.09046790185951283,-0.6192283896191286,0.11483437393785079,0.5382579529937725,4.42,610229883.7962602
NGC4068,6,1,2.295121031684408,0.0,0.0,0.0,0.23167014543970335,0.0,,0.0,0.0,2.12,72804900.72936271
NGC4088,12,3,2.12109938500992,0.04497484612552172,0.4901958897562388,0.04808993462343291,0.2845006411780338,0.13158816930452463,-0.9140764619232022,0.17087605536703263,0.4967656656166127,5.24,1338497201.579239
NGC4157,17,4,2.2268638059964565,0.08784681531381872,0.49886060031848745,0.011490403605036186,0.20689145811463103,0.10258876858329817,-0.4125659584123775,0.13122848151651453,0.49482035887799103,5.2299999999999995,119491006.83341289
NGC4183,23,5,2.2514120650391183,0.060720913255322806,0.5116738334951666,0.02692316682150015,0.30366475554203115,0.1566525989478093,0.630506169934124,0.11507496489429479,0.5004271751291095,3.5,41664180.60558628
NGC4389,6,1,2.2294507833895354,0.0,0.0,0.0,0.9893533787901543,0.0,,0.0,0.0,4.45,366126910.5563718
NGC5907,19,4,2.16086671598128,0.042164677820171026,0.5002802558228747,0.03186298556400984,0.16779597136578384,0.0859253600193706,0.5716288358407486,0.12998877062625452,0.4812779821820761,10.07,56853720.71159631
NGC5985,33,5,2.1409455579805514,0.03513319032728783,0.5024831500664974,0.13095051292542315,0.27895294167349766,0.13929130957933916,-0.1562520166099905,0.12857666240916335,0.5471346798564447,4.4799999999999995,480240442.70134723
UGC01281,25,5,2.7305281114276942,0.15404777325245989,0.4910536054600287,0.13153856994208707,0.5286287579286911,0.24480320573558054,-0.19685778473503063,0.16270177415401288,0.5178990277832588,2.0,9546723.325059151
