r_kpc,v_obs_kms,v_bar_internal_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,segment_index,h_i_kpc,d_i,d_gal_mean,sigma_i,sigma_norm,sigma_desc_i,beta_i,psi_i,omega_i,density_ratio_i,thickness_visibility_i,radial_visibility_i,tau_i,v_desc_kms,g_bar_internal_km2s2_per_kpc,g_desc_km2s2_per_kpc,g_transform_km2s2_per_kpc,rotation_residual_desc_kms,rotation_residual_bar_only_kms
0.09,16.5,16.6754250320644,4.57,UGC05721,1.23,16.63,0.0,3025.0,UGC05721,UGC5721,Bizyaev_2014,,False,unique_to_2014,2MASXJ10331910+2734073,,EON_158.330_27.569,2MASXJ10331910+2734073,,158.329697,27.568743,r,2.92,0.02,1.17,0.06,0.4006849315068493,2.495726495726496,20.87,0.14,0.025,16.28,0.16,SC,12179.0,2MASXJ10331910+2734073,NED,thick_like,2MASXJ10331910+2734073,2MASXJ10331910+2734073,,158.329697,27.568743,2MASXJ10331910+2734073,,NED,,True,coord_review,UGC05721,122.0,0.2492801093997276,Bizyaev_2014,1,0.35,3.2212548738012488,3.10678549419961,0.11446937960163872,1.0,0.13650577305703832,0.85,0.08606881472877181,0.4208917250239106,0.8417834500478212,0.5,0.06676557863501484,0.004203259024765938,16.710433848238797,3089.6644444444446,3102.651104404054,12.98665995960937,-0.21043384823879663,-0.17542503206439974
0.27,38.5,32.42834099981064,6.88,UGC05721,3.67,32.22,0.0,5489.814814814815,UGC05721,UGC5721,Bizyaev_2014,,False,unique_to_2014,2MASXJ10331910+2734073,,EON_158.330_27.569,2MASXJ10331910+2734073,,158.329697,27.568743,r,2.92,0.02,1.17,0.06,0.4006849315068493,2.495726495726496,20.87,0.14,0.025,16.28,0.16,SC,12179.0,2MASXJ10331910+2734073,NED,thick_like,2MASXJ10331910+2734073,2MASXJ10331910+2734073,,158.329697,27.568743,2MASXJ10331910+2734073,,NED,,True,coord_review,UGC05721,122.0,0.2492801093997276,Bizyaev_2014,1,0.35,3.2212548738012488,3.10678549419961,0.11446937960163872,1.0,0.13650577305703832,0.85,0.08606881472877181,0.4208917250239106,0.8417834500478212,0.5,0.06676557863501484,0.004203259024765938,32.49642189290453,3894.804814814814,3911.1756883023877,16.37087348757359,6.003578107095471,6.0716590001893564
0.45,47.4,40.713056873686114,4.57,UGC05721,5.99,40.27,0.0,4992.799999999999,UGC05721,UGC5721,Bizyaev_2014,,False,unique_to_2014,2MASXJ10331910+2734073,,EON_158.330_27.569,2MASXJ10331910+2734073,,158.329697,27.568743,r,2.92,0.02,1.17,0.06,0.4006849315068493,2.495726495726496,20.87,0.14,0.025,16.28,0.16,SC,12179.0,2MASXJ10331910+2734073,NED,thick_like,2MASXJ10331910+2734073,2MASXJ10331910+2734073,,158.329697,27.568743,2MASXJ10331910+2734073,,NED,,True,coord_review,UGC05721,122.0,0.2492801093997276,Bizyaev_2014,1,0.35,3.2212548738012488,3.10678549419961,0.11446937960163872,1.0,0.13650577305703832,0.85,0.08606881472877181,0.4208917250239106,0.8417834500478212,0.5,0.06676557863501484,0.004203259024765938,40.79853091235367,3683.4511111111115,3698.933610236173,15.482499125061622,6.601469087646329,6.686943126313885
0.63,55.5,44.23539306935115,4.57,UGC05721,8.14,43.48,0.0,4889.285714285715,UGC05721,UGC5721,Bizyaev_2014,,False,unique_to_2014,2MASXJ10331910+2734073,,EON_158.330_27.569,2MASXJ10331910+2734073,,158.329697,27.568743,r,2.92,0.02,1.17,0.06,0.4006849315068493,2.495726495726496,20.87,0.14,0.025,16.28,0.16,SC,12179.0,2MASXJ10331910+2734073,NED,thick_like,2MASXJ10331910+2734073,2MASXJ10331910+2734073,,158.329697,27.568743,2MASXJ10331910+2734073,,NED,,True,coord_review,UGC05721,122.0,0.2492801093997276,Bizyaev_2014,1,0.35,3.2212548738012488,3.10678549419961,0.11446937960163872,1.0,0.13650577305703832,0.85,0.08606881472877181,0.4208917250239106,0.8417834500478212,0.5,0.06676557863501484,0.004203259024765938,44.32826199121607,3105.9841269841263,3119.0393827966523,13.055255812525957,11.171738008783933,11.264606930648853
0.99,59.8,45.253977725720425,4.57,UGC05721,11.72,43.71,0.0,3612.161616161616,UGC05721,UGC5721,Bizyaev_2014,,False,unique_to_2014,2MASXJ10331910+2734073,,EON_158.330_27.569,2MASXJ10331910+2734073,,158.329697,27.568743,r,2.92,0.02,1.17,0.06,0.4006849315068493,2.495726495726496,20.87,0.14,0.025,16.28,0.16,SC,12179.0,2MASXJ10331910+2734073,NED,thick_like,2MASXJ10331910+2734073,2MASXJ10331910+2734073,,158.329697,27.568743,2MASXJ10331910+2734073,,NED,,True,coord_review,UGC05721,122.0,0.2492801093997276,Bizyaev_2014,2,0.35,3.1169750055486367,3.10678549419961,0.010189511349026681,0.08901517055903402,0.012226804283187672,0.85,0.22275526193105388,0.311364536977423,0.622729073954846,0.5,0.18694362017804153,0.0007208236126107946,45.27028485546339,2068.608585858586,2070.099687772523,1.4911019139367454,14.52971514453661,14.546022274279572
1.17,67.8,46.08581235044035,4.57,UGC05721,13.25,44.14,0.0,3928.9230769230767,UGC05721,UGC5721,Bizyaev_2014,,False,unique_to_2014,2MASXJ10331910+2734073,,EON_158.330_27.569,2MASXJ10331910+2734073,,158.329697,27.568743,r,2.92,0.02,1.17,0.06,0.4006849315068493,2.495726495726496,20.87,0.14,0.025,16.28,0.16,SC,12179.0,2MASXJ10331910+2734073,NED,thick_like,2MASXJ10331910+2734073,2MASXJ10331910+2734073,,158.329697,27.568743,2MASXJ10331910+2734073,,NED,,True,coord_review,UGC05721,122.0,0.2492801093997276,Bizyaev_2014,2,0.35,3.1169750055486367,3.10678549419961,0.010189511349026681,0.08901517055903402,0.012226804283187672,0.85,0.22275526193105388,0.311364536977423,0.622729073954846,0.5,0.18694362017804153,0.0007208236126107946,46.102419229196144,1815.3009401709405,1816.6094519526107,1.3085117816701768,21.697580770803853,21.714187649559648
1.35,76.4,45.50434924268228,4.57,UGC05721,15.37,42.83,0.0,4323.674074074074,UGC05721,UGC5721,Bizyaev_2014,,False,unique_to_2014,2MASXJ10331910+2734073,,EON_158.330_27.569,2MASXJ10331910+2734073,,158.329697,27.568743,r,2.92,0.02,1.17,0.06,0.4006849315068493,2.495726495726496,20.87,0.14,0.025,16.28,0.16,SC,12179.0,2MASXJ10331910+2734073,NED,thick_like,2MASXJ10331910+2734073,2MASXJ10331910+2734073,,158.329697,27.568743,2MASXJ10331910+2734073,,NED,,True,coord_review,UGC05721,122.0,0.2492801093997276,Bizyaev_2014,2,0.35,3.1169750055486367,3.10678549419961,0.010189511349026681,0.08901517055903402,0.012226804283187672,0.85,0.22275526193105388,0.311364536977423,0.622729073954846,0.5,0.18694362017804153,0.0007208236126107946,45.52074659302056,1533.8117037037032,1534.9173113970317,1.1056076933284658,30.879253406979444,30.895650757317725
1.71,82.2,44.28921764944601,19.2,UGC05721,21.32,38.82,0.0,3951.368421052632,UGC05721,UGC5721,Bizyaev_2014,,False,unique_to_2014,2MASXJ10331910+2734073,,EON_158.330_27.569,2MASXJ10331910+2734073,,158.329697,27.568743,r,2.92,0.02,1.17,0.06,0.4006849315068493,2.495726495726496,20.87,0.14,0.025,16.28,0.16,SC,12179.0,2MASXJ10331910+2734073,NED,thick_like,2MASXJ10331910+2734073,2MASXJ10331910+2734073,,158.329697,27.568743,2MASXJ10331910+2734073,,NED,,True,coord_review,UGC05721,122.0,0.2492801093997276,Bizyaev_2014,3,0.35,3.005206750405332,3.10678549419961,-0.10157874379427811,-0.8873879123638051,-0.12129434550750665,0.85,0.3546742171427054,0.02123086339777179,0.04246172679554358,0.5,0.3249258160237389,-0.0007763485674654504,44.2720223760784,1147.0963742690058,1146.2058276420971,-0.8905466269086446,37.927977623921606,37.910782350553994
1.89,82.6,43.049629498986405,4.57,UGC05721,22.09,36.95,0.0,3609.9259259259256,UGC05721,UGC5721,Bizyaev_2014,,False,unique_to_2014,2MASXJ10331910+2734073,,EON_158.330_27.569,2MASXJ10331910+2734073,,158.329697,27.568743,r,2.92,0.02,1.17,0.06,0.4006849315068493,2.495726495726496,20.87,0.14,0.025,16.28,0.16,SC,12179.0,2MASXJ10331910+2734073,NED,thick_like,2MASXJ10331910+2734073,2MASXJ10331910+2734073,,158.329697,27.568743,2MASXJ10331910+2734073,,NED,,True,coord_review,UGC05721,122.0,0.2492801093997276,Bizyaev_2014,3,0.35,3.005206750405332,3.10678549419961,-0.10157874379427811,-0.8873879123638051,-0.12129434550750665,0.85,0.3546742171427054,0.02123086339777179,0.04246172679554358,0.5,0.3249258160237389,-0.0007763485674654504,43.03291549528761,980.5664550264554,979.8051936637909,-0.761261362664527,39.56708450471238,39.55037050101359
2.07,82.3,40.63814095157405,4.57,UGC05721,20.36,35.17,0.0,3272.12077294686,UGC05721,UGC5721,Bizyaev_2014,,False,unique_to_2014,2MASXJ10331910+2734073,,EON_158.330_27.569,2MASXJ10331910+2734073,,158.329697,27.568743,r,2.92,0.02,1.17,0.06,0.4006849315068493,2.495726495726496,20.87,0.14,0.025,16.28,0.16,SC,12179.0,2MASXJ10331910+2734073,NED,thick_like,2MASXJ10331910+2734073,2MASXJ10331910+2734073,,158.329697,27.568743,2MASXJ10331910+2734073,,NED,,True,coord_review,UGC05721,122.0,0.2492801093997276,Bizyaev_2014,3,0.35,3.005206750405332,3.10678549419961,-0.10157874379427811,-0.8873879123638051,-0.12129434550750665,0.85,0.3546742171427054,0.02123086339777179,0.04246172679554358,0.5,0.3249258160237389,-0.0007763485674654504,40.62236320746611,797.806038647343,797.1866630721238,-0.6193755752192374,41.67763679253389,41.661859048425946
