galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
NGC1705,0.22,50.2,7.5,5.62,33.24,0.0,11454.727272727274
NGC1705,0.66,62.2,7.51,13.36,44.88,0.0,5861.878787878788
NGC1705,1.11,72.4,5.35,17.38,43.65,0.0,4722.306306306307
NGC1705,1.55,73.2,3.31,17.38,39.37,0.0,3456.929032258065
NGC1705,2.0,72.9,3.21,17.17,35.3,0.0,2657.2050000000004
NGC1705,2.45,72.6,2.73,16.22,31.81,0.0,2151.3306122448976
NGC1705,2.89,71.5,3.41,15.26,28.94,0.0,1768.9446366782006
NGC1705,3.34,71.1,4.38,14.31,26.66,0.0,1513.5359281437125
NGC1705,3.78,71.4,4.6,13.46,24.88,0.0,1348.666666666667
NGC1705,4.22,71.5,5.68,13.36,23.42,0.0,1211.4336492890995
NGC1705,4.66,71.5,6.2,13.36,22.2,0.0,1097.049356223176
NGC1705,5.11,71.3,6.43,13.46,21.14,0.0,994.8512720156555
NGC1705,5.56,71.8,9.68,13.46,20.22,0.0,927.2014388489209
NGC1705,6.0,71.5,10.5,14.31,19.44,0.0,852.0416666666666
