galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
UGC05716,1.03,39.15,4.06,3.65,21.66,0.0,1488.0800970873784
UGC05716,2.07,49.15,1.65,7.45,27.59,0.0,1167.015700483092
UGC05716,3.09,55.05,0.6,11.19,26.88,0.0,980.7451456310679
UGC05716,4.13,59.35,0.41,14.76,25.3,0.0,852.886803874092
UGC05716,5.16,63.85,0.46,18.24,24.0,0.0,790.0818798449612
UGC05716,6.2,68.2,0.86,21.81,21.76,0.0,750.2
UGC05716,7.23,71.7,1.07,25.2,19.92,0.0,711.0497925311204
UGC05716,8.26,73.5,1.07,27.64,18.42,0.0,654.0254237288136
UGC05716,9.28,73.15,1.0,28.96,17.21,0.0,576.6080280172415
UGC05716,10.34,72.5,0.74,29.43,16.16,0.0,508.3413926499033
UGC05716,11.4,73.0,1.07,28.96,15.29,0.0,467.4561403508772
UGC05716,12.37,74.7,2.09,27.83,14.6,0.0,451.0986257073566
