galaxy,source_file,beta_mode,beta_mean,beta_max,d_eff_mean,d_eff_max,cinfo_cap_mean,eta_mean,eta_max,struct_to_bar_ratio_mean,struct_to_bar_ratio_max,sigma_flip_severity,a_newton_source,rmse_kmps,mean_absolute_fractional_error,n_points,status,error
CamB,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\CamB_normalized.csv,local_structural_coupling_v4,91.31381345092024,113.07345241242292,2.316067417951055,2.4293507130619973,0.5607116119673698,0.4552233978358848,0.5758833766322313,0.405859292270437,0.6477299757349896,104.2082801709764,computed_from_baryonic_velocity,6.1394647319555595,0.7244270596653221,9,ok,
D512-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\D512-2_normalized.csv,local_structural_coupling_v4,73.82218440792315,79.76738773839578,2.233766348552534,2.2569719041565155,0.5058442323683561,0.45173573701340203,0.5057763227317971,0.45918620447301106,0.5484360967512881,7.401292595317933,computed_from_baryonic_velocity,18.089570027611803,0.5356161205718954,4,ok,
D564-8,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\D564-8_normalized.csv,local_structural_coupling_v4,69.1711441501763,86.16362320666317,2.2214458887757105,2.28543589148399,0.4976305925171401,0.44929628597759064,0.5374651566156907,0.45434150427034753,0.5764049937169263,3.475274918227111,computed_from_baryonic_velocity,12.795550993655038,0.5689583301665423,6,ok,
D631-7,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\D631-7_normalized.csv,local_structural_coupling_v4,67.75820034003613,94.68054845295099,2.21507284389184,2.3178792302686517,0.4933818959278934,0.46167904863386333,0.5825771248408411,0.43246076852482307,0.6055910544713016,50.63849887478859,computed_from_baryonic_velocity,30.53112926684496,0.5633998568764502,16,ok,
DDO064,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\DDO064_normalized.csv,local_structural_coupling_v4,74.33639505437108,84.75615759227647,2.232585030866132,2.2739757045871674,0.5050566872440881,0.4204009555368435,0.5392257950398573,0.39269440457049015,0.7450508694664935,50.87454233192099,computed_from_baryonic_velocity,16.365183618994617,0.38767574776810115,14,ok,
DDO154,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\DDO154_normalized.csv,local_structural_coupling_v4,85.74855222732413,117.4300965921254,2.297105802025079,2.451173735683009,0.5480705346833857,0.46080589859979887,0.5970448092806163,0.4636657364441283,0.6263816737325818,6.815368822929354,computed_from_baryonic_velocity,27.612694124163514,0.6214292235104234,12,ok,
DDO161,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\DDO161_normalized.csv,local_structural_coupling_v4,79.1182178786549,130.3718821619655,2.274152592077325,2.5468430302580396,0.5327683947182161,0.4345766201415337,0.6263685704217099,0.4065982265256053,0.6246543719188333,25.42966848179865,computed_from_baryonic_velocity,29.364750159191615,0.41973961350559336,31,ok,
DDO168,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\DDO168_normalized.csv,local_structural_coupling_v4,77.49143622175636,100.68312558656051,2.2525746394475954,2.3506722100632644,0.5183830929650635,0.4524513340835343,0.5719165129069659,0.4021029656234754,0.5923759823719332,73.8002281637965,computed_from_baryonic_velocity,25.359401668499295,0.42218099724696934,10,ok,
DDO170,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\DDO170_normalized.csv,local_structural_coupling_v4,96.00290058884244,126.14137755125444,2.365355728468983,2.527266077547631,0.5935704856459886,0.4783532617551629,0.5965004924123398,0.4637438358945427,0.6253868040115598,1.2001015238505683,computed_from_baryonic_velocity,32.772683527917934,0.5841234483991319,8,ok,
ESO079-G014,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\ESO079-G014_normalized.csv,local_structural_coupling_v4,82.9914394761481,132.3371828334609,2.3051127868062435,2.577280231830729,0.5534085245374957,0.4459312279324459,0.619233493740589,0.28828129556995774,0.5237222854469993,87.47837630904579,computed_from_baryonic_velocity,46.89961601107808,0.27631064396368077,15,ok,
