galaxy,source_file,beta_mode,beta,beta_mean,beta_max,d_eff_mean,d_eff_max,cinfo_cap_mean,a_newton_source,rmse_kmps,mean_absolute_fractional_error,n_points,status,error
F574-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F574-2_normalized.csv,local_structural_coupling_v2,82.52594581266439,82.52594581266439,86.33400881580228,2.3395357306683566,2.3782579292886195,0.5696995904324661,computed_from_baryonic_velocity,7.657158828752091,0.32392754489362513,5,ok,
D564-8,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\D564-8_normalized.csv,local_structural_coupling_v2,71.40870933456715,71.40870933456715,93.7940173050007,2.2955245657311822,2.4690584005114222,0.5412217778260592,computed_from_baryonic_velocity,19.88966063058895,1.0,6,ok,
F563-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F563-V1_normalized.csv,local_structural_coupling_v2,74.17658338923822,74.17658338923822,84.26887527112034,2.2966231405844373,2.3732659505474447,0.5419326203781655,computed_from_baryonic_velocity,21.294469035512286,0.8941266834973541,6,ok,
PGC51017,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\PGC51017_normalized.csv,local_structural_coupling_v2,63.54517604229779,63.54517604229779,80.71329579347815,2.2469084638960464,2.373000435833002,0.5097643001680299,computed_from_baryonic_velocity,24.428700330130777,1.1775439622084491,6,ok,
UGC07866,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC07866_normalized.csv,local_structural_coupling_v2,61.75829432135408,61.75829432135408,87.81829942447418,2.245897750607813,2.4216531369186147,0.5091103092168203,computed_from_baryonic_velocity,24.56781003081494,0.858870584193874,7,ok,
F561-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F561-1_normalized.csv,local_structural_coupling_v2,84.48829537655442,84.48829537655442,100.6817601393491,2.3593072844329046,2.5034138427384702,0.5824929487507028,computed_from_baryonic_velocity,24.622421444478277,0.5107590958364665,6,ok,
UGC05829,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC05829_normalized.csv,local_structural_coupling_v2,82.06701563912397,82.06701563912397,93.33270420232222,2.337824767511283,2.417737865271599,0.5685924966249478,computed_from_baryonic_velocity,25.180965038841215,0.498360264211756,11,ok,
NGC0801,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC0801_normalized.csv,local_structural_coupling_v2,64.83969307043206,64.83969307043206,95.33661060993074,2.2653838710118595,2.431135805326465,0.5217189753606146,computed_from_baryonic_velocity,27.99930753682996,0.13122132895213895,13,ok,
NGC5371,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC5371_normalized.csv,local_structural_coupling_v2,77.08793525558808,77.08793525558808,105.93966358859444,2.3226357988948667,2.494662272089437,0.5587643404613843,computed_from_baryonic_velocity,28.061126139217325,0.10638765483285391,19,ok,
IC2574,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\IC2574_normalized.csv,local_structural_coupling_v2,85.81714995159093,85.81714995159093,110.83231864416001,2.368722444989699,2.613765391896917,0.588585111463923,computed_from_baryonic_velocity,28.790213723576862,0.688534376911496,34,ok,
