UGC,R,N,P,A,C,oRA,oDE,EWg,EWsum,logmuN,e_logmuN,VelN,e_VelN,sigmaN,e_sigmaN,logmuB,e_logmuB,VelB,e_VelB,sigmaB,e_sigmaB
16,R1,2,1,1,1,8.4,-0.5,6.0,5.8,-14.87,0.02,-28.6,0.9,21.9,0.7,,,,,,
16,R1,2,1,4,1,23.1,8.0,17.7,17.2,-15.04,0.02,-3.4,1.1,24.4,0.9,,,,,,
16,R1,2,1,5,7,28.1,16.4,-0.2,8.8,-15.91,0.17,10.6,7.8,21.2,6.4,,,,,,
16,R1,2,1,7,1,23.1,24.8,23.7,24.1,-15.47,0.06,29.5,3.3,23.6,2.6,,,,,,
16,R1,2,1,8,1,28.1,-0.5,8.1,7.4,-15.53,0.06,-36.6,2.1,16.3,1.7,,,,,,
16,R1,2,1,13,1,33.0,-8.9,22.1,22.6,-15.60,0.08,-55.4,3.1,19.4,2.6,,,,,,
16,R1,2,1,14,1,28.1,-17.4,9.3,8.8,-15.64,0.06,-69.9,2.0,14.5,1.6,,,,,,
16,R1,2,1,15,1,23.1,-8.9,28.9,28.8,-14.84,0.01,-55.9,0.6,22.7,0.5,,,,,,
16,R1,2,1,17,7,18.2,33.3,-0.2,-0.2,-16.08,0.16,57.7,5.2,15.1,4.2,,,,,,
16,R1,2,1,19,1,8.4,33.3,11.1,11.9,-15.50,0.05,67.4,1.8,15.4,1.5,,,,,,
16,R1,2,1,20,3,13.3,24.8,57.7,47.7,-15.07,0.02,46.4,0.7,17.4,0.5,-15.60,0.15,106.0,32.9,104.6,26.8
16,R1,2,1,21,1,8.4,16.4,8.4,8.2,-15.40,0.04,51.2,1.7,18.9,1.4,,,,,,
16,R1,2,1,23,3,13.3,8.0,11.0,9.2,-15.08,0.02,5.2,0.9,21.0,0.7,-15.73,0.15,-99.3,19.1,59.0,15.7
16,R1,2,1,24,1,13.3,-8.9,6.0,5.3,-15.35,0.04,-73.9,1.8,21.4,1.5,,,,,,
16,R1,2,1,25,1,3.4,-8.9,10.3,10.3,-14.75,0.01,-74.6,0.5,20.5,0.4,,,,,,
16,R1,2,1,26,1,3.4,2.3,0.8,0.8,-15.48,0.06,4.9,3.0,25.8,2.5,,,,,,
16,R1,2,1,27,1,18.2,16.4,23.5,24.5,-15.08,0.02,24.4,0.8,19.8,0.6,,,,,,
16,R1,2,1,28,1,18.2,-0.5,7.4,7.1,-15.41,0.08,-31.4,3.6,22.1,2.9,,,,,,
16,R1,2,1,30,1,18.2,-17.4,22.2,23.4,-14.96,0.02,-81.5,0.7,21.1,0.6,,,,,,
16,R1,2,1,31,1,-1.5,-6.1,2.6,2.2,-15.10,0.02,-52.7,0.9,21.7,0.7,,,,,,
16,R1,2,1,32,1,3.4,-25.8,5.5,6.3,-15.64,0.06,-85.6,2.1,16.5,1.7,,,,,,
16,R1,2,1,33,1,8.4,-17.4,9.2,8.3,-15.15,0.02,-84.1,0.9,22.0,0.7,,,,,,
16,R1,2,1,34,1,13.3,-25.8,7.9,8.2,-15.55,0.05,-85.3,1.8,17.9,1.4,,,,,,
16,R1,2,1,38,1,-1.5,33.3,9.3,9.1,-15.65,0.06,76.2,2.6,19.5,2.1,,,,,,
16,R1,2,1,39,3,-11.4,33.3,26.4,25.2,-15.42,0.03,83.8,0.8,14.4,0.7,-15.57,0.06,91.0,4.8,37.3,3.9
16,R1,2,1,40,1,-6.4,24.8,7.3,6.1,-15.45,0.04,78.7,1.9,21.3,1.5,,,,,,
16,R1,2,1,41,1,3.4,8.0,5.8,5.6,-14.96,0.02,48.4,0.7,20.7,0.5,,,,,,
16,R1,2,1,42,1,-1.5,16.4,5.2,5.3,-15.42,0.03,80.6,1.4,20.0,1.2,,,,,,
16,R1,2,1,43,1,-6.4,2.3,3.7,3.5,-14.93,0.01,53.8,0.5,21.7,0.4,,,,,,
16,R1,2,1,44,1,-1.5,10.8,8.8,8.8,-14.96,0.01,75.6,0.6,19.9,0.5,,,,,,
16,R1,2,1,45,1,-11.4,-0.5,2.5,2.1,-15.42,0.04,36.4,1.3,17.6,1.1,,,,,,
16,R1,2,1,46,1,3.4,-3.3,1.1,0.9,-15.36,0.03,-58.9,1.5,20.4,1.2,,,,,,
16,R1,2,1,47,1,-1.5,5.1,1.0,0.9,-15.47,0.04,70.5,1.8,18.7,1.4,,,,,,
16,R1,2,1,48,1,-1.5,-11.7,12.9,12.9,-14.76,0.01,-70.9,0.4,22.2,0.3,,,,,,
16,R1,2,1,49,2,-6.4,-25.8,8.7,8.4,-15.93,0.09,-65.6,1.5,8.2,1.2,-15.49,0.06,-68.3,3.5,28.5,2.8
16,R1,2,1,50,1,-11.4,-34.3,10.2,11.6,-15.53,0.04,-57.6,1.7,19.3,1.4,,,,,,
16,R1,2,1,51,1,-6.4,-8.9,9.3,9.6,-14.90,0.01,-41.7,0.6,21.8,0.5,,,,,,
16,R1,2,1,53,7,-1.5,-34.3,-0.2,3.9,-15.81,0.10,-71.3,4.4,19.7,3.6,,,,,,
16,R1,2,1,56,1,-11.4,16.4,7.2,7.6,-15.38,0.03,80.9,1.2,17.8,1.0,,,,,,
16,R1,2,1,58,1,-16.3,24.8,12.1,11.7,-15.32,0.03,86.0,1.0,17.8,0.8,,,,,,
16,R1,2,1,60,1,-21.2,16.4,32.7,35.5,-15.00,0.02,75.6,0.7,21.1,0.6,,,,,,
16,R1,2,1,61,1,-26.1,-8.9,7.3,7.7,-15.50,0.05,4.3,2.0,20.0,1.6,,,,,,
16,R1,2,1,62,3,-6.4,8.0,13.2,13.0,-14.89,0.01,76.9,0.4,16.0,0.4,-14.96,0.02,75.1,1.6,34.0,1.3
16,R1,2,1,63,1,-16.3,8.0,11.8,12.6,-15.13,0.02,64.5,0.7,16.9,0.6,,,,,,
