r_kpc,v_obs_kms,v_bar_internal_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,segment_index,h_i_kpc,d_i,d_gal_mean,sigma_i,sigma_norm,sigma_desc_i,beta_i,psi_i,omega_i,density_ratio_i,thickness_visibility_i,radial_visibility_i,tau_i,v_desc_kms,g_bar_internal_km2s2_per_kpc,g_desc_km2s2_per_kpc,g_transform_km2s2_per_kpc,rotation_residual_desc_kms,rotation_residual_bar_only_kms
0.87,47.1,39.23971967280092,8.2,NGC4183,2.5,39.16,0.0,2549.896551724138,NGC4183,NGC4183,Bizyaev_2014,,False,unique_to_2014,NGC04183,,EON_183.320_43.699,NGC04183,NGC04183,183.320328,43.698582,r,30.24,0.48,9.99,0.87,0.3303571428571429,3.0270270270270268,21.24,0.1,-0.066,12.16,0.08,SD,920.0,NGC4183,NED,thick_like,NGC04183,NGC04183,NGC4183,183.320328,43.698582,NGC4183,NGC4183,NED,,True,name_exact,NGC4183,74.0,0.0,Bizyaev_2014,1,0.35,3.138189544802816,3.103905379716083,0.03428416508673271,0.34237924592456387,0.041117802307752,0.85,0.4078527843925187,0.34193148814152075,0.6838629762830415,0.5,0.1246431969552807,0.004874065350435359,39.33523191005868,1769.8340229885055,1778.4603096759754,8.626286687469928,7.76476808994132,7.860280327199078
1.74,65.9,49.12124591253768,6.6,NGC4183,5.78,48.78,0.0,2495.8678160919544,NGC4183,NGC4183,Bizyaev_2014,,False,unique_to_2014,NGC04183,,EON_183.320_43.699,NGC04183,NGC04183,183.320328,43.698582,r,30.24,0.48,9.99,0.87,0.3303571428571429,3.0270270270270268,21.24,0.1,-0.066,12.16,0.08,SD,920.0,NGC4183,NED,thick_like,NGC04183,NGC04183,NGC4183,183.320328,43.698582,NGC4183,NGC4183,NED,,True,name_exact,NGC4183,74.0,0.0,Bizyaev_2014,1,0.35,3.138189544802816,3.103905379716083,0.03428416508673271,0.34237924592456387,0.041117802307752,0.85,0.4078527843925187,0.34193148814152075,0.6838629762830415,0.5,0.1246431969552807,0.004874065350435359,49.24081047959159,1386.7222988505748,1393.4812739580786,6.758975107503829,16.659189520408418,16.778754087462325
2.61,76.1,58.009813824903794,5.6,NGC4183,11.64,56.83,0.0,2218.854406130268,NGC4183,NGC4183,Bizyaev_2014,,False,unique_to_2014,NGC04183,,EON_183.320_43.699,NGC04183,NGC04183,183.320328,43.698582,r,30.24,0.48,9.99,0.87,0.3303571428571429,3.0270270270270268,21.24,0.1,-0.066,12.16,0.08,SD,920.0,NGC4183,NED,thick_like,NGC04183,NGC04183,NGC4183,183.320328,43.698582,NGC4183,NGC4183,NED,,True,name_exact,NGC4183,74.0,0.0,Bizyaev_2014,1,0.35,3.138189544802816,3.103905379716083,0.03428416508673271,0.34237924592456387,0.041117802307752,0.85,0.4078527843925187,0.34193148814152075,0.6838629762830415,0.5,0.1246431969552807,0.004874065350435359,58.151013791354195,1289.3250957854405,1295.609350560255,6.284254774814599,17.9489862086458,18.0901861750962
3.5,85.7,61.092308026461076,5.6,NGC4183,13.9,59.49,0.0,2098.4257142857145,NGC4183,NGC4183,Bizyaev_2014,,False,unique_to_2014,NGC04183,,EON_183.320_43.699,NGC04183,NGC04183,183.320328,43.698582,r,30.24,0.48,9.99,0.87,0.3303571428571429,3.0270270270270268,21.24,0.1,-0.066,12.16,0.08,SD,920.0,NGC4183,NED,thick_like,NGC04183,NGC04183,NGC4183,183.320328,43.698582,NGC4183,NGC4183,NED,,True,name_exact,NGC4183,74.0,0.0,Bizyaev_2014,1,0.35,3.138189544802816,3.103905379716083,0.03428416508673271,0.34237924592456387,0.041117802307752,0.85,0.4078527843925187,0.34193148814152075,0.6838629762830415,0.5,0.1246431969552807,0.004874065350435359,61.241011000577686,1066.362885714286,1071.5604081065362,5.197522392250221,24.458988999422317,24.607691973538927
5.24,99.3,72.29271747555214,5.2,NGC4183,23.49,68.37,0.0,1881.7729007633584,NGC4183,NGC4183,Bizyaev_2014,,False,unique_to_2014,NGC04183,,EON_183.320_43.699,NGC04183,NGC04183,183.320328,43.698582,r,30.24,0.48,9.99,0.87,0.3303571428571429,3.0270270270270268,21.24,0.1,-0.066,12.16,0.08,SD,920.0,NGC4183,NED,thick_like,NGC04183,NGC04183,NGC4183,183.320328,43.698582,NGC4183,NGC4183,NED,,True,name_exact,NGC4183,74.0,0.0,Bizyaev_2014,2,0.35,3.1219441346033037,3.103905379716083,0.01803875488722051,0.18014425260408706,0.021643125521709633,0.85,0.729909988603919,0.3190162991374308,0.6380325982748616,0.5,0.3113701236917222,0.004283720072556678,72.4473928885011,997.3734732824431,1001.6459420497785,4.27246876733534,26.852607111498898,27.00728252444786
6.11,103.0,76.5028267451602,5.2,NGC4183,25.97,71.96,0.0,1736.3338788870703,NGC4183,NGC4183,Bizyaev_2014,,False,unique_to_2014,NGC04183,,EON_183.320_43.699,NGC04183,NGC04183,183.320328,43.698582,r,30.24,0.48,9.99,0.87,0.3303571428571429,3.0270270270270268,21.24,0.1,-0.066,12.16,0.08,SD,920.0,NGC4183,NED,thick_like,NGC04183,NGC04183,NGC4183,183.320328,43.698582,NGC4183,NGC4183,NED,,True,name_exact,NGC4183,74.0,0.0,Bizyaev_2014,2,0.35,3.1219441346033037,3.103905379716083,0.01803875488722051,0.18014425260408706,0.021643125521709633,0.85,0.729909988603919,0.3190162991374308,0.6380325982748616,0.5,0.3113701236917222,0.004283720072556678,76.66650998645726,957.8858428805237,961.9891576928886,4.1033148123649426,26.333490013542743,26.497173254839794
6.98,107.0,80.57107421401305,5.2,NGC4183,27.48,75.74,0.0,1640.2578796561604,NGC4183,NGC4183,Bizyaev_2014,,False,unique_to_2014,NGC04183,,EON_183.320_43.699,NGC04183,NGC04183,183.320328,43.698582,r,30.24,0.48,9.99,0.87,0.3303571428571429,3.0270270270270268,21.24,0.1,-0.066,12.16,0.08,SD,920.0,NGC4183,NED,thick_like,NGC04183,NGC04183,NGC4183,183.320328,43.698582,NGC4183,NGC4183,NED,,True,name_exact,NGC4183,74.0,0.0,Bizyaev_2014,2,0.35,3.1219441346033037,3.103905379716083,0.01803875488722051,0.18014425260408706,0.021643125521709633,0.85,0.729909988603919,0.3190162991374308,0.6380325982748616,0.5,0.3113701236917222,0.004283720072556678,80.74346176024146,930.0426934097419,934.0267359638359,3.984042554094003,26.25653823975854,26.428925785986948
8.72,114.0,87.84098929315404,6.1,NGC4183,35.45,80.37,0.0,1490.366972477064,NGC4183,NGC4183,Bizyaev_2014,,False,unique_to_2014,NGC04183,,EON_183.320_43.699,NGC04183,NGC04183,183.320328,43.698582,r,30.24,0.48,9.99,0.87,0.3303571428571429,3.0270270270270268,21.24,0.1,-0.066,12.16,0.08,SD,920.0,NGC4183,NED,thick_like,NGC04183,NGC04183,NGC4183,183.320328,43.698582,NGC4183,NGC4183,NED,,True,name_exact,NGC4183,74.0,0.0,Bizyaev_2014,3,0.35,3.024581991100753,3.103905379716083,-0.07932338861533017,-0.7921640182746568,-0.09490161216390566,0.85,0.8779103905284908,0.0926152084511274,0.1852304169022548,0.5,0.5002378686964796,-0.006558809447756084,87.55244923977868,884.8669036697249,879.0632302619291,-5.803673407795827,26.44755076022132,26.15901070684596
9.6,115.0,86.74577396046449,6.1,NGC4183,36.42,78.73,0.0,1377.6041666666667,NGC4183,NGC4183,Bizyaev_2014,,False,unique_to_2014,NGC04183,,EON_183.320_43.699,NGC04183,NGC04183,183.320328,43.698582,r,30.24,0.48,9.99,0.87,0.3303571428571429,3.0270270270270268,21.24,0.1,-0.066,12.16,0.08,SD,920.0,NGC4183,NED,thick_like,NGC04183,NGC04183,NGC4183,183.320328,43.698582,NGC4183,NGC4183,NED,,True,name_exact,NGC4183,74.0,0.0,Bizyaev_2014,3,0.35,3.024581991100753,3.103905379716083,-0.07932338861533017,-0.7921640182746568,-0.09490161216390566,0.85,0.8779103905284908,0.0926152084511274,0.1852304169022548,0.5,0.5002378686964796,-0.006558809447756084,86.46083147006168,783.8363854166666,778.6953519265008,-5.141033490165796,28.539168529938323,28.25422603953551
10.47,111.0,83.76407344440693,5.6,NGC4183,37.82,74.74,0.0,1176.7908309455586,NGC4183,NGC4183,Bizyaev_2014,,False,unique_to_2014,NGC04183,,EON_183.320_43.699,NGC04183,NGC04183,183.320328,43.698582,r,30.24,0.48,9.99,0.87,0.3303571428571429,3.0270270270270268,21.24,0.1,-0.066,12.16,0.08,SD,920.0,NGC4183,NED,thick_like,NGC04183,NGC04183,NGC4183,183.320328,43.698582,NGC4183,NGC4183,NED,,True,name_exact,NGC4183,74.0,0.0,Bizyaev_2014,3,0.35,3.024581991100753,3.103905379716083,-0.07932338861533017,-0.7921640182746568,-0.09490161216390566,0.85,0.8779103905284908,0.0926152084511274,0.1852304169022548,0.5,0.5002378686964796,-0.006558809447756084,83.48892524290017,670.1451766953197,665.7498221790422,-4.395354516277507,27.511074757099834,27.235926555593068
