r_kpc,v_obs_kms,v_bar_internal_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2002_preferred_name,structure_2002_catalog_name_normalized,structure_2002_RFGC_int,structure_2002_Dist,structure_2002_Re,structure_2002_Z0,structure_2002_z0_over_re,structure_2002_S0,structure_2002_RAJ2000_deg,structure_2002_DEJ2000_deg,structure_2002_Note,structure_2002_has_ned_link_flag,structure_2002_has_simbad_link_flag,structure_2002_source_catalog,structure_2002__Glon,structure_2002__Glat,structure_2002__RAJ2000,structure_2002__DEJ2000,structure_2002__RAB1950,structure_2002__DEB1950,structure_2002__Elon2000,structure_2002__Elat2000,structure_2002_RFGC,structure_2002__RA,structure_2002__DE,structure_2002_NED,structure_2002_Simbad,structure_2002_biz_name,structure_2002_biz_name_norm,structure_2002_biz_catalog_token,structure_2002_RA_match_deg,structure_2002_DE_match_deg,structure_2002_biz_aname_norm,structure_2002_biz_aname_token,structure_2002_biz_ned_norm,structure_2002_biz_ned_token,structure_2002_matched,structure_2002_match_reason,structure_2002_matched_sparc_name,structure_2002_matched_sparc_index,structure_2002_matched_sep_deg,structure_2002___source_catalog__,segment_index,h_i_kpc,d_i,d_gal_mean,sigma_i,sigma_norm,sigma_desc_i,beta_i,psi_i,omega_i,density_ratio_i,thickness_visibility_i,radial_visibility_i,tau_i,v_desc_kms,g_bar_internal_km2s2_per_kpc,g_desc_km2s2_per_kpc,g_transform_km2s2_per_kpc,rotation_residual_desc_kms,rotation_residual_bar_only_kms
13.44,310.0,277.98028779033956,20.4,ESO563-G021,0.4,277.98,0.0,7150.297619047619,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,3,0.35,3.201687117372589,3.267345864204473,-0.06565874683188389,-0.2455947730003647,-0.07862785776183914,0.85,0.9709285881982807,0.40688063914237005,0.8137612782847401,0.5,0.417118604102806,-0.02640278157080161,274.28601348411314,5749.482172619048,5597.679850670171,-151.80232194887685,35.71398651588686,32.01971220966044
15.18,310.0,282.2671334038024,16.1,ESO563-G021,3.11,282.25,0.0,6330.698287220026,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,3,0.35,3.201687117372589,3.267345864204473,-0.06565874683188389,-0.2455947730003647,-0.07862785776183914,0.85,0.9709285881982807,0.40688063914237005,0.8137612782847401,0.5,0.417118604102806,-0.02640278157080161,278.51588821042975,5248.664993412383,5110.085638053004,-138.5793553593794,31.48411178957025,27.732866596197596
16.83,314.0,283.7363587910439,13.5,ESO563-G021,15.18,283.33,0.0,5858.348187759953,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,3,0.35,3.201687117372589,3.267345864204473,-0.06565874683188389,-0.2455947730003647,-0.07862785776183914,0.85,0.9709285881982807,0.40688063914237005,0.8137612782847401,0.5,0.417118604102806,-0.02640278157080161,279.9655880347571,4783.500968508617,4657.203237293365,-126.29773121525159,34.034411965242896,30.263641208956074
18.56,317.0,277.4176075882712,12.7,ESO563-G021,22.91,276.47,0.0,5414.27801724138,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,3,0.35,3.201687117372589,3.267345864204473,-0.06565874683188389,-0.2455947730003647,-0.07862785776183914,0.85,0.9709285881982807,0.40688063914237005,0.8137612782847401,0.5,0.417118604102806,-0.02640278157080161,273.7308111324695,4146.580226293106,4037.0989743124837,-109.48125198062189,43.26918886753049,39.58239241172879
20.3,319.0,274.1903712751416,10.4,ESO563-G021,33.06,272.19,0.0,5012.857142857143,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,3,0.35,3.201687117372589,3.267345864204473,-0.06565874683188389,-0.2455947730003647,-0.07862785776183914,0.85,0.9709285881982807,0.40688063914237005,0.8137612782847401,0.5,0.417118604102806,-0.02640278157080161,270.5464638180041,3703.4659950738915,3605.684191351064,-97.78180372282759,48.4535361819959,44.809628724858385
23.68,317.0,274.2245512349323,9.3,ESO563-G021,39.67,271.34,0.0,4243.623310810811,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,4,0.35,3.0,3.267345864204473,-0.26734586420447304,-1.0,-0.31024369614212854,0.85,0.9962500021037501,9.577060483856422e-24,1.9154120967712844e-23,0.5,0.6585710917236501,-2.5160684794246222e-24,274.2245512349323,3175.6378589527026,3175.6378589527026,0.0,42.77544876506772,42.77544876506772
25.41,317.0,265.4585180400132,7.23,ESO563-G021,44.98,261.62,0.0,3954.7028728846913,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,4,0.35,3.0,3.267345864204473,-0.26734586420447304,-1.0,-0.31024369614212854,0.85,0.9962500021037501,9.577060483856422e-24,1.9154120967712844e-23,0.5,0.6585710917236501,-2.5160684794246222e-24,265.4585180400132,2773.247729240457,2773.247729240457,0.0,51.54148195998681,51.54148195998681
27.06,312.0,257.17034238029856,8.39,ESO563-G021,46.29,252.97,0.0,3597.339246119734,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,4,0.35,3.0,3.267345864204473,-0.26734586420447304,-1.0,-0.31024369614212854,0.85,0.9962500021037501,9.577060483856422e-24,1.9154120967712844e-23,0.5,0.6585710917236501,-2.5160684794246222e-24,257.17034238029856,2444.071877309682,2444.071877309682,0.0,54.829657619701436,54.829657619701436
28.8,312.0,247.63895028851982,8.37,ESO563-G021,43.21,243.84,0.0,3380.0,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,4,0.35,3.0,3.267345864204473,-0.26734586420447304,-1.0,-0.31024369614212854,0.85,0.9962500021037501,9.577060483856422e-24,1.9154120967712844e-23,0.5,0.6585710917236501,-2.5160684794246222e-24,247.63895028851982,2129.3420034722217,2129.3420034722217,0.0,64.36104971148018,64.36104971148018
30.53,311.0,238.15547211853016,11.5,ESO563-G021,45.08,233.85,0.0,3168.0641991483785,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,4,0.35,3.0,3.267345864204473,-0.26734586420447304,-1.0,-0.31024369614212854,0.85,0.9962500021037501,9.577060483856422e-24,1.9154120967712844e-23,0.5,0.6585710917236501,-2.5160684794246222e-24,238.15547211853016,1857.7801801506714,1857.7801801506714,0.0,72.84452788146984,72.84452788146984
33.91,313.0,224.30081163473304,15.9,ESO563-G021,59.7,216.21,0.0,2889.0887643762903,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,5,0.35,3.0,3.267345864204473,-0.26734586420447304,-1.0,-0.31024369614212854,0.85,0.9995153094927018,7.009625244080447e-24,1.4019250488160894e-23,0.5,0.899787785899552,-1.847592292948843e-24,224.30081163473304,1483.6583338248304,1483.6583338248304,0.0,88.69918836526696,88.69918836526696
35.65,320.0,217.71449767987434,8.83,ESO563-G021,61.56,208.83,0.0,2872.370266479664,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,5,0.35,3.0,3.267345864204473,-0.26734586420447304,-1.0,-0.31024369614212854,0.85,0.9995153094927018,7.009625244080447e-24,1.4019250488160894e-23,0.5,0.899787785899552,-1.847592292948843e-24,217.71449767987434,1329.582117812062,1329.582117812062,0.0,102.28550232012566,102.28550232012566
37.3,321.0,212.31512287164097,7.88,ESO563-G021,63.33,202.65,0.0,2762.493297587132,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,5,0.35,3.0,3.267345864204473,-0.26734586420447304,-1.0,-0.31024369614212854,0.85,0.9995153094927018,7.009625244080447e-24,1.4019250488160894e-23,0.5,0.899787785899552,-1.847592292948843e-24,212.31512287164097,1208.5177319034854,1208.5177319034854,0.0,108.68487712835903,108.68487712835903
39.03,320.0,206.59717931278735,8.0,ESO563-G021,62.96,196.77,0.0,2623.6228542147064,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,5,0.35,3.0,3.267345864204473,-0.26734586420447304,-1.0,-0.31024369614212854,0.85,0.9995153094927018,7.009625244080447e-24,1.4019250488160894e-23,0.5,0.899787785899552,-1.847592292948843e-24,206.59717931278735,1093.579157058673,1093.579157058673,0.0,113.40282068721265,113.40282068721265
40.76,315.0,201.30546962266078,9.82,ESO563-G021,62.4,191.39,0.0,2434.3719332679098,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,5,0.35,3.0,3.267345864204473,-0.26734586420447304,-1.0,-0.31024369614212854,0.85,0.9995153094927018,7.009625244080447e-24,1.4019250488160894e-23,0.5,0.899787785899552,-1.847592292948843e-24,201.30546962266078,994.2073626104025,994.2073626104025,0.0,113.69453037733922,113.69453037733922
42.41,312.0,196.97196805637088,9.07,ESO563-G021,62.21,186.89,0.0,2295.3077104456497,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,5,0.35,3.0,3.267345864204473,-0.26734586420447304,-1.0,-0.31024369614212854,0.85,0.9995153094927018,7.009625244080447e-24,1.4019250488160894e-23,0.5,0.899787785899552,-1.847592292948843e-24,196.97196805637088,914.8303749115773,914.8303749115773,0.0,115.02803194362912,115.02803194362912
