dataset,rows_processed_input_source,rows_external_body_flag_true,rows_halo_candidate_true,rows_input_ready,rows_saved_input_csv,quality_basic_pass_count,has_full_6d_count
5d,271779,39353,22517,22517,22517,266395,0
6d,5096,41,858,858,858,5088,5096
