dataset,observation_date,time_value,time_reference,radius_arcsec,ra_offset_arcsec,dec_offset_arcsec,x_center_arcsec,y_center_arcsec,source_id,sigma_proxy_raw,sigma_proxy,sigma_proxy_source,dsigma_dt_proxy,topological_radius_adjustment,radius_arcsec_topological_trial,topological_center_adjustment,ra_offset_arcsec_topological_trial,dec_offset_arcsec_topological_trial
Crause,2002-05-01,85.0,time since 2002-02-05 peak per paper,19.5,-1.0,1.0,,,SRC-02,1.4142135623730951,0.10511766624552735,offset_magnitude_normalized,-0.0032849270701727296,0.10429643447798416,19.604296434477984,0.025950923854364562,-0.9740490761456354,1.0259509238543645
Crause,2002-06-02,117.0,time since 2002-02-05 peak per paper,21.4,0.0,0.0,,,SRC-02,0.0,0.0,offset_magnitude_normalized,0.00031551567394134727,7.887891848533682e-05,21.400078878918485,3.155156739413473e-05,3.155156739413473e-05,3.155156739413473e-05
Crause,2002-09-16,223.0,time since 2002-02-05 peak per paper,31.9,-2.0,0.0,,,SRC-02,2.0,0.14865882924943327,offset_magnitude_normalized,0.001392286970139435,0.14900690099196814,32.04900690099197,0.03730393600937226,-1.9626960639906277,0.03730393600937226
Crause,2002-10-31,268.0,time since 2002-02-05 peak per paper,34.1,-2.0,2.0,,,SRC-02,2.8284271247461903,0.2102353324910547,offset_magnitude_normalized,0.0009040885337515565,0.21046135462449259,34.31046135462449,0.05264924197613883,-1.9473507580238612,2.052649241976139
Crause,2003-01-26,355.0,time since 2002-02-05 peak per paper,39.4,-3.0,2.0,,,SRC-02,3.605551275463989,0.26799851570463873,offset_magnitude_normalized,0.0009494808272501676,0.26823588591145126,39.66823588591145,0.0670945770088847,-2.9329054229911153,2.0670945770088847
Crause,2003-04-19,438.0,time since 2002-02-05 peak per paper,44.3,-4.0,3.0,,,SRC-02,5.0,0.3716470731235832,offset_magnitude_normalized,0.0014383715247312586,0.372006666004766,44.67200666600476,0.09305560543336892,-3.906944394566631,3.093055605433369
Crause,2003-05-21,470.0,time since 2002-02-05 peak per paper,46.5,-5.0,3.0,,,SRC-02,5.830951894845301,0.43341124104873346,offset_magnitude_normalized,0.0008696561531665554,0.4336286550870251,46.93362865508703,0.10843977587750002,-4.8915602241225,3.1084397758775
Crause,2003-09-12,584.0,time since 2002-02-05 peak per paper,51.8,-6.0,3.0,,,SRC-02,6.708203932499369,0.4986168714859003,offset_magnitude_normalized,0.0007991850350891021,0.49881666774467254,52.29881666774467,0.12473413637498398,-5.875265863625016,3.124734136374984
Crause,2003-11-03,636.0,time since 2002-02-05 peak per paper,53.9,-7.0,3.0,,,SRC-02,7.615773105863909,0.5660759568735244,offset_magnitude_normalized,0.0007257161341483882,0.5662573859070615,54.46625738590706,0.14159156083179594,-6.858408439168204,3.141591560831796
Crause,2004-03-24,778.0,time since 2002-02-05 peak per paper,58.6,-7.0,5.0,,,SRC-02,8.602325267042627,0.6394058015106876,offset_magnitude_normalized,0.0012046051546366924,0.6397069527993468,59.239706952799345,0.15997191089313556,-6.840028089106864,5.159971910893136
Crause,2004-05-07,822.0,time since 2002-02-05 peak per paper,61.4,-8.0,7.0,,,SRC-02,10.63014581273465,0.7901325156359492,offset_magnitude_normalized,0.0013763137346920321,0.7904765940696222,62.19047659406962,0.1976707602824565,-7.802329239717544,7.197670760282456
Crause,2004-12-11,1040.0,time since 2002-02-05 peak per paper,70.1,-10.0,9.0,,,SRC-02,13.45362404707371,1.0,offset_magnitude_normalized,0.0009626948824039027,1.0002406737206009,71.10024067372059,0.2500962694882404,-9.74990373051176,9.25009626948824
