candidate_id,event_group,quantity_label,value_raw,unit,quantity_role,source_id,source_file,source_location,recommended_target_table,verification_status,interpretation_note
OBS001,great_eruption_echo,eruption_time_span,1838-1858,year_range,event_context,SRC001,2012_Rest_et_al_Light_echoes_reveal_an_unexpectedly_cool_Eta_Carinae_during_its_19th_century_Great_Eruption.pdf,abstract,light_echo_observation_input,manual_check_required,"Great Eruption echo temporal context, not a single observed date"
OBS002,great_eruption_echo,ejected_mass_lower_bound,>10,Msun,event_mass_context,SRC001,2012_Rest_et_al_Light_echoes_reveal_an_unexpectedly_cool_Eta_Carinae_during_its_19th_century_Great_Eruption.pdf,abstract,mass_component_review,manual_check_required,Do not merge directly with dust mass; event-scale mass context
OBS003,great_eruption_echo,absorption_blueshift,-210,km/s,spectral_velocity,SRC001,2012_Rest_et_al_Light_echoes_reveal_an_unexpectedly_cool_Eta_Carinae_during_its_19th_century_Great_Eruption.pdf,abstract,light_echo_observation_input,manual_check_required,Absorption-line blueshift in discovered light echoes
OBS004,great_eruption_echo,best_match_spectral_type,G2-G5 supergiant,,spectral_class,SRC001,2012_Rest_et_al_Light_echoes_reveal_an_unexpectedly_cool_Eta_Carinae_during_its_19th_century_Great_Eruption.pdf,abstract,light_echo_observation_input,manual_check_required,Useful as spectral phase description
OBS005,great_eruption_echo,effective_temperature,~5000,K,spectral_temperature,SRC001,2012_Rest_et_al_Light_echoes_reveal_an_unexpectedly_cool_Eta_Carinae_during_its_19th_century_Great_Eruption.pdf,abstract,light_echo_observation_input,manual_check_required,Temperature context from spectral comparison
OBS006,plateau_echo,brightness_evolution,steady decline over a decade,,photometric_trend,SRC002,2018_Smith_et_al_Light_echoes_from_the_plateau_in_Eta_Carinaes_Great_Eruption_reveal_a_two_stage_shock_powered_event.pdf,abstract,light_echo_observation_input,manual_check_required,"Trend descriptor, not a single numeric row"
OBS007,plateau_echo,eruption_segment,1850s plateau,,phase_reference,SRC002,2018_Smith_et_al_Light_echoes_from_the_plateau_in_Eta_Carinaes_Great_Eruption_reveal_a_two_stage_shock_powered_event.pdf,abstract,light_echo_observation_input,manual_check_required,phase_reference candidate
OBS008,plateau_echo,bulk_outflow_early,~150,km/s,bulk_velocity,SRC002,2018_Smith_et_al_Light_echoes_from_the_plateau_in_Eta_Carinaes_Great_Eruption_reveal_a_two_stage_shock_powered_event.pdf,abstract,light_echo_observation_input,manual_check_required,Early-time bulk outflow speed
OBS009,plateau_echo,bulk_outflow_plateau,~600,km/s,bulk_velocity,SRC002,2018_Smith_et_al_Light_echoes_from_the_plateau_in_Eta_Carinaes_Great_Eruption_reveal_a_two_stage_shock_powered_event.pdf,abstract,light_echo_observation_input,manual_check_required,Plateau bulk outflow speed
OBS010,plateau_echo,late_fast_component,>10000,km/s,fast_velocity_tail,SRC002,2018_Smith_et_al_Light_echoes_from_the_plateau_in_Eta_Carinaes_Great_Eruption_reveal_a_two_stage_shock_powered_event.pdf,abstract,topological_velocity_proxy_review,manual_check_required,Broad emission wings / accelerated mass; keep separate from bulk velocity
