r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,a_struct,a_total
0.41,33.2,11.6,52.87678961617192,2056.0648780487804,483.8247753530172,10.003885019969948,2.0879902639519816,0.2871608338259246,4763.337268568064,6819.402146616845
0.98,50.4,11.8,50.44826103838295,2331.8450000000003,98.80058930253873,3.423616865108148,2.0398673324740613,0.21514288309311136,265.1213691804361,2596.9663691804362
1.78,53.9,9.75,56.2660520608588,2191.4216853932585,-109.20458053435955,8.974620476881476,2.081475260976584,0.27781175826792415,-412.8438120700717,1778.5778733231869
2.69,67.6,5.1,68.84163244076291,2145.1051672862454,-98.02975492038681,13.669627460169767,2.1094733770325784,0.31714018102797037,-383.3318003311896,1761.7733669550557
3.36,81.7,5.06,0.0,2036.5346726190473,-239.08759002902534,52.99150582942477,2.2828772417095577,0.5172582333485293,-2178.924488204686,-142.38981558563864
4.39,102.0,5.35,0.0,1738.6562642369024,-224.89453957550083,72.87322787445586,2.3621817927325828,0.5880620364850863,-2212.700720928188,-474.0444566912854
5.65,116.0,6.44,48.1792702944875,1521.5261769911504,-134.76633626643712,65.73955192635465,2.3335280257749287,0.5637653450778175,-1110.6868697151706,410.83930727597976
6.34,132.0,9.1,94.9935416444515,1475.86190851735,-27.639116937710792,13.073150863318737,2.106130850785732,0.31255993475648897,-52.55387158420483,1423.308036933145
6.89,137.0,5.25,109.09402557318586,1487.253671988389,56.40891384684062,34.38229347759556,2.2071832821979056,0.4383551081829742,240.10574974788534,1727.3594217362743
8.34,154.0,4.2,126.9811359972553,1588.6797362110312,70.31886527656285,49.66328732469272,2.2696192366682966,0.5042866302349029,344.6786449824274,1933.3583811934586
10.04,163.0,3.28,131.04624462882066,1708.758097609562,6.111579506541134,2.8647066884337224,2.034664494632635,0.20693327529567282,1.7118457486764076,1710.4699433582382
11.65,170.0,2.41,115.68500281521102,1608.9090643776824,-86.39862032103896,78.42697712545454,2.3848449695553233,0.6063168451082787,-460.1519934458899,1148.7570709317924
13.36,175.0,2.18,96.25777947114803,1421.9146781437125,-119.97784053478952,110.84257232067381,2.5299173758294695,0.7054638936377216,-728.3847298865144,693.5299482571982
15.06,177.0,2.23,84.52696002852345,1199.78462815405,-120.17145848151844,124.28155158059167,2.6013430800106487,0.7446716945414342,-725.3618544712081,474.42277368284203
16.67,178.0,2.03,79.83177039595324,1024.1471505698862,-109.09160098395265,130.7698770445419,2.639727843453976,0.763539621157331,-641.8369187431198,382.3102318267664
