galaxy,n_points,n_segments,mean_Dw_i,mean_sigma_i,mean_beta_i,mean_DeltaD_i,std_DeltaD_i,mean_delta_v_i,M_gal,R_gal,eta_obs_mean,eta_obs_std,propagation_term_mean,ell_info_kpc,density_ref_gal_msun_per_kpc3
NGC3917,17,4,2.225375092504513,0.05441203105514447,0.00997494124959658,0.3696185140137454,0.05850095218961389,0.21411745063476587,0.07804729607268429,-0.21351794052870277,0.6303814859862545,0.058500952189613896,0.533870510784795,2.6250000000000004,168121561.79605794
NGC4010,12,3,2.334579553007335,0.09769311973896277,0.2722955949781994,0.3812250767622911,0.020954109176335358,0.1602889067540161,0.06206976034230852,0.6995023213513137,0.6187749232377088,0.02095410917633534,0.5112692282209891,2.620000000000001,91188656.95228384
NGC4013,36,5,2.1252709714603166,0.04196591875538851,0.004618575667509331,0.4008013603842262,0.03417590880975137,0.18814133608173686,0.07852278710688097,0.7755908003168763,0.5991986396157738,0.03417590880975136,0.4676568826026693,4.42,610229883.7962602
NGC4068,6,1,2.295121031684408,0.0,0.0,0.0,0.0,0.23167014543970335,0.0,,0.36906143097039296,5.551115123125783e-17,0.0,2.12,72804900.72936271
NGC4088,12,3,2.12109938500992,0.04497484612552172,0.00022914777947450672,0.39083162476746836,0.03831601453686354,0.2845006411780338,0.11734235098302848,0.8962592209185516,0.6091683752325316,0.03831601453686354,0.467236811726136,5.24,1338497201.579239
NGC4157,17,4,2.2268638059964565,0.08784681531381872,0.1138675208904642,0.3833605547033633,0.03639408577705256,0.20689145811463103,0.07898293421513833,-0.06942126498429617,0.6166394452966367,0.03639408577705256,0.5062260787817043,5.2299999999999995,119491006.83341289
NGC4183,23,5,2.2514120650391183,0.060720913255322806,0.05244233168955255,0.3750816142976843,0.012324182429596662,0.30366475554203115,0.11404300772567173,0.15546519339569215,0.6249183857023157,0.012324182429596674,0.5166939218228128,3.5,41664180.60558628
NGC4389,6,1,2.2294507833895354,0.0,0.0,0.0,0.0,0.9893533787901543,0.0,,0.36906143097039296,5.551115123125783e-17,0.0,4.45,366126910.5563718
NGC5907,19,4,2.16086671598128,0.042164677820171026,0.001221634214041191,0.38628843722320855,0.01993544471412881,0.16779597136578384,0.06576358105780251,0.43641079099620034,0.6137115627767915,0.019935444714128794,0.4845282763154739,10.07,56853720.71159631
NGC5985,33,5,2.1409455579805514,0.03513319032728783,0.0009233879370471957,0.3514514100953729,0.10066335443079631,0.27895294167349766,0.0988574036537074,0.1896390614603441,0.648548589904627,0.10066335443079633,0.5538193418141422,4.4799999999999995,480240442.70134723
UGC01281,25,5,2.7305281114276942,0.15404777325245989,0.2535493520291553,0.39311880732772436,0.054824269132108215,0.5286287579286911,0.21403438232986965,0.19875936412246897,0.6068811926722756,0.05482426913210821,0.46213696267145005,2.0,9546723.325059151
UGC04278,25,5,2.51498757826277,0.13012459440714066,0.32218601846575334,0.38769427568463677,0.06455940218073418,0.36461303264705647,0.14838724709843032,0.8998578817933505,0.6123057243153631,0.06455940218073418,0.45494923793612346,2.0,31383623.388630666
UGC05721,23,5,2.3963527282698665,0.1966704196372869,0.2929949966336279,0.37960187746825846,0.03366473191634619,0.4341673197665485,0.16960172989321845,0.7837722686154839,0.6203981225317416,0.03366473191634622,0.5017673213009991,2.0,338250959.87158346
UGC05750,11,2,2.2002487898092395,0.1932360320039792,0.23904499327883333,0.43022281245616595,0.05636319548515638,0.3282843652183315,0.137676407247294,-0.6563002438792118,0.5697771875438341,0.056363195485156385,0.3717663391525464,10.905000000000001,8696545.294549238
UGC05986,15,3,2.188879812817919,0.053765618297356266,0.0030456423242588605,0.39303150812827126,0.039325115234068085,0.3340296284544621,0.12658176914302519,-0.9761106018322201,0.606968491871729,0.039325115234068106,0.4610647815245704,2.51,280998407.210728
UGC06667,9,2,2.3504146211299335,0.10136600556891029,0.25779742000741773,0.3836543824209229,0.04322258655496111,0.6643232861368441,0.2571973921394666,0.9665669339205498,0.6163456175790771,0.04322258655496111,0.4844993661511,3.0549999999999997,5283780.848382281
UGC06917,11,2,2.1740266272968984,0.07270884445441439,0.012738130554513515,0.3775501941336927,0.015010581968556803,0.287385999000979,0.10743522765863166,-0.7739347276398182,0.6224498058663074,0.015010581968556829,0.49865512253965905,3.93,130149362.79198126
UGC07089,12,3,2.3338375871639054,0.07698665255659609,0.18296593697548383,0.37979354489034417,0.01606317156957523,0.17362566698812187,0.06710255084654754,0.6817459744205129,0.6202064551096559,0.016063171569575204,0.5083425916725381,2.1799999999999997,33142347.834162552
UGC08490,30,5,2.222434101871907,0.08362784794122322,0.16614888805889064,0.3739449573593802,0.05578003671272857,0.47742093590852785,0.18065124802814783,0.3304005859793719,0.6260550426406197,0.055780036712728555,0.5304082362528154,2.0,141319636.07975358
UGC08837,8,2,2.241079153589413,0.01627559377506227,1.39051693831611e-07,0.3786800851799106,0.016683303258893126,0.22134213727346225,0.08391203402312704,0.032180747366214436,0.6213199148200894,0.016683303258893088,0.4958835163287153,2.0,115412041.66949572
UGC12506,31,5,2.092870371169788,0.021903421893353904,1.957593767483797e-07,0.4036072325637812,0.06220887379481463,0.3496857426105141,0.14285387238274203,0.33904572499152563,0.5963927674362187,0.06220887379481463,0.44101342368636703,8.200000000000001,399782756.29640204
UGCA281,7,1,2.9796012274239456,0.0,0.0,0.0,0.0,0.2810938055873572,0.0,,0.36906143097039296,5.551115123125783e-17,0.0,0.9900000000010001,18274882.84595335
