galaxy,n_points,n_segments,mean_Dw_i,mean_sigma_i,mean_beta_i,mean_DeltaD_i,std_DeltaD_i,mean_delta_v_i,M_gal,R_gal,eta_obs_mean,eta_obs_std,propagation_term_mean,ell_info_kpc,density_ref_gal_msun_per_kpc3
DDO168,10,2,2.2841906530715903,0.10762250956485397,0.15180946286566027,0.379556304713198,0.021577780535424203,0.33066982021725205,0.12227881307372372,-0.9333128583995917,0.620443695286802,0.021577780535424206,0.4952035520286331,1.9769999999999999,75300744.96280545
ESO563-G021,30,5,2.0898387264367373,0.017069328710298003,9.589525437365252e-10,0.4420166015268832,0.07770428210324248,0.3147385952704379,0.15180187019903302,0.3630284481559005,0.5579833984731167,0.07770428210324247,0.3536648256182847,8.5,4972515764.711152
IC4202,32,5,2.147029425853597,0.036824752083930566,0.0003804181291224536,0.37344263022498503,0.058023257881228286,0.2156063382860122,0.07431703179391921,-0.20049975948202534,0.6265573697750149,0.05802325788122833,0.5070596566552907,3.9700000000000006,870273012.8993666
NGC0100,21,5,2.405069179446495,0.1359863979797785,0.2795102686227423,0.3778260102049399,0.04776679073173306,0.29156956392020095,0.11530320455121638,0.696061587319817,0.62217398979506,0.04776679073173305,0.4869618382344446,2.0,56584745.922046766
NGC2403,73,5,2.1830250312414097,0.074618590735259,0.07111330903866815,0.376393984898927,0.07499576532087547,0.21066590603576663,0.07468028383653628,-0.31439794363697615,0.6236060151010729,0.07499576532087548,0.5094550425177043,3.38,1357749636.4929445
NGC2683,11,2,2.2029389564334108,0.1849904057081675,0.22634290675663676,0.3793773730866473,0.018444516813130155,0.16949354890544696,0.06273713171325404,-0.7879595616666827,0.6206226269133528,0.018444516813130155,0.4966317971864696,14.424999999999999,24312998.44047567
NGC2841,50,5,2.1636952457552936,0.07485608749846331,0.07305374978016702,0.37540043258434397,0.06783367447022665,0.25255408391929535,0.09191460917243438,-0.2474556299937,0.624599567415656,0.06783367447022665,0.5215530965176539,12.240000000000002,607651636.969469
NGC2998,13,3,2.226069473156314,0.22787037020636713,0.39393741734120113,0.4448983499873766,0.08785487309951769,0.17477439758625726,0.08230590192652122,0.3916327180968222,0.5551016500126233,0.08785487309951767,0.352055854994112,13.850000000000001,222861850.65588945
NGC3198,43,5,2.1754597816309404,0.0728659060543857,0.0492310045461115,0.3721295226145416,0.0675500661780214,0.2543189814811753,0.10121330580446225,0.33875519665447246,0.6278704773854582,0.06755006617802142,0.5261268536294298,5.259999999999999,284176339.1599391
NGC3769,12,3,2.1412520781800217,0.12213373364093894,0.08457091851185333,0.37874153148273954,0.014394704582266108,0.30586435108052396,0.11448756387331856,-0.6299464187896159,0.6212584685172605,0.014394704582266094,0.5020480484601945,5.799999999999999,123821242.45870626
