galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,segment_index,Dw_i,sigma_i,beta_i,S_i,I_int_i,eta_obs_i,I_ext_i,DeltaD_i,eta_radius_term_i,eta_sigma_term_i,eta_dw_term_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,v_bar_kms,delta_v_i,C_i
NGC4183,0.87,47.1,39.23971967280092,8.2,9.99,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4183_structure_enriched.csv,1,2.379616379005274,0.06638457851437662,0.16309417061582226,218241.44489631613,340221.4642564531,0.7263746165259048,247128.23563316296,0.27362538347409515,0.7794491276235583,0.5264876072102396,0.08025574732981748,20157264.172208067,91.6083,39.23971967280092,0.16688493263692308,0.045663953688826614
NGC4183,1.74,65.9,49.12124591253768,6.6,9.99,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4183_structure_enriched.csv,1,2.379616379005274,0.06638457851437662,0.16309417061582226,218241.44489631613,340221.4642564531,0.7263746165259048,247128.23563316296,0.27362538347409515,0.7794491276235583,0.5264876072102396,0.08025574732981748,20157264.172208067,91.6083,49.12124591253768,0.25460931847439033,0.06966757240363307
NGC4183,2.61,76.1,58.009813824903794,5.6,9.99,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4183_structure_enriched.csv,1,2.379616379005274,0.06638457851437662,0.16309417061582226,218241.44489631613,340221.4642564531,0.7263746165259048,247128.23563316296,0.27362538347409515,0.7794491276235583,0.5264876072102396,0.08025574732981748,20157264.172208067,91.6083,58.009813824903794,0.23771598127590277,0.06504512653453971
NGC4183,3.5,85.7,61.092308026461076,5.6,9.99,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4183_structure_enriched.csv,1,2.379616379005274,0.06638457851437662,0.16309417061582226,218241.44489631613,340221.4642564531,0.7263746165259048,247128.23563316296,0.27362538347409515,0.7794491276235583,0.5264876072102396,0.08025574732981748,20157264.172208067,91.6083,61.092308026461076,0.28713759595728033,0.07856813480364062
NGC4183,5.24,99.3,72.29271747555214,5.2,9.99,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4183_structure_enriched.csv,2,2.313231800490897,0.07661117690596875,0.087346576903419,367073.90504997165,445491.5505917329,0.6539337687051505,291321.96860475314,0.3460662312948494,0.5366312383021092,0.5620110694060491,0.12451213300606856,54854907.64676892,170.65367549999993,72.29271747555214,0.27197666187762193,0.09412193837614216
NGC4183,6.11,103.0,76.5028267451602,5.2,9.99,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4183_structure_enriched.csv,2,2.313231800490897,0.07661117690596875,0.087346576903419,367073.90504997165,445491.5505917329,0.6539337687051505,291321.96860475314,0.3460662312948494,0.5366312383021092,0.5620110694060491,0.12451213300606856,54854907.64676892,170.65367549999993,76.5028267451602,0.25725410927028924,0.08902696008028238
NGC4183,6.98,107.0,80.57107421401305,5.2,9.99,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4183_structure_enriched.csv,2,2.313231800490897,0.07661117690596875,0.087346576903419,367073.90504997165,445491.5505917329,0.6539337687051505,291321.96860475314,0.3460662312948494,0.5366312383021092,0.5620110694060491,0.12451213300606856,54854907.64676892,170.65367549999993,80.57107421401305,0.24699930641109297,0.08547811910212869
NGC4183,8.72,114.0,87.84098929315404,6.1,9.99,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4183_structure_enriched.csv,3,2.2263940251933363,0.05723513055212903,0.008392764894989373,21858.69536606532,163672.5691794837,0.588755137750342,96363.06601321932,0.4112448622496579,0.36787944117144233,0.4894397732206234,0.18240398320444248,45504725.85878243,377.11101149999996,87.84098929315404,0.22946500620040317,0.0943663048660017
NGC4183,9.6,115.0,86.74577396046449,6.1,9.99,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4183_structure_enriched.csv,3,2.2263940251933363,0.05723513055212903,0.008392764894989373,21858.69536606532,163672.5691794837,0.588755137750342,96363.06601321932,0.4112448622496579,0.36787944117144233,0.4894397732206234,0.18240398320444248,45504725.85878243,377.11101149999996,86.74577396046449,0.24568892208291748,0.10103830691825633
NGC4183,10.47,111.0,83.76407344440693,5.6,9.99,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4183_structure_enriched.csv,3,2.2263940251933363,0.05723513055212903,0.008392764894989373,21858.69536606532,163672.5691794837,0.588755137750342,96363.06601321932,0.4112448622496579,0.36787944117144233,0.4894397732206234,0.18240398320444248,45504725.85878243,377.11101149999996,83.76407344440693,0.24536870770804564,0.1009066204017718
NGC4183,11.35,110.0,82.28385625382418,5.6,9.99,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4183_structure_enriched.csv,3,2.2263940251933363,0.05723513055212903,0.008392764894989373,21858.69536606532,163672.5691794837,0.588755137750342,96363.06601321932,0.4112448622496579,0.36787944117144233,0.4894397732206234,0.18240398320444248,45504725.85878243,377.11101149999996,82.28385625382418,0.25196494314705287,0.10361928833625264
NGC4183,13.12,109.0,75.16619253361182,4.8,9.99,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4183_structure_enriched.csv,4,2.198761539386639,0.043668722036945606,0.0010095344421102595,1836.768690935852,53818.74218015456,0.5422991723980582,29185.859343802284,0.4577008276019418,0.250044825872152,0.4224355939390588,0.20082564040890727,41664180.60558628,423.70836750000035,75.16619253361182,0.3104019033613594,0.14207120805771217
NGC4183,14.05,108.0,72.77158373980876,4.4,9.99,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4183_structure_enriched.csv,4,2.198761539386639,0.043668722036945606,0.0010095344421102595,1836.768690935852,53818.74218015456,0.5422991723980582,29185.859343802284,0.4577008276019418,0.250044825872152,0.4224355939390588,0.20082564040890727,41664180.60558628,423.70836750000035,72.77158373980876,0.3261890394462152,0.14929699330921514
NGC4183,14.98,109.0,71.43252550484269,5.2,9.99,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4183_structure_enriched.csv,4,2.198761539386639,0.043668722036945606,0.0010095344421102595,1836.768690935852,53818.74218015456,0.5422991723980582,29185.859343802284,0.4577008276019418,0.250044825872152,0.4224355939390588,0.20082564040890727,41664180.60558628,423.70836750000035,71.43252550484269,0.34465572931336985,0.1577492125444802
NGC4183,16.95,110.0,67.05411098508428,4.9,9.99,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4183_structure_enriched.csv,5,2.139056581119445,0.05970495826719402,0.0023686115914218317,3336.44649622772,18333.90024375425,0.5328840689126834,9769.843360931003,0.46711593108731664,0.1643896212189776,0.5,0.24062894592036996,23592823.32145745,771.9168105000002,67.05411098508428,0.3904171728628702,0.18237008121431747
NGC4183,17.88,109.0,66.11756952580758,4.9,9.99,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4183_structure_enriched.csv,5,2.139056581119445,0.05970495826719402,0.0023686115914218317,3336.44649622772,18333.90024375425,0.5328840689126834,9769.843360931003,0.46711593108731664,0.1643896212189776,0.5,0.24062894592036996,23592823.32145745,771.9168105000002,66.11756952580758,0.3934167933412148,0.18377125172696798
NGC4183,18.93,110.0,64.36052516877095,5.3,9.99,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4183_structure_enriched.csv,5,2.139056581119445,0.05970495826719402,0.0023686115914218317,3336.44649622772,18333.90024375425,0.5328840689126834,9769.843360931003,0.46711593108731664,0.1643896212189776,0.5,0.24062894592036996,23592823.32145745,771.9168105000002,64.36052516877095,0.41490431664753685,0.19380841618296102
NGC4183,19.97,112.0,62.498730387104665,10.2,9.99,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4183_structure_enriched.csv,5,2.139056581119445,0.05970495826719402,0.0023686115914218317,3336.44649622772,18333.90024375425,0.5328840689126834,9769.843360931003,0.46711593108731664,0.1643896212189776,0.5,0.24062894592036996,23592823.32145745,771.9168105000002,62.498730387104665,0.44197562154370834,0.20645385397528482
NGC4183,21.02,113.0,61.12805738774953,11.5,9.99,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4183_structure_enriched.csv,5,2.139056581119445,0.05970495826719402,0.0023686115914218317,3336.44649622772,18333.90024375425,0.5328840689126834,9769.843360931003,0.46711593108731664,0.1643896212189776,0.5,0.24062894592036996,23592823.32145745,771.9168105000002,61.12805738774953,0.4590437399314201,0.21442664398786934
