galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_response,beta_mode
KK98-251,0.25,4.25,2.0,0.172287753250443,47.1652,1375.2039967462329,1422.3691967462328,3.433846240005513,18.54187151251346,18.857155119120122,,1995.5045712784827,1995.5045712784827,True,2.772111208722013,1.2575877832798512,formula
KK98-251,0.41,6.84,2.0,0.1744806838026991,64.55439024390245,849.2122003123941,913.7665905562965,5.14463798532025,18.659501658085127,19.355730472603753,,1995.5045712784827,1995.5045712784827,True,2.772111208722013,1.2575877832798512,formula
KK98-251,0.57,9.56,2.0,0.174879074311974,80.8421052631579,612.2315652815677,693.0736705447256,6.788225099390856,18.680792065929474,19.87591487732058,,1995.5045712784827,1995.5045712784827,True,2.772111208722013,1.2575877832798512,formula
KK98-251,0.74,12.3,2.0,0.1746939476981092,110.70702702702704,471.0845556841366,581.7915827111636,9.051143574156804,18.670901724508678,20.749114949950542,,1995.5045712784827,1995.5045712784827,True,2.772111208722013,1.2575877832798512,formula
KK98-251,0.9,15.1,2.0,0.1747929641714534,132.9842222222222,387.5557322571681,520.5399544793903,10.940100547984008,18.676192305484843,21.64453647069974,,1995.5045712784827,1995.5045712784827,True,2.772111208722013,1.2575877832798512,formula
KK98-251,1.07,17.5,2.0,0.17461116632089727,158.05392523364483,325.642411765998,483.6963369996429,13.004526135157713,18.666477455310574,22.74983693545116,,1995.5045712784827,1995.5045712784827,True,2.772111208722013,1.2575877832798512,formula
KK98-251,1.24,19.7,2.0,0.1743243941459134,181.04459677419354,280.5363914544534,461.5809882286469,14.983167221919402,18.651142737203052,23.924055371184924,,1995.5045712784827,1995.5045712784827,True,2.772111208722013,1.2575877832798512,formula
KK98-251,1.4,21.8,2.0,0.17436455109298662,195.34178571428572,248.532327696411,443.87411341069674,16.537185371156724,18.653290829635807,24.928372565712657,,1995.5045712784827,1995.5045712784827,True,2.772111208722013,1.2575877832798512,formula
KK98-251,1.57,24.4,2.0,0.17472282586889648,203.70452229299363,222.07655906246958,425.78108135546324,17.883402920026153,18.672444878164114,25.854908580926704,,1995.5045712784827,1995.5045712784827,True,2.772111208722013,1.2575877832798512,formula
KK98-251,1.72,27.3,2.0,0.17493243562753621,210.1128488372093,202.95260172071363,413.06545055792293,19.01036822368257,18.683641908354684,26.654691424956084,,1995.5045712784827,1995.5045712784827,True,2.772111208722013,1.2575877832798512,formula
KK98-251,1.89,30.3,2.0,0.17499832787445918,212.85211640211642,184.76717631723494,397.6192927193514,20.057180759019946,18.687160384594925,27.41350877285821,,1995.5045712784827,1995.5045712784827,True,2.772111208722013,1.2575877832798512,formula
KK98-251,2.06,32.6,2.0,0.17501561184079226,210.26936893203882,169.53614246281626,379.8055113948551,20.81237372334064,18.68808319420163,27.97140242235633,,1995.5045712784827,1995.5045712784827,True,2.772111208722013,1.2575877832798512,formula
KK98-251,2.46,33.3,2.0,0.17500467894877308,193.53569105691057,141.96042147861786,335.4961125355284,21.81966544198146,18.68749948059932,28.728390780504917,,1995.5045712784827,1995.5045712784827,True,2.772111208722013,1.2575877832798512,formula
KK98-251,2.79,34.6,2.0,0.1750135732345095,177.04964157706092,125.17576538539255,302.22540696245346,22.225402133594795,18.687974353183527,29.0380592572101,,1995.5045712784827,1995.5045712784827,True,2.772111208722013,1.2575877832798512,formula
KK98-251,3.13,34.2,2.0,0.17502057632080062,146.361214057508,111.58286265685373,257.9440767143617,21.403518402356188,18.68834824472062,28.4141682988602,,1995.5045712784827,1995.5045712784827,True,2.772111208722013,1.2575877832798512,formula
