galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,v_obs_segment_kms,v_vis_segment_kms,v_err_segment_kms,mass_bar_segment_msun,n_points,density_ref_gal_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_density_eff_msun_per_kpc3,alpha_geom_i,alpha_dens_i,Dw_i,Dw_smooth_i,dDw_dr_i,propagation_source_i,causal_horizon_kpc,ell_info_kpc,c_info_gal,tau_struct_gal,propagation_term_i,delta_struct_i,DeltaD_i
IC4202,4,14.98,18.65,16.814999999999998,3.669999999999998,3.44,245.83333333333334,229.03959164474358,9.143333333333334,205096211569.96982,6,870273012.8993666,212.28601199999986,966131539.4156538,2.085995093868017,2.1768175804055745,2.131406337136796,2.1205875894326796,-0.005688583174744466,0.5913788536431274,3.9700000000000006,3.9700000000000006,1.0,2.0,0.1312092136578812,0.524968176783109,0.524968176783109
IC4202,5,19.62,25.9,22.759999999999998,6.279999999999998,3.4400000000000004,241.71428571428572,205.63923030792338,12.457142857142857,223781325725.8618,7,870273012.8993666,491.68883199999993,455127941.0101831,2.055920449539374,2.093021353513658,2.0744709015265164,2.102938619331656,-0.002968708175109066,0.430290529852158,3.9700000000000006,3.9700000000000006,1.0,2.0,0.11872824819343096,0.5,0.5
NGC0100,1,0.23,1.59,0.91,1.36,6.87,25.6275,27.599172151429467,5.07,161165896.55079004,4,56584745.922046766,8.502312,18955537.805574536,3.284057484401865,2.18826084997771,2.7361591671897876,2.598833586860918,-0.05175608828498165,0.5,2.0,2.0,1.0,2.0,0.07727272727272727,0.4708062982381773,0.4708062982381773
NGC0100,2,2.05,3.42,2.735,1.37,6.87,58.800000000000004,51.73566053421866,4.0,1702068257.98356,4,56584745.922046766,25.7415465,66121445.26683974,2.61088439273119,2.312131620332907,2.461508006532049,2.5043787257408265,-0.061651745444217254,0.5436286314350425,2.0,2.0,1.0,2.0,0.11565957509995926,0.5711151351910503,0.5711151351910503
NGC0100,3,3.88,5.7,4.79,1.8200000000000003,6.87,76.9,55.162498029489754,4.388,3388933201.254637,5,56584745.922046766,59.891286,56584745.922046766,2.4001735903536785,2.2307644166476095,2.315469003500644,2.3547859737434362,-0.05561857914331714,0.5179860434069085,2.0,2.0,1.0,2.0,0.1369398936214288,0.611897010233657,0.611897010233657
NGC0100,4,6.16,7.52,6.84,1.3599999999999994,6.87,82.6,50.06994501779251,5.423333333333333,3987034338.207448,3,56584745.922046766,63.907487999999994,62387592.79988361,2.3525925889619885,2.2221692334332435,2.2873809111976158,2.27589290783688,-0.023971608621558782,0.3165500814205853,2.0,2.0,1.0,2.0,0.08685576370518142,0.5,0.5
NGC0100,5,7.98,9.62,8.8,1.6399999999999988,6.87,88.84,46.49011326914392,8.472,4422252397.665824,5,56584745.922046766,99.14783999999992,44602609.57440755,2.287711452374378,2.1619461652503853,2.2248288088123815,2.2561048600049984,-0.010095942771368212,0.16322734434008115,2.0,2.0,1.0,2.0,0.04878037691147706,0.3596414398824762,0.3596414398824762
NGC2403,1,0.16,1.57,0.865,1.4100000000000001,0.5300000000000001,67.01333333333334,67.7444087710755,1.6440000000000003,923002052.025577,15,1357749636.4929445,0.6464145000000002,1427879560.290768,2.2621679756103483,2.48065124850791,2.3714096120591295,2.3521226169314824,-0.04929724610524399,0.5759396816658092,3.38,3.38,1.0,2.0,0.046697812026957504,0.39020761606290433,0.39020761606290433
NGC2403,2,1.67,2.98,2.325,1.31,0.5300000000000001,97.4,103.12050731849263,1.6521428571428576,5748475495.621661,14,1357749636.4929445,1.6142475000000005,3561086819.4757366,2.1137141528506986,2.5519570907569715,2.3328356218038353,2.280148637617826,-0.04739123501992082,0.5662816741742331,3.38,3.38,1.0,2.0,0.07297645906525375,0.5,0.5
NGC2403,3,3.08,6.46,4.77,3.38,0.5300000000000001,113.33333333333333,102.2789615368371,3.049333333333334,11601940773.34021,15,1357749636.4929445,8.544978000000002,1357749636.4929445,2.0413310620354737,2.2310702959455555,2.1362006789905146,2.1720813021847625,-0.036297213999779435,0.5,3.38,3.38,1.0,2.0,0.12935131933763605,0.6393156706345201,0.6393156706345201
NGC2403,4,6.96,13.42,10.19,6.46,0.5300000000000001,128.64285714285714,81.8632729073081,1.542142857142857,15877862509.71826,14,1357749636.4929445,34.88852200000001,455102755.84956723,2.0169560498412564,2.077459161678617,2.0472076057599367,2.070293307448028,-0.012680136823929086,0.2588979724438464,3.38,3.38,1.0,2.0,0.09617486497914017,0.5685729362301591,0.5685729362301591
NGC2403,5,13.91,20.87,17.39,6.960000000000001,0.5300000000000001,134.26666666666668,66.5174223471972,4.1066666666666665,17889988026.41557,15,1357749636.4929445,64.14823200000002,278885130.0908116,2.011053901830036,2.043889373357231,2.0274716375936332,2.037339621676785,-0.004576900801561515,0.1119755332636919,3.38,3.38,1.0,2.0,0.044815969609850244,0.38046562172057763,0.38046562172057763
NGC2683,1,2.89,14.43,8.66,11.54,21.58,195.8,205.08057127289626,7.4,84685016096.57663,5,24312998.44047567,2156.6275119999996,39267335.51592411,2.3218599146027215,2.269008403972268,2.2954341592874945,2.2029389564334108,0.0,0.0,14.424999999999999,14.424999999999999,1.0,2.0,0.0,0.0,0.0
NGC2683,2,17.31,34.62,25.964999999999996,17.31,21.58,162.5,122.61999609272766,10.333333333333334,90771720697.67372,6,24312998.44047567,9699.220556999997,9358661.365027227,2.150895765558236,2.0699917416004174,2.110443753579327,2.2029389564334108,0.0,0.0,14.424999999999999,14.424999999999999,1.0,2.0,0.0,0.0,0.0
NGC2841,1,3.44,6.51,4.975,3.07,2.04,305.2,282.98789495077904,9.407,92633579806.6337,10,607651636.969469,31.15743,2973081534.858096,2.1381760293976515,2.583509036442754,2.360842532920203,2.3310959089195644,-0.0226623078955274,0.6734991153352676,12.240000000000002,12.240000000000002,1.0,2.0,0.03800813022204543,0.3685173970102937,0.3685173970102937
NGC2841,2,6.86,9.93,8.395,3.0699999999999994,2.04,320.4,287.1012252081233,12.484,160890513395.27368,10,607651636.969469,52.576206,3060139284.2091665,2.0953309974454415,2.5073675723924107,2.301349284918926,2.2535908159168607,-0.0199412303743932,0.64477279297263,12.240000000000002,12.240000000000002,1.0,2.0,0.06512982345503365,0.5,0.5
NGC2841,3,10.27,22.51,16.39,12.240000000000002,2.04,313.3,255.45435211970735,7.552,248682492174.21008,10,607651636.969469,409.2517440000001,607651636.969469,2.032051673648386,2.1651095861745224,2.098580629911454,2.1450177969618442,-0.010986300364701877,0.5,12.240000000000002,12.240000000000002,1.0,2.0,0.1463925859656673,0.6920901968098533,0.6920901968098533
NGC2841,4,24.59,43.08,33.835,18.49,2.04,284.1,173.643980848759,3.818,237205794261.24164,10,607651636.969469,1276.242666,185862611.06964248,2.015951630987609,2.0542953211226957,2.035123476055152,2.05209480364578,-0.0034006499063390927,0.23637044976683846,12.240000000000002,12.240000000000002,1.0,2.0,0.08180460871766891,0.5567422659756025,0.5567422659756025
NGC2841,5,45.16,63.64,54.4,18.480000000000004,2.04,284.1,139.79052367963587,5.090000000000001,247169004647.41183,10,607651636.969469,2050.8364800000004,120521068.87010893,2.011574510006392,2.033586099935076,2.022580304970734,2.028851890512943,-0.0011302170256667693,0.0932790330136589,12.240000000000002,12.240000000000002,1.0,2.0,0.03168743621493413,0.32729119087806,0.32729119087806
NGC2998,1,0.33,2.64,1.485,2.31,3.31,135.75,106.16040290309387,16.75,3891268650.0421133,4,222861850.65588945,11.354458500000002,342708430.3528973,2.5290947913511697,2.4807111135511164,2.5049029524511432,2.3145231037152665,-0.009752329719840408,0.5266548238659784,13.850000000000001,13.850000000000001,1.0,2.0,0.037583337755032746,0.13866301425766706,0.13866301425766706
NGC2998,2,3.63,17.48,10.555,13.850000000000001,3.31,208.25,209.6220323237375,8.75,107837978329.4842,4,222861850.65588945,483.8781425000001,222861850.65588945,2.064247383009163,2.1840391269496164,2.1241432549793897,2.226069473156314,-0.008765168417273688,0.5,13.850000000000001,13.850000000000001,1.0,2.0,0.23345748705492309,0.5,0.5
NGC2998,3,22.46,42.28,32.370000000000005,19.82,3.31,211.2,164.01718193338445,2.4,202470164762.45087,5,222861850.65588945,2123.607954,95342534.56768267,2.0252130013742615,2.073111422702557,2.049162212038409,2.0866527335088993,-0.006390865901783846,0.42167137967930235,13.850000000000001,13.850000000000001,1.0,2.0,0.2581874187594616,0.5251501962209643,0.5251501962209643
NGC3198,1,0.32,2.89,1.605,2.5700000000000003,2.1,64.87777777777778,81.2176359373249,13.370000000000001,2461588022.4261374,9,284176339.1599391,8.662185000000001,284176339.1599391,2.35425879892846,2.345850924884671,2.3500548619065658,2.32260748281492,-0.019677863401263058,0.5,5.259999999999999,5.259999999999999,1.0,2.0,0.035575858250276864,0.3977160897904561,0.3977160897904561
NGC3198,2,3.21,5.46,4.335,2.25,2.1,118.625,116.00314163581649,5.38875,13563389991.596958,8,284176339.1599391,20.482875,662181944.263047,2.1767790098026314,2.4135411976439176,2.2951601037232745,2.268886915729472,-0.021748576544620923,0.5249926513847543,5.259999999999999,5.259999999999999,1.0,2.0,0.05387452900717769,0.5,0.5
NGC3198,3,5.78,11.04,8.41,5.259999999999999,2.1,145.66666666666666,136.86619416809776,1.9344444444444444,36629249726.67642,9,284176339.1599391,92.89685999999998,394300191.9190426,2.07740420026371,2.245487362853441,2.1614457815585757,2.1676660502144744,-0.020313272470173928,0.5079443738601671,5.259999999999999,5.259999999999999,1.0,2.0,0.09259528063224359,0.6321799752467367,0.6321799752467367
NGC3198,4,12.05,26.1,19.075000000000003,14.05,2.1,153.125,108.54440155319925,2.0,52253940816.11608,8,284176339.1599391,562.8078750000001,92845077.57841177,2.0277599362975125,2.065024594425635,2.0463922653615736,2.0773613141749543,-0.006157790814718539,0.2383446830198482,5.259999999999999,5.259999999999999,1.0,2.0,0.09271159458551682,0.632471835077146,0.632471835077146
NGC3198,5,28.16,44.08,36.12,15.919999999999998,2.1,148.33333333333334,83.49923046825627,2.2222222222222223,58553428966.22577,9,284176339.1599391,1207.56384,48488888.973543435,2.016857155939785,2.0316346352696413,2.024245895604713,2.035319080483143,-0.0024665434844125056,0.11138449077216088,5.259999999999999,5.259999999999999,1.0,2.0,0.049093053518626834,0.4767816463625696,0.4767816463625696
NGC3769,1,1.74,6.98,4.36,5.24,2.86,108.625,126.80353346510815,6.875,16300046593.086687,4,123821242.45870626,65.340704,249462365.65015715,2.1609092010292863,2.37862107719944,2.269765139114363,2.19912928135379,-0.007972066552860665,0.5414438751444165,5.799999999999999,5.799999999999999,1.0,2.0,0.10463455304284501,0.4621919486192235,0.4621919486192235
NGC3769,2,8.72,14.52,11.620000000000001,5.799999999999999,2.86,120.5,93.98851101146455,4.95,23866861466.29632,4,123821242.45870626,192.75255999999996,123821242.45870626,2.077429392636534,2.179557454549901,2.128493423593217,2.1412520781800217,-0.006751650749757851,0.5,5.799999999999999,5.799999999999999,1.0,2.0,0.12175310549477286,0.5,0.5
NGC3769,3,17.07,37.16,27.115,20.089999999999996,2.86,118.5,63.51872460033542,11.575,25436232886.56262,4,123821242.45870626,1557.9574009999997,16326654.93307838,2.024617368729838,2.0263779749351323,2.0254976718324853,2.076995547712851,-0.004146920327019717,0.38050128753629753,5.799999999999999,5.799999999999999,1.0,2.0,0.281920371255918,0.6983871556912625,0.6983871556912625
NGC3917,1,0.87,3.5,2.185,2.63,4.65,62.125,54.43461988407375,4.35,1505363826.400241,4,168121561.79605794,26.721457500000003,56335393.62140859,2.4737327698144806,2.1269622323222896,2.3003475010683854,2.272272080017139,-0.0057251500934896666,0.4165484958049273,2.6250000000000004,2.6250000000000004,1.0,2.0,0.08359576833017618,0.42372344695708714,0.42372344695708714
NGC3917,2,4.37,6.98,5.675000000000001,2.6100000000000003,4.65,118.75,99.36390463229996,3.7,13027551834.596252,4,168121561.79605794,68.87463750000002,189148753.55382085,2.250259903582997,2.2381334143487885,2.244196658965893,2.2522913061908603,-0.010313066188311126,0.5625664475532345,2.6250000000000004,2.6250000000000004,1.0,2.0,0.11780183674122184,0.5088751389145604,0.5088751389145604
NGC3917,3,7.85,10.47,9.16,2.620000000000001,4.65,135.75,110.84518004828477,3.725,26167892397.148483,4,168121561.79605794,111.59628000000006,234487138.79305357,2.1839589599045572,2.240700557172049,2.212329758538303,2.2003842896498886,-0.010512825864790298,0.5672816372841643,2.6250000000000004,2.6250000000000004,1.0,2.0,0.12130525317987757,0.516196966909531,0.516196966909531
NGC3917,4,11.35,14.86,13.105,3.51,4.65,137.2,101.61509729949712,4.9,31462493967.401325,5,168121561.79605794,213.8932575,147094370.03829503,2.131248544323364,2.1580043585675766,2.14462645144547,2.1784781049918864,-0.005552898519138707,0.4091435156371127,2.6250000000000004,2.6250000000000004,1.0,2.0,0.10958365050639188,0.49079819178059003,0.49079819178059003
NGC4010,1,0.87,3.5,2.185,2.63,9.94,60.825,68.99372899137225,6.0249999999999995,2418300822.08063,4,91188656.95228384,57.120706999999996,42336675.24599494,2.7197475419761643,2.1675396764226043,2.443643609199384,2.3777406446502733,-0.012367074969323245,0.46888301702027696,2.620000000000001,2.620000000000001,1.0,2.0,0.13462470903529786,0.4705542004144389,0.4705542004144389
NGC4010,2,4.37,6.98,5.675000000000001,2.6100000000000003,9.94,110.075,101.36973526596431,5.550000000000001,13558827508.198345,4,91188656.95228384,147.22879500000002,92093584.7379471,2.403140765997279,2.2205345942050463,2.3118376801011626,2.334579553007335,-0.014008533701503123,0.5,2.620000000000001,2.620000000000001,1.0,2.0,0.15147348946495492,0.5,0.5
NGC4010,3,7.85,10.47,9.16,2.620000000000001,9.94,125.5,101.06352102974711,4.8,21753240870.336758,4,91188656.95228384,238.5520480000001,91188656.95228384,2.305463383326064,2.1910513561168528,2.2482573697214585,2.2800475249113106,-0.01564764077360822,0.5276351738063975,2.620000000000001,2.620000000000001,1.0,2.0,0.1606637552560356,0.5147215142481564,0.5147215142481564
NGC4013,1,5.49,9.88,7.6850000000000005,4.390000000000001,1.6299999999999994,194.85714285714286,221.90782079557766,5.0,87989071370.68933,7,610229883.7962602,54.99155449999999,1600046992.1374807,2.071539041962746,2.372236701843596,2.221887871903171,2.186719233644811,-0.005935576292135517,0.5,4.42,4.42,1.0,2.0,0.07713934282199966,0.5,0.5
NGC4013,2,10.56,14.98,12.77,4.42,1.6299999999999994,182.0,180.49914362500803,7.142857142857143,96734375898.66878,7,610229883.7962602,92.00274199999997,1051429270.4305358,2.049675532137536,2.2534256586353676,2.1515505953864515,2.156536828199302,-0.006836035048678607,0.535252355106732,4.42,4.42,1.0,2.0,0.10249641419064043,0.570579131321991,0.570579131321991
NGC4013,3,15.68,20.79,18.235,5.109999999999999,1.63,166.25,144.67868483384245,5.125,88747170912.23474,8,610229883.7962602,151.88478549999996,584305864.6070561,2.036258161874177,2.1560858727423904,2.096172017308284,2.1138891446767327,-0.006765205005848818,0.5326605385231288,4.42,4.42,1.0,2.0,0.10875775140589408,0.5850427724952306,0.5850427724952306
NGC4013,4,21.48,25.2,23.34,3.719999999999999,1.6299999999999997,172.5,126.15143218923197,5.0,86362432811.85263,6,610229883.7962602,141.52442399999995,610229883.7962602,2.035453023653029,2.152436619017898,2.0939448213354632,2.08430546333732,-0.003479775828726328,0.36958530961535646,4.42,4.42,1.0,2.0,0.07185760196526707,0.48227567396004767,0.48227567396004767
NGC4013,5,25.9,31.01,28.455,5.110000000000003,1.63,177.5,114.36964773183456,6.125,86540580121.68549,8,610229883.7962602,237.01023150000012,365134363.9216919,2.026729381330184,2.0988697214062424,2.0627995513682134,2.0783721863518383,-0.0011599759502408313,0.16347930515022852,4.42,4.42,1.0,2.0,0.04113197972157988,0.34777644180332845,0.34777644180332845
NGC4088,1,1.74,6.98,4.36,5.24,1.41,140.475,206.23582623980633,8.925,43117577877.2855,4,1338497201.579239,32.213424,1338497201.579239,2.0886953301209505,2.2378253204756997,2.1632603252983253,2.144993760991239,-0.0034281744592996885,0.5193250120270811,5.24,5.24,1.0,2.0,0.146461951723461,0.493212397241012,0.493212397241012
NGC4088,2,8.72,13.94,11.33,5.219999999999999,1.41,176.5,228.6614531039015,6.625,137738539364.0437,4,1338497201.579239,83.39106599999998,1651718175.2304704,2.0438904639887947,2.2095639293795095,2.1267271966841523,2.12109938500992,-0.0031730374598383793,0.5,5.24,5.24,1.0,2.0,0.15049317864786918,0.5,0.5
NGC4088,3,15.68,21.48,18.58,5.800000000000001,1.41,169.5,176.15766912675343,6.975,134056681773.51591,4,1338497201.579239,151.94724,882258090.199703,2.029469563753979,2.117151702340585,2.073310633047282,2.100018914865717,-0.0029076510543728437,0.4781779312617889,5.24,5.24,1.0,2.0,0.15377332958478682,0.5053902596049274,0.5053902596049274
NGC4157,1,1.74,6.98,4.36,5.24,14.28,161.6,215.8670910476772,9.475,47238816982.59291,4,119491006.83341289,326.246592,144794821.28227997,2.474583496171718,2.272356849047882,2.3734701726098,2.310740310522907,-0.00663155165177462,0.4640712737574763,5.2299999999999995,5.2299999999999995,1.0,2.0,0.09306289607689155,0.4677548808626021,0.4677548808626021
NGC4157,2,8.72,13.94,11.33,5.219999999999999,14.28,192.75,227.09331741195047,6.525,135855825077.28787,4,119491006.83341289,844.5563279999999,160860585.10627592,2.273680400740038,2.2223404961319906,2.2480104484360144,2.264518395510038,-0.009533617593673799,0.5545377565627801,5.2299999999999995,5.2299999999999995,1.0,2.0,0.11695951995194016,0.5248277120660737,0.5248277120660737
NGC4157,3,15.68,20.9,18.29,5.219999999999999,14.28,182.5,173.7702629094548,6.699999999999999,128411602923.09045,4,119491006.83341289,1363.3658639999996,94187192.38454579,2.209174753176511,2.1349743777920893,2.1720745654843,2.177995017125342,-0.00868522932874527,0.5314140578971148,5.2299999999999995,5.2299999999999995,1.0,2.0,0.11368375175420542,0.5177388484207842,0.5177388484207842
NGC4157,4,22.65,29.61,26.13,6.960000000000001,14.279999999999998,185.2,143.6010859755771,10.84,125283680563.79454,5,119491006.83341289,2597.0293439999996,48241149.393726125,2.1550088044298645,2.0727912704815594,2.113900037455712,2.142987301470006,-0.004465269853996953,0.3683103722146255,5.2299999999999995,5.2299999999999995,1.0,2.0,0.09810355068237135,0.4809063544417865,0.4809063544417865
NGC4183,1,0.87,4.37,2.62,3.5,9.99,74.28,55.05702458827953,6.24,1846572703.4668882,5,41664180.60558628,91.6083,20157264.172208067,2.597548134372131,2.161684623638417,2.379616379005274,2.3464240897480853,-0.01019363605560497,0.5,3.5,3.5,1.0,2.0,0.09217803529101923,0.4772398153410205,0.4772398153410205
NGC4183,2,5.24,7.85,6.545,2.6099999999999994,9.99,105.075,78.4315719271537,5.2,9361191609.134169,4,41664180.60558628,170.65367549999993,54854907.64676892,2.3720794246165147,2.2543841763652797,2.313231800490897,2.3064140682298357,-0.012675155294745333,0.5542555835401058,3.5,3.5,1.0,2.0,0.10206762935466966,0.5027024872677808,0.5027024872677808
NGC4183,3,8.72,12.31,10.515,3.59,9.99,112.2,83.77962206637491,5.72,17160333196.635647,5,41664180.60558628,377.11101149999996,45504725.85878243,2.2565920717138312,2.196195978672841,2.2263940251933363,2.246129121690291,-0.014747572259417863,0.5912934158260071,3.5,3.5,1.0,2.0,0.13221134347661695,0.566988849177408,0.566988849177408
NGC4183,4,13.12,16.03,14.575,2.910000000000002,9.99,109.25,72.17567239808223,4.925,17653461947.61814,4,41664180.60558628,423.70836750000035,41664180.60558628,2.227742644593442,2.1697804341798363,2.198761539386639,2.1880707152331405,-0.009528256222951281,0.4831309332984959,3.5,3.5,1.0,2.0,0.10097021497630543,0.5,0.5
NGC4183,5,16.95,21.02,18.985,4.07,9.99,110.8,64.2317986909034,7.359999999999999,18211696928.989456,5,41664180.60558628,771.9168105000002,23592823.32145745,2.174800032282976,2.1033131299559136,2.139056581119445,2.168909060253042,-0.004345046480747979,0.29886108798947203,3.5,3.5,1.0,2.0,0.07391312087969622,0.4226424462794788,0.4226424462794788
NGC5907,1,5.03,15.1,10.065,10.07,15.51,226.8,214.54029707471642,4.4,107713758420.55627,5,56853720.71159631,1572.0090704999998,68519807.195703,2.2506525151347017,2.212590988732082,2.2316217519333916,2.212142274339027,-0.0026200470267156765,0.4762750271144948,10.07,10.07,1.0,2.0,0.10588562806144085,0.4777742945351874,0.4777742945351874
NGC5907,2,17.61,25.16,21.384999999999998,7.550000000000001,15.51,228.0,208.05811317104434,4.5,215237634893.0507,4,56853720.71159631,2504.1941925000006,85950856.18267228,2.1788524634195157,2.2064731300698104,2.192662796744663,2.1824833419966057,-0.0033044978048493157,0.534226647512698,10.07,10.07,1.0,2.0,0.11848111759346501,0.5058578882278827,0.5058578882278827
NGC5907,3,27.68,37.75,32.715,10.07,15.51,217.0,174.22505643645147,2.0,230891421593.72415,5,56853720.71159631,5109.6151755,45187634.22748961,2.1265178520279027,2.1198131025956224,2.1231654773117627,2.1372817039972425,-0.0031421029072784407,0.5216686229204861,10.07,10.07,1.0,2.0,0.14064233347048602,0.5485711088641158,0.5485711088641158
NGC5907,4,40.26,50.33,45.295,10.07,15.51,215.8,148.05471556378245,3.6,230852402090.8278,5,56853720.71159631,7074.431281499999,32631937.876691043,2.1048872542055097,2.0871464216650946,2.096016837935302,2.1095911576235324,-0.002201156309515902,0.4331082530006717,10.07,10.07,1.0,2.0,0.11299302174576732,0.4940015589840658,0.4940015589840658
NGC5985,1,3.54,8.02,5.779999999999999,4.4799999999999995,5.619999999999999,254.42857142857142,171.006515332304,6.155714285714285,39300022435.63424,7,480240442.70134723,145.52652799999996,270054009.91655797,2.233750916951118,2.140173745820656,2.186962331385887,2.1824897941407,-0.00253786649870846,0.4658889439957585,4.4799999999999995,4.4799999999999995,1.0,2.0,0.07203390747544426,0.38058633186146407,0.38058633186146407
NGC5985,2,8.79,12.56,10.675,3.7700000000000014,5.62,298.6666666666667,212.8164177014081,9.28,112413323015.78105,6,480240442.70134723,226.17549500000007,497018136.36256665,2.167949020096726,2.1880854936943,2.1780172568955134,2.1700669376295223,-0.0029094971518261736,0.5,4.4799999999999995,4.4799999999999995,1.0,2.0,0.08722272038591883,0.42660106701289024,0.42660106701289024
NGC5985,3,13.39,17.89,15.64,4.5,5.619999999999999,294.42857142857144,228.5514375976832,6.645714285714286,189952191648.14297,7,480240442.70134723,395.53559999999993,480240442.70134723,2.1234988570616236,2.16694359215271,2.145221224607167,2.153749751922002,-0.005705866738304893,0.6622896967638229,4.4799999999999995,4.4799999999999995,1.0,2.0,0.1219449579599133,0.509841863991923,0.509841863991923
NGC5985,4,18.72,22.52,20.619999999999997,3.8000000000000007,5.62,290.5,217.7049921384439,4.056666666666667,227229693128.4864,6,480240442.70134723,440.36072000000013,516008087.93410623,2.1111007225926772,2.1649208259339727,2.138010774263325,2.113249400540452,-0.005809995189032496,0.6663226437859736,4.4799999999999995,4.4799999999999995,1.0,2.0,0.11723696602945363,0.5,0.5
NGC5985,5,23.23,34.72,28.975,11.489999999999998,5.619999999999999,291.85714285714283,203.18735566590126,4.497142857142857,278135514585.28076,7,480240442.70134723,1871.0258549999994,148654019.84799448,2.0563933600596447,2.056639045442085,2.0565162027508648,2.097263488507095,-0.0019133347735914982,0.39672433192367523,4.4799999999999995,4.4799999999999995,1.0,2.0,0.15732053749104494,0.5729966781960462,0.5729966781960462
UGC01281,1,0.08,0.69,0.38499999999999995,0.61,11.31,7.756,7.517865646476006,4.0,5059289.0791038815,5,9546723.325059151,2.6561534999999994,1904742.733845722,3.5,2.195158531948089,2.847579265974044,2.8894224834303985,-0.0428812341515714,0.415237379234197,2.0,2.0,1.0,2.0,0.05995143226813259,0.25031098482369696,0.25031098482369696
