galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,v_obs_segment_kms,v_vis_segment_kms,v_err_segment_kms,mass_bar_segment_msun,n_points,density_ref_gal_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_density_eff_msun_per_kpc3,alpha_geom_i,alpha_dens_i,Dw_i,Dw_smooth_i,dDw_dr_i,propagation_source_i,causal_horizon_kpc,ell_info_kpc,c_info_gal,tau_struct_gal,propagation_term_i,delta_struct_i,DeltaD_i
DDO168,1,0.41,2.06,1.235,1.6500000000000001,1.24,29.560000000000002,22.801932483717632,1.8199999999999998,149296598.71170092,5,75300744.96280545,2.52681,59085011.817944735,2.3509089911554155,2.3250948245526186,2.338001907854017,2.2841906530715903,0.0,0.0,2.0,1.9769999999999999,1.0,2.0,0.0,0.0,0.0
DDO168,2,2.47,4.12,3.295,1.65,1.24,53.36,28.378055993417775,2.06,616964743.3162987,5,75300744.96280545,6.7415699999999985,91516478.10766615,2.1608119839267066,2.2999468126516196,2.230379398289163,2.2841906530715903,0.0,0.0,2.0,1.9769999999999999,1.0,2.0,0.0,0.0,0.0
ESO563-G021,1,0.45,4.9,2.6750000000000003,4.45,0.35000000000000003,101.05,133.77833333333334,6.423333333333333,11131020785.313784,6,4972515764.711152,4.166312500000001,2671672080.6021585,2.0392838014105603,2.1748339766646794,2.10705888903762,2.111390544266966,-0.0007926064477973683,0.43505579304746345,8.5,8.5,1.0,2.0,0.050733707522568464,0.27021865212468277,0.27021865212468277
ESO563-G021,2,5.79,12.06,8.925,6.2700000000000005,0.35000000000000003,270.8333333333333,237.24166715144466,5.251666666666668,116796493543.85747,6,4972515764.711152,19.585912500000003,5963290887.971518,2.0126918725852097,2.218752526407413,2.1157221994963114,2.1064367539682323,-0.0009586639372429623,0.4822477331271445,8.5,8.5,1.0,2.0,0.10355718119561219,0.4304586526750907,0.4304586526750907
ESO563-G021,3,13.44,21.94,17.69,8.500000000000002,0.35000000000000003,314.6666666666667,278.4423539022395,13.983333333333334,318887922616.5412,6,4972515764.711152,52.62775000000003,6059311344.6146,2.0065857164233027,2.1864726303182285,2.0965291733707656,2.0959928799199634,-0.001566291898567787,0.6034561489181552,8.5,8.5,1.0,2.0,0.16240244669920328,0.5423913508164934,0.5423913508164934
ESO563-G021,4,23.68,32.18,27.93,8.5,0.35000000000000003,313.1666666666667,252.23871582961138,9.881666666666666,413175036792.438,6,4972515764.711152,83.09175000000002,4972515764.711152,2.0047538262405844,2.146700707545042,2.0757272668928133,2.075470847883252,-0.0015164360610775418,0.5956900401039941,8.5,8.5,1.0,2.0,0.15849246410863757,0.536336578071141,0.536336578071141
ESO563-G021,5,33.91,42.41,38.16,8.5,0.35000000000000003,316.8333333333333,209.86750819634457,9.916666666666666,390785484287.7604,6,4972515764.711152,113.52600000000001,3442255380.1575,2.003822981426408,2.104489225345945,2.054156103386177,2.064941685139495,-0.001029243669966486,0.5,8.5,8.5,1.0,2.0,0.13701686825618717,0.5,0.5
IC4202,1,0.77,5.5,3.135,4.73,3.4400000000000004,141.28571428571428,185.46424308097198,3.8814285714285712,25072496151.305027,7,870273012.8993666,51.010212,491519152.1122285,2.244980924181924,2.1718382004440793,2.2084095623130016,2.1866921804849735,-0.0020056413313962987,0.3378636873738369,3.9700000000000006,3.9700000000000006,1.0,2.0,0.0702150808997473,0.3716197932826748,0.3716197932826748
IC4202,2,6.27,10.24,8.254999999999999,3.9700000000000006,3.44,236.0,226.0905499053524,4.985,98111867703.5664,6,870273012.8993666,112.736884,870273012.8993666,2.133420738594158,2.1965288587197342,2.164974798656946,2.1764232968682244,-0.003930602800033878,0.5,3.9700000000000006,3.9700000000000006,1.0,2.0,0.09449678057629518,0.44317865084378827,0.44317865084378827
IC4202,3,11.02,14.59,12.805,3.5700000000000003,3.44,243.16666666666666,242.07131385357616,6.103333333333333,174464023029.3473,6,870273012.8993666,157.255644,1109429325.3433073,2.103983936699942,2.2077871225695094,2.155885529634726,2.1507555551428226,-0.006641582368363208,0.6282128304200123,3.9700000000000006,3.9700000000000006,1.0,2.0,0.1208197378352972,0.5043654920179863,0.5043654920179863
