dataset,shell,shell_center_kpc,n_shell,D_bg_reference,D_halo_shell,Sigma_bg_shell,sigma_local_mean_shell,sigma_local_median_shell,observed_variance_shell,standard_variance_shell,topological_gradient_term_bg,coupling_shell_diagnostic,coupling_shell_diagnostic_valid,residual_observed_minus_standard
5d,5-10,7.5,8610,3.0,2.436289036991308,-0.5637109630086918,-3.106640892208703e-17,-0.05731243113241069,19953.982815730633,19969.820666005413,0.0015158928457939425,-10447.869266435557,True,-15.837850274780067
5d,10-20,15.0,7593,3.0,2.4249198406478536,-0.5750801593521464,4.262408413649992e-16,-0.06342902943091033,29299.834321378497,30165.229927636065,0.004498031708990544,-192394.28760091617,True,-865.3956062575671
5d,20-40,30.0,3458,3.0,2.335083323539021,-0.6649166764609791,-4.892045150358045e-16,-0.09818425714405588,60333.24813867293,91847.04710541131,0.0027208231542639677,-11582450.302714895,True,-31513.798966738388
5d,40-80,60.0,629,3.0,2.302482798705975,-0.697517201294025,8.473148196350936e-17,-0.16015374596205456,72883.46192898112,167834.73891582928,0.0010866841611015291,-87377069.056201,True,-94951.27698684816
5d,80+,100.0,0,3.0,,,,,,,,,False,
