dataset,rows_read,rows_written,D_loc_pos_nonnull,D_loc_kin_nonnull,D_loc_nonnull,shells_nonempty,median_D_loc,median_lambda_pos,median_Sigma_bg_shell,median_topological_gradient_term_bg,median_coupling_shell_diagnostic,coupling_shell_diagnostic_valid_n
5d,22517,22517,20290,20290,20290,4,2.3442670282251354,0.4030146395426611,-0.6199984179065627,0.002118358000028955,-5887422.295157906,4
6d,858,858,855,855,855,2,2.8111179534358763,0.49811235065474235,0.8086069917130065,0.24785341496500532,-70428.41127249114,2
