r_kpc,v_obs,v_model
0.28,107.0,298.4993149258965
0.55,121.0,185.8797080540498
0.83,134.0,9.110433579144299e-07
1.39,157.0,1.1789826122551597e-06
1.65,168.0,131.19727284387344
3.04,207.0,149.61107354105928
3.32,213.0,172.1166135293051
3.59,218.0,181.11328039728346
3.87,222.0,190.79505512374337
4.15,226.0,200.42462595444212
4.43,229.0,206.06679528015573
4.7,232.0,208.86412359377408
4.97,234.0,211.11243878802728
5.25,235.0,214.98084497935665
5.52,236.0,220.2011645212459
5.8,237.0,224.35144695783765
6.08,237.0,227.5934488856992
6.36,237.0,230.0267341213334
6.63,236.0,230.9151346901224
6.91,236.0,231.6894405310239
7.19,235.0,231.9680490161887
7.27,234.0,231.64163177928026
7.46,234.0,231.87013006781234
8.02,231.0,231.5315439130849
8.29,229.0,231.26686768870454
8.56,228.0,230.64760236817503
8.84,226.0,229.64133155237369
9.12,224.0,228.73995921342438
9.69,221.0,226.4993222433327
12.11,216.0,210.19167762458258
14.58,220.0,194.29193659720332
14.68,220.0,194.39373317407163
15.2,221.0,191.3984797340943
15.5,221.0,190.13370088248402
15.71,221.0,189.2909781483429
16.02,221.0,187.9294130574577
16.32,221.0,186.63094691129223
16.53,221.0,185.89251614638783
16.84,221.0,184.70231013279388
16.94,221.0,184.57513813341095
19.4,218.0,174.97085784556486
21.77,216.0,167.17848811378968
24.23,215.0,158.67607081575898
26.69,212.0,151.06970705643258
29.06,208.0,144.24735315638534
31.52,209.0,137.86564973066476
36.34,220.0,127.15287168460625
40.04,220.0,119.91921172214697
