r_kpc,v_obs,v_model
0.34,38.8,30.1349674282881
0.68,50.1,37.74631046582841
1.02,60.2,39.39151669627902
1.36,68.2,41.84185643714601
1.69,72.8,43.101918023228066
2.03,75.3,43.858680317210016
2.37,76.6,44.02757130413191
2.7,77.6,43.797470132347904
3.05,78.5,43.09424991822959
3.38,78.2,42.81251532779653
3.72,78.8,42.95308331913244
4.06,79.2,42.55824409709762
4.39,79.2,41.11652274557451
4.74,79.2,39.78547677858829
5.08,78.8,38.206093740733884
5.41,78.5,36.52884060871934
5.75,80.1,36.16073477332022
6.09,80.1,35.818715635778744
6.42,80.1,35.047617049298246
6.77,80.1,34.49514882202109
7.11,79.8,33.95352090856433
7.44,79.8,34.26854556416197
7.78,79.5,33.843007194266185
8.12,79.5,32.64246934751302
8.46,78.8,32.54114734222274
8.8,77.9,32.365075423847586
9.13,77.2,31.603438773632387
9.47,77.6,30.93483004218167
9.77,76.6,30.75077872960472
10.15,77.6,30.683058145264738
