r_kpc,v_obs,v_model
0.11,6.8,55.50086526706506
0.17,9.5,63.77082845329776
0.24,14.0,65.71797277746062
0.31,19.8,57.45742016115969
0.38,26.1,53.01270919611284
0.45,28.7,55.5700079117261
0.52,28.7,60.25887149003845
0.59,31.7,61.42215247329754
0.66,35.5,60.87409549397021
0.73,39.4,61.95717637114347
0.8,42.9,63.44699237498079
0.87,46.0,67.5606762575101
0.94,49.1,77.50629525341132
1.01,49.2,85.89358899290798
1.08,51.4,88.09119794210592
1.14,57.2,91.16038187952132
1.21,63.8,96.42090194599899
1.29,67.8,99.04806004446675
1.35,69.8,97.60346652069754
1.42,71.7,96.5900187850459
1.49,74.1,96.05444465290651
1.56,76.7,92.38551903658563
1.63,79.9,82.84272579193872
1.74,83.6,61.90326659715999
1.93,83.9,45.23173673918758
2.1,88.7,48.69101922238115
2.27,85.3,53.003563271971665
