r_kpc,v_obs,v_model
0.58,31.3,20.568789714932546
1.16,54.8,27.763581906473757
1.74,61.1,29.263439109541313
2.33,63.9,31.607515846097193
2.91,67.2,34.18120470452239
3.49,70.4,35.50915958831622
4.07,73.7,35.05003436051637
4.65,78.0,36.3047877846129
5.23,80.8,37.690105249229326
5.81,80.5,38.478065618712115
6.4,81.3,39.881809603617896
6.98,82.1,41.04256571482802
7.62,82.8,42.365017890033265
8.28,84.9,41.93380997141081
8.9,84.3,39.41378123268456
9.52,83.2,39.32582202650816
10.22,80.1,39.41756561875679
