r_kpc,v_obs,v_model
0.91,33.1,30.184311334657853
1.36,46.7,36.34682978452221
1.82,53.9,41.26287434662473
2.27,58.8,45.54297538920789
2.72,65.6,47.91335078604616
3.17,70.8,49.35830329478284
3.63,82.1,50.101806321070576
4.08,84.1,50.57456058514565
4.54,83.4,50.98973361612644
4.99,81.5,50.70329987371743
5.45,80.8,50.203684099025104
5.9,82.8,50.09486935001642
6.36,88.2,50.95401179616005
6.81,88.5,51.72367858589841
7.26,88.4,52.07667932598793
7.71,88.2,51.63469311172946
8.17,89.5,50.41290098208841
8.62,89.7,49.053517510922504
9.07,93.7,47.97872223148691
9.53,97.0,47.0126674323698
9.96,96.2,45.659032351144376
10.45,94.8,44.2687251071509
10.93,92.5,42.972144341434195
11.32,92.8,41.950466757336045
11.8,93.5,41.16649738727878
