r_kpc,v_obs,v_model
0.11,9.1,3.3166247903554e-07
0.14,17.6,3.7416573867739413e-07
0.17,19.3,4.1231056256176606e-07
0.21,24.8,4.58257569495584e-07
0.24,30.0,4.898979485566356e-07
0.28,35.0,5.291502622129181e-07
0.32,38.3,5.656854249492381e-07
0.35,42.7,5.916079783099616e-07
0.39,47.0,6.244997998398399e-07
0.42,49.8,6.48074069840786e-07
0.46,52.2,36.732378975064385
0.49,53.4,56.14519663173796
0.53,54.6,55.056988604909776
0.56,55.5,7.483314773547883e-07
0.6,55.9,7.745966692414833e-07
0.63,58.3,7.937253933193772e-07
0.66,59.3,21.128017215642796
0.7,59.5,16.80464297625147
0.87,59.1,17.100292556484106
1.05,62.6,26.481013661634705
1.22,65.6,46.57312684464006
1.4,70.7,63.34342089414841
1.57,73.9,74.33172534802785
1.75,78.5,84.89782127731719
1.92,82.4,93.96704464382245
2.1,87.1,96.08915678706815
2.27,89.6,89.68951026391795
2.45,94.9,81.27501831015842
2.62,98.1,83.13979777958123
2.79,99.3,88.10963651726587
2.97,98.6,89.5087989625494
3.16,101.0,88.51112423786081
3.33,103.0,87.42330295865172
3.51,107.0,87.80864250626256
3.68,114.0,87.66818627220782
3.85,112.0,86.87068946547265
4.03,114.0,86.23263129098281
4.2,116.0,85.21528303535345
4.38,114.0,85.2842741258285
4.73,114.0,84.82749612814605
5.25,109.0,83.13648361365073
5.78,107.0,79.77505879331616
6.3,105.0,77.9984016495416
6.82,101.0,76.21427623277026
7.35,94.5,73.37375849424053
7.87,90.8,70.93108460192913
