r_kpc,v_obs,v_model
0.87,47.1,34.34046803251814
1.74,65.9,46.763554888334305
2.61,76.1,56.71093905412293
3.5,85.7,60.184377063237164
4.37,96.6,67.58232614497534
5.24,99.3,71.98388779558299
6.11,103.0,76.29551199049222
6.98,107.0,80.42110427816789
7.85,111.0,84.23360247814284
8.72,114.0,87.51358566174744
9.6,115.0,86.16487493183824
10.47,111.0,83.23942324408104
11.35,110.0,81.81599047554784
12.31,111.0,77.77169368975622
13.12,109.0,74.7876340987169
14.05,108.0,72.49888676996206
14.98,109.0,71.20921264049036
16.03,111.0,69.1061763828095
16.95,110.0,66.871127546751
17.88,109.0,65.9721949384649
18.93,110.0,64.21157009016656
19.97,112.0,62.36995014346846
21.02,113.0,61.0142342802633
