kautsch_name,kautsch_sdss,RA_match_deg,DE_match_deg,nearest_sparc_name,nearest_sep_deg
J000003.33-104315.8,J000003.33-104315.8,0.01389583,-10.72108306,UGCA444,4.765526010688183
J000151.29-092430.3,J000151.29-092430.3,0.463725,-9.40843556,UGCA444,6.055512932178453
J000222.39-102543.6,J000222.39-102543.6,0.5933125,-10.4287875,UGCA444,5.036083064605081
J000301.47-001901.8,J000301.47-001901.8,0.756125,-0.31718389,UGC00191,11.972538491362176
J000347.01-000350.3,J000347.01-000350.3,0.94590417,-0.06397361,UGC00191,11.669054068692363
J000530.43-095701.2,J000530.43-095701.2,1.3768,-9.95034,UGCA444,5.580753688766352
J000542.53-111048.8,J000542.53-111048.8,1.4272125,-11.18023889,UGCA444,4.379351298889949
J000619.88-092744.8,J000619.88-092744.8,1.58285,-9.46247056,UGCA444,6.095237614486461
J000628.86-004702.9,J000628.86-004702.9,1.62027083,-0.78414389,UGC00191,12.143897110526714
J000641.10-105825.9,J000641.10-105825.9,1.67125417,-10.97387389,UGCA444,4.634549040208477
J000741.22-004145.3,J000741.22-004145.3,1.92175833,-0.69593056,UGC00191,11.978546242757346
J000919.54+003557.2,J000919.54+003557.2,2.33144583,0.59923833,UGC00191,10.621863357903269
J000924.17+003216.2,J000924.17+003216.2,2.35071667,0.53784583,UGC00191,10.676540893664463
J000941.16-003152.4,J000941.16-003152.4,2.421525,-0.53122611,UGC00191,11.699675036328689
J000949.38-004103.1,J000949.38-004103.1,2.45575833,-0.68422056,UGC00191,11.841599262717253
J001018.23+001223.7,J001018.23+001223.7,2.5759625,0.20659028,UGC00191,10.945961379200451
J001028.98-004611.9,J001028.98-004611.9,2.62077917,-0.76999,UGC00191,11.891367613002785
J001046.65-005332.4,J001046.65-005332.4,2.69439167,-0.89235278,UGC00191,11.996957356764723
J001119.24-011258.4,J001119.24-011258.4,2.83020417,-1.21624611,UGC00191,12.290320550754867
J001207.38-111204.5,J001207.38-111204.5,3.03077083,-11.20126444,UGCA444,4.926747041278756
J001216.34-011008.4,J001216.34-011008.4,3.06809167,-1.16901417,UGC00191,12.203942091385873
J001234.47+000259.2,J001234.47+000259.2,3.14362917,0.04978778,UGC00191,10.989184512615346
J001247.58+003122.8,J001247.58+003122.8,3.19827917,0.52302278,UGC00191,10.513547768538562
J001252.80-104807.7,J001252.80-104807.7,3.2200125,-10.80215722,UGCA444,5.365526418420254
J001330.62+004042.5,J001330.62+004042.5,3.37760417,0.67847306,UGC00191,10.330764284983198
J001343.81-002735.7,J001343.81-002735.7,3.43255,-0.45993361,UGC00191,11.448751364048007
J001347.32+004601.7,J001347.32+004601.7,3.447175,0.76715806,UGC00191,10.23239667701744
J001350.11-095855.6,J001350.11-095855.6,3.45880833,-9.9821375,UGCA444,6.198498688613946
J001426.40+000651.7,J001426.40+000651.7,3.61002083,0.11438556,UGC00191,10.855944129635883
J001427.62-101537.1,J001427.62-101537.1,3.6150875,-10.26032361,UGCA444,6.028632253702121
J001500.08-110803.9,J001500.08-110803.9,3.75035833,-11.134425,UGCA444,5.366399673197255
J001505.86-000022.5,J001505.86-000022.5,3.77445417,-0.00627056,UGC00191,10.95591926804691
J001514.98-084803.9,J001514.98-084803.9,3.81245,-8.80110417,UGCA444,7.410948933615187
J001539.87-001601.4,J001539.87-001601.4,3.91613333,-0.26707417,UGC00191,11.200412754960997
J001555.43-095012.0,J001555.43-095012.0,3.980975,-9.83667861,UGCA444,6.576374150187608
J001600.06+001045.8,J001600.06+001045.8,4.00026667,0.17939833,UGC00191,10.747937508791692
J001625.35-093303.0,J001625.35-093303.0,4.10563333,-9.55085833,UGCA444,6.8849197181283674
J001706.06+011526.7,J001706.06+011526.7,4.27528333,1.25743722,UGC00191,9.650369354346719
J001707.71-092650.2,J001707.71-092650.2,4.28214583,-9.44729361,UGCA444,7.063081279430249
J001727.48-093427.1,J001727.48-093427.1,4.36453333,-9.57421389,UGCA444,6.997926292899549
J001941.67+002232.3,J001941.67+002232.3,4.9236625,0.37564861,UGC00191,10.50410695657618
J002011.52+000024.6,J002011.52+000024.6,5.04803333,0.00684722,UGC00191,10.872490365863483
J002025.77-000323.9,J002025.77-000323.9,5.10739167,-0.05664861,UGC00191,10.936287461524724
J002034.68-002814.7,J002034.68-002814.7,5.14452083,-0.47077333,UGC00191,11.350737904681708
J002151.15-092932.1,J002151.15-092932.1,5.46314583,-9.49225556,UGCA444,7.694215760645452
J002228.25-104154.5,J002228.25-104154.5,5.61773333,-10.69848722,UGCA444,6.901163909222848
J002312.64-085644.1,J002312.64-085644.1,5.80270833,-8.94560056,UGCA444,8.3309544567755
J002400.49-102207.9,J002400.49-102207.9,6.0020625,-10.36888139,UGCA444,7.40186656009428
J002414.39+001936.2,J002414.39+001936.2,6.05996667,0.3267475,UGC00191,10.602900854015543
J002609.29-094545.4,J002609.29-094545.4,6.53875,-9.76262917,UGCA444,8.203539192454606
J002621.29+000914.9,J002621.29+000914.9,6.58871667,0.15415194,UGC00191,10.837669396202608
J002625.07-011433.0,J002625.07-011433.0,6.604475,-1.24250056,UGC00191,12.223617584759294
J002710.54-101920.4,J002710.54-101920.4,6.7939375,-10.32233528,UGCA444,8.009396802013853
J002758.53-000626.4,J002758.53-000626.4,6.99390833,-0.10733889,UGC00191,11.160212033418185
J002833.51-011048.6,J002833.51-011048.6,7.13964167,-1.18018417,UGC00634,12.028771682905557
J002844.84+160058.9,J002844.84+160058.9,7.18684167,16.01637833,NGC0100,1.2220642104423516
J002859.79+155814.1,J002859.79+155814.1,7.24915833,15.97058639,NGC0100,1.2951697394951835
J002905.78-001344.8,J002905.78-001344.8,7.2741,-0.22912861,UGC00634,11.252845421240439
J002908.36+155356.8,J002908.36+155356.8,7.284875,15.89911944,NGC0100,1.3562797421199402
J002924.12+001856.7,J002924.12+001856.7,7.3505125,0.31577667,UGC00191,10.814118576475488
J002943.60-101614.7,J002943.60-101614.7,7.43167083,-10.27077667,UGCA444,8.527013253675898
J002946.94-093738.6,J002946.94-093738.6,7.44561667,-9.62740972,UGCA444,8.949709412070003
J003030.78-004649.8,J003030.78-004649.8,7.62825417,-0.78052,UGC00634,11.403906869055989
J003109.65-085934.3,J003109.65-085934.3,7.79024583,-8.99287972,UGCA444,9.627791202892894
J003135.85+143644.1,J003135.85+143644.1,7.89940833,14.61227222,NGC0100,2.6112980373059846
J003136.11+001006.1,J003136.11+001006.1,7.900475,0.16836472,UGC00634,10.528439667605673
J003144.44+010545.7,J003144.44+010545.7,7.93518333,1.09602889,UGC00634,9.864745595405745
J003156.82-101508.6,J003156.82-101508.6,7.98677917,-10.25240139,UGCA444,8.972949867770634
J003217.14+002920.1,J003217.14+002920.1,8.07145417,0.48894389,UGC00634,10.180886177783599
J003224.46-005306.6,J003224.46-005306.6,8.10192083,-0.88519333,UGC00634,11.169875450551533
J003239.04-005552.5,J003239.04-005552.5,8.16269167,-0.93125056,UGC00634,11.166040990067442
J003327.76-110612.4,J003327.76-110612.4,8.36567917,-11.10344806,UGCA444,8.815238154545392
J003443.50-000226.7,J003443.50-000226.7,8.6812875,-0.04075917,UGC00634,10.151537954887942
J003526.35-094537.1,J003526.35-094537.1,8.859825,-9.76031028,UGCA444,9.95770438701526
J003527.89-104639.5,J003527.89-104639.5,8.86625,-10.77765194,UGCA444,9.404134881873347
J003547.00+010805.1,J003547.00+010805.1,8.94584583,1.13475194,UGC00634,9.106456414973294
J003600.31-091140.5,J003600.31-091140.5,9.00129583,-9.19459778,UGCA444,10.40856269371211
J003630.30-001714.4,J003630.30-001714.4,9.126275,-0.28735833,UGC00634,10.059589218127527
J003710.89-000400.0,J003710.89-000400.0,9.29539583,-0.06668778,UGC00634,9.781578100726488
J003723.69+150143.6,J003723.69+150143.6,9.3487125,15.02879111,NGC0100,3.5266624278939642
J003752.17+153615.1,J003752.17+153615.1,9.46740417,15.6042075,NGC0100,3.4360632667129725
J003821.40-005714.5,J003821.40-005714.5,9.58920833,-0.95404639,UGC00634,10.328831081631927
J003847.43+142858.9,J003847.43+142858.9,9.69766667,14.48303556,NGC0100,4.077822300134065
J003924.57-085002.9,J003924.57-085002.9,9.85239167,-8.83415472,UGCA444,11.29549716107075
J003929.67+010349.9,J003929.67+010349.9,9.87363333,1.06387222,UGC00634,8.538128773699935
J003948.38-090834.5,J003948.38-090834.5,9.9516,-9.14294306,UGCA444,11.192891394653236
J004030.80+011212.9,J004030.80+011212.9,10.1283375,1.20358556,UGC00634,8.268802497518017
J004044.65-101712.1,J004044.65-101712.1,10.18605833,-10.28670639,NGC0247,10.586098769137259
J004111.59+150309.7,J004111.59+150309.7,10.29833333,15.05271583,NGC0100,4.3670166414440725
J004116.18+151301.5,J004116.18+151301.5,10.31742083,15.21708972,NGC0100,4.331823648151989
J004144.02-084603.0,J004144.02-084603.0,10.43344167,-8.76751972,UGCA444,11.798350040512124
J004152.13-102739.6,J004152.13-102739.6,10.467225,-10.46100278,NGC0247,10.377117331095835
J004152.16-093014.8,J004152.16-093014.8,10.46734583,-9.50413333,NGC0247,11.327693867905722
J004153.50-092943.9,J004153.50-092943.9,10.47294167,-9.49553556,NGC0247,11.335637185884618
J004158.03+152121.2,J004158.03+152121.2,10.49182083,15.35591278,NGC0100,4.453835645787382
J004200.64-095004.0,J004200.64-095004.0,10.50270417,-9.83444722,NGC0247,10.995549717912917
J004217.85+002214.0,J004217.85+002214.0,10.57438333,0.37057278,UGC00634,8.68056485925218
J004221.67+154321.4,J004221.67+154321.4,10.590325,15.72263111,NGC0100,4.4645148680883935
J004232.25+151521.4,J004232.25+151521.4,10.63439583,15.25596722,NGC0100,4.6132731258134205
J004233.75-085253.3,J004233.75-085253.3,10.64064583,-8.88149833,UGCA444,11.900552254726476
J004234.77-093918.1,J004234.77-093918.1,10.64489583,-9.6550525,NGC0247,11.159563496243871
J004304.16-093242.9,J004304.16-093242.9,10.76735,-9.54525361,NGC0247,11.257966415730218
J004320.41-103733.0,J004320.41-103733.0,10.83507917,-10.62583333,NGC0247,10.175667020063404
J004321.60-110546.2,J004321.60-110546.2,10.84,-11.09618389,NGC0247,9.706776991655028
J004344.21+152014.7,J004344.21+152014.7,10.9342375,15.33741694,NGC0100,4.871050648302485
J004438.38-111119.6,J004438.38-111119.6,11.1599375,-11.18878028,NGC0247,9.590448746102354
J004522.14-002606.3,J004522.14-002606.3,11.34226667,-0.43509306,UGC00634,8.999555675765563
J004534.68-105914.0,J004534.68-105914.0,11.39450833,-10.98722333,NGC0247,9.780393417747295
J004616.33-091719.2,J004616.33-091719.2,11.56808333,-9.28866806,NGC0247,11.473648286745616
