preferred_name,catalog_name_normalized,MType,gmag,rmag,imag,gmue,rmue,imue,z,e_z,RAJ2000_deg,DEJ2000_deg,RAJ2000,DEJ2000,axial_ratio_r,major_diam_r_arcsec,edge_likelihood_r,source_catalog,_Glon,_Glat,_RAJ2000,_DEJ2000,_RAB1950,_DEB1950,_Elon2000,_Elat2000,SDSS,e_gmag,e_rmag,e_imag,el(g),el(r),el(i),CI(g),CI(r),CI(i),Diam(g),Diam(r),Diam(i),a/b(g),a/b(r),a/b(i),kautsch_name,kautsch_name_norm,kautsch_catalog_token,RA_match_deg,DE_match_deg,kautsch_sdss_norm,kautsch_sdss_token,matched,match_reason,matched_sparc_name,matched_sparc_index,matched_sep_deg
J000003.33-104315.8,J000003.33104315.8,Sb(f) ,17.32,16.57,16.01,22.3,21.56,21.0,0.0829,0.0001038,0.01389583,-10.72108306,00 00 03.335,-10 43 15.90,5.294,41.511,0.74,Kautsch 2006,84.08653912,-69.6183405,0.01389583,-10.72108306,359.37289336,-10.99944766,355.70572651,-9.83272526,J000003.33-104315.8,0.09,0.04,0.06,0.746,0.74,0.735,2.801,3.032,3.162,37.73,41.511,42.443,5.863,5.294,4.469,J000003.33-104315.8,J000003.33-104315.8,J000003.33-104315.8,0.01389583,-10.72108306,J000003.33-104315.8,J000003.33-104315.8,False,unmatched,,,
J000151.29-092430.3,J000151.29092430.3,Scd(f),17.71,17.13,16.89,22.45,21.86,21.63,0.076,5.085e-05,0.463725,-9.40843556,00 01 51.294,-09 24 30.37,4.396,31.807,0.785,Kautsch 2006,87.15430219,-68.76269061,0.463725,-9.40843556,359.82312632,-9.68680125,356.65269319,-8.80998091,J000151.29-092430.3,0.03,0.02,0.04,0.815,0.785,0.779,2.091,2.286,2.337,32.166,31.807,32.652,5.373,4.396,4.453,J000151.29-092430.3,J000151.29-092430.3,J000151.29-092430.3,0.463725,-9.40843556,J000151.29-092430.3,J000151.29-092430.3,False,unmatched,,,
J000222.39-102543.6,J000222.39102543.6,Sd(f) ,18.51,17.93,17.59,22.89,22.3,21.96,,,0.5933125,-10.4287875,00 02 22.395,-10 25 43.63,4.871,24.546,0.838,Kautsch 2006,85.91563505,-69.69248921,0.5933125,-10.4287875,359.95284427,-10.70715251,356.35431586,-9.79522805,J000222.39-102543.6,0.06,0.05,0.05,0.854,0.838,0.827,2.046,2.286,2.289,32.657,24.546,25.162,9.395,4.871,4.213,J000222.39-102543.6,J000222.39-102543.6,J000222.39-102543.6,0.5933125,-10.4287875,J000222.39-102543.6,J000222.39-102543.6,False,unmatched,,,
J000301.47-001901.8,J000301.47001901.8,Sb(f) ,17.51,16.6,16.13,21.6,20.69,20.23,0.0843,9.44e-05,0.756125,-0.31718389,00 03 01.470,-00 19 01.86,3.859,33.914,0.635,Kautsch 2006,97.49892214,-60.77573981,0.756125,-0.31718389,0.11542686,-0.59552785,0.56757205,-0.59177548,J000301.47-001901.8,0.13,0.1,0.1,0.625,0.635,0.629,3.031,3.406,3.556,32.782,33.914,35.62,5.102,3.859,3.361,J000301.47-001901.8,J000301.47-001901.8,J000301.47-001901.8,0.756125,-0.31718389,J000301.47-001901.8,J000301.47-001901.8,False,unmatched,,,
J000347.01-000350.3,J000347.01000350.3,Sc(f) ,17.49,17.02,16.68,22.41,21.95,21.6,0.0625,6.732e-05,0.94590417,-0.06397361,00 03 47.017,-00 03 50.30,4.446,34.902,0.713,Kautsch 2006,98.05354106,-60.61314407,0.94590417,-0.06397361,0.30520025,-0.34230863,0.84241753,-0.43494055,J000347.01-000350.3,0.02,0.02,0.02,0.749,0.713,0.691,2.497,2.381,2.75,35.999,34.902,37.593,5.507,4.446,4.339,J000347.01-000350.3,J000347.01-000350.3,J000347.01-000350.3,0.94590417,-0.06397361,J000347.01-000350.3,J000347.01-000350.3,False,unmatched,,,
J000530.43-095701.2,J000530.43095701.2,Sd(f) ,17.67,17.2,16.86,22.74,22.27,21.93,0.055,7.188e-05,1.3768,-9.95034,00 05 30.432,-09 57 01.22,4.732,34.892,0.828,Kautsch 2006,88.53069281,-69.69308583,1.3768,-9.95034,0.73699916,-10.22866012,357.26605954,-9.6686303,J000530.43-095701.2,0.04,0.03,0.04,0.87,0.828,0.811,2.132,2.246,2.307,37.43,34.892,37.712,5.941,4.732,4.915,J000530.43-095701.2,J000530.43-095701.2,J000530.43-095701.2,1.3768,-9.95034,J000530.43-095701.2,J000530.43-095701.2,False,unmatched,,,
J000542.53-111048.8,J000542.53111048.8,Sb(f) ,17.4,17.1,16.91,22.31,22.01,21.82,0.04,4.851e-05,1.4272125,-11.18023889,00 05 42.531,-11 10 48.86,4.536,36.395,0.767,Kautsch 2006,86.7535589,-70.76736108,1.4272125,-11.18023889,0.78757489,-11.45855632,356.80706234,-10.81366118,J000542.53-111048.8,0.04,0.05,0.04,0.77,0.767,0.761,2.868,2.754,2.922,41.873,36.395,43.693,5.972,4.536,5.789,J000542.53-111048.8,J000542.53-111048.8,J000542.53-111048.8,1.4272125,-11.18023889,J000542.53-111048.8,J000542.53-111048.8,False,unmatched,,,
J000619.88-092744.8,J000619.88092744.8,Sc(f) ,16.93,16.29,15.95,21.85,21.21,20.88,0.0555,0.0001026,1.58285,-9.46247056,00 06 19.884,-09 27 44.89,3.665,35.984,0.694,Kautsch 2006,89.73378196,-69.37322383,1.58285,-9.46247056,0.94317385,-9.74076965,357.65391545,-9.3040475,J000619.88-092744.8,0.01,0.02,0.01,0.703,0.694,0.688,2.478,2.547,2.549,33.052,35.984,39.172,3.804,3.665,3.728,J000619.88-092744.8,J000619.88-092744.8,J000619.88-092744.8,1.58285,-9.46247056,J000619.88-092744.8,J000619.88-092744.8,False,unmatched,,,
J000628.86-004702.9,J000628.86004702.9,Sa(f) ,16.08,15.16,14.71,19.66,18.75,18.29,0.0443,9.348e-05,1.62027083,-0.78414389,00 06 28.865,-00 47 02.92,4.241,55.102,0.527,Kautsch 2006,98.79957359,-61.53140115,1.62027083,-0.78414389,0.979659,-1.06242504,1.17474241,-1.36390478,J000628.86-004702.9,0.03,0.03,0.03,0.505,0.527,0.519,2.845,2.874,2.972,45.955,55.102,58.408,4.187,4.241,3.734,J000628.86-004702.9,J000628.86-004702.9,J000628.86-004702.9,1.62027083,-0.78414389,J000628.86-004702.9,J000628.86-004702.9,False,unmatched,,,
J000641.10-105825.9,J000641.10105825.9,Sc(f) ,16.64,16.25,15.9,22.89,22.5,22.15,0.0227,5.682e-05,1.67125417,-10.97387389,00 06 41.101,-10 58 25.95,3.574,44.229,0.705,Kautsch 2006,87.70087038,-70.71902404,1.67125417,-10.97387389,1.03182977,-11.25216556,357.11501243,-10.7218937,J000641.10-105825.9,0.84,0.99,0.87,0.696,0.705,0.651,2.539,2.652,2.669,39.452,44.229,47.994,3.658,3.574,3.212,J000641.10-105825.9,J000641.10-105825.9,J000641.10-105825.9,1.67125417,-10.97387389,J000641.10-105825.9,J000641.10-105825.9,False,unmatched,,,
J000741.22-004145.3,J000741.22004145.3,Sc(f) ,16.92,16.18,15.81,21.42,20.67,20.3,0.0735,0.0001082,1.92175833,-0.69593056,00 07 41.222,-00 41 45.35,3.249,35.123,0.667,Kautsch 2006,99.45653913,-61.55737243,1.92175833,-0.69593056,1.2811586,-0.97417449,1.48651198,-1.40286013,J000741.22-004145.3,0.02,0.02,0.02,0.675,0.667,0.65,2.481,2.699,2.715,31.69,35.123,32.73,3.758,3.249,2.406,J000741.22-004145.3,J000741.22-004145.3,J000741.22-004145.3,1.92175833,-0.69593056,J000741.22-004145.3,J000741.22-004145.3,False,unmatched,,,
J000919.54+003557.2,J000919.54+003557.2,Sb(f) ,16.52,15.72,15.3,21.11,20.3,19.88,0.06,9.067e-05,2.33144583,0.59923833,00 09 19.547,+00 35 57.26,4.868,53.034,0.683,Kautsch 2006,101.16611427,-60.48060098,2.33144583,0.59923833,1.69065496,0.32105922,2.37744521,-0.37731161,J000919.54+003557.2,0.1,0.08,0.06,0.718,0.683,0.677,2.973,3.204,3.302,51.629,53.034,53.238,6.022,4.868,4.462,J000919.54+003557.2,J000919.54+003557.2,J000919.54+003557.2,2.33144583,0.59923833,J000919.54+003557.2,J000919.54+003557.2,False,unmatched,,,
J000924.17+003216.2,J000924.17+003216.2,Scd(f),18.36,17.62,17.44,22.76,22.01,21.83,0.0798,6.654e-05,2.35071667,0.53784583,00 09 24.172,+00 32 16.24,6.445,32.993,0.795,Kautsch 2006,101.16190152,-60.54491325,2.35071667,0.53784583,1.70993564,0.25966993,2.37072672,-0.4413056,J000924.17+003216.2,0.04,0.02,0.05,0.81,0.795,0.814,2.227,2.506,2.136,30.648,32.993,32.352,6.731,6.445,5.573,J000924.17+003216.2,J000924.17+003216.2,J000924.17+003216.2,2.35071667,0.53784583,J000924.17+003216.2,J000924.17+003216.2,False,unmatched,,,
