preferred_name,catalog_name_normalized,MType,gmag,rmag,imag,gmue,rmue,imue,z,e_z,RAJ2000_deg,DEJ2000_deg,RAJ2000,DEJ2000,axial_ratio_r,major_diam_r_arcsec,edge_likelihood_r,source_catalog,_Glon,_Glat,_RAJ2000,_DEJ2000,_RAB1950,_DEB1950,_Elon2000,_Elat2000,SDSS,e_gmag,e_rmag,e_imag,el(g),el(r),el(i),CI(g),CI(r),CI(i),Diam(g),Diam(r),Diam(i),a/b(g),a/b(r),a/b(i),kautsch_name,kautsch_name_norm,kautsch_catalog_token,RA_match_deg,DE_match_deg,kautsch_sdss_norm,kautsch_sdss_token,matched,match_reason,matched_sparc_name,matched_sparc_index,matched_sep_deg
J024603.37+001328.3,J024603.37+001328.3,Sb(f) ,17.35,16.69,16.48,22.62,21.96,21.75,,,41.51404583,0.22453306,02 46 03.371,+00 13 28.32,5.722,46.485,0.703,Kautsch 2006,172.84409775,-51.18696424,41.51404583,0.22453306,40.87301268,0.01507411,39.152564,-15.07306827,J024603.37+001328.3,0.04,0.02,0.03,0.718,0.703,0.704,2.583,2.86,2.994,50.567,46.485,48.965,7.859,5.722,5.739,J024603.37+001328.3,J024603.37+001328.3,J024603.37+001328.3,41.51404583,0.22453306,J024603.37+001328.3,J024603.37+001328.3,True,coord_review,NGC1090,41.0,0.4884470662769816
J024721.70-002744.9,J024721.70002744.9,Sb(f) ,16.41,15.56,15.08,21.44,20.59,20.11,0.0752,7.727e-05,41.84045,-0.46249694,02 47 21.708,-00 27 44.99,3.683,43.346,0.643,Kautsch 2006,173.97867335,-51.46242368,41.84045,-0.46249694,41.20162566,-0.6709056,39.25500423,-15.82725596,J024721.70-002744.9,0.01,0.01,0.02,0.635,0.643,0.641,2.663,2.789,2.873,37.361,43.346,38.95,3.595,3.683,2.125,J024721.70-002744.9,J024721.70-002744.9,J024721.70-002744.9,41.84045,-0.46249694,J024721.70-002744.9,J024721.70-002744.9,True,coord_review,NGC1090,41.0,0.29338279530312417
J081815.72+500746.8,J081815.72+500746.8,Sc(f) ,17.21,16.77,16.58,21.93,21.49,21.3,0.0429,5.299e-05,124.56554167,50.12967694,08 18 15.730,+50 07 46.84,3.127,32.07,0.598,Kautsch 2006,168.94224666,34.12315375,124.56554167,50.12967694,123.64829096,50.28572151,114.73073803,29.61579489,J081815.72+500746.8,0.02,0.02,0.02,0.597,0.598,0.579,2.15,2.271,2.303,30.521,32.07,33.545,3.227,3.127,3.383,J081815.72+500746.8,J081815.72+500746.8,J081815.72+500746.8,124.56554167,50.12967694,J081815.72+500746.8,J081815.72+500746.8,True,coord_review,UGC04325,115.0,0.2108269873560203
J091936.19+505246.3,J091936.19+505246.3,Sb(f) ,15.42,14.64,14.23,21.77,20.99,20.57,,,139.90082083,50.87955417,09 19 36.197,+50 52 46.39,5.784,100.341,0.737,Kautsch 2006,167.17230603,43.79092652,139.90082083,50.87955417,139.03698535,51.09105934,125.30701647,33.37686865,J091936.19+505246.3,0.01,0.03,,0.768,0.737,0.722,2.791,3.197,3.284,94.35,100.341,95.091,6.45,5.784,4.695,J091936.19+505246.3,J091936.19+505246.3,J091936.19+505246.3,139.90082083,50.87955417,J091936.19+505246.3,J091936.19+505246.3,True,coord_review,NGC2841,46.0,0.39665568459404976
J092120.06+504605.6,J092120.06+504605.6,Sc(f) ,17.41,16.99,16.71,22.16,21.74,21.45,,,140.33358333,50.76823222,09 21 20.060,+50 46 05.64,4.321,31.764,0.741,Kautsch 2006,167.25602755,44.07987863,140.33358333,50.76823222,139.47260347,50.98110167,125.66045451,33.37317345,J092120.06+504605.6,0.01,0.01,0.02,0.743,0.741,0.725,2.324,2.419,2.476,30.176,31.764,34.613,4.287,4.321,4.462,J092120.06+504605.6,J092120.06+504605.6,J092120.06+504605.6,140.33358333,50.76823222,J092120.06+504605.6,J092120.06+504605.6,True,coord_review,NGC2841,46.0,0.2364524256826706
J092238.36+504554.1,J092238.36+504554.1,Sb(f) ,15.95,15.31,14.95,20.95,20.3,19.94,,,140.65987083,50.76504583,09 22 38.369,+50 45 54.16,3.781,48.45,0.767,Kautsch 2006,167.20719754,44.28328122,140.65987083,50.76504583,139.80040905,50.97893479,125.89176354,33.44608779,J092238.36+504554.1,0.04,0.04,0.04,0.773,0.767,0.755,2.682,2.837,2.909,49.279,48.45,54.558,4.537,3.781,4.379,J092238.36+504554.1,J092238.36+504554.1,J092238.36+504554.1,140.65987083,50.76504583,J092238.36+504554.1,J092238.36+504554.1,True,coord_review,NGC2841,46.0,0.23134880502725336
J104721.52+650927.4,J104721.52+650927.4,Sc(f) ,17.33,16.66,16.23,22.06,21.4,20.96,0.0825,8.242e-05,161.83968333,65.15763556,10 47 21.524,+65 09 27.49,3.703,33.498,0.728,Kautsch 2006,141.52831594,47.24156251,161.83968333,65.15763556,161.00640015,65.42139823,129.68400258,51.30626469,J104721.52+650927.4,0.01,0.01,0.02,0.745,0.728,0.728,2.257,2.385,2.419,31.728,33.498,36.992,4.088,3.703,4.192,J104721.52+650927.4,J104721.52+650927.4,J104721.52+650927.4,161.83968333,65.15763556,J104721.52+650927.4,J104721.52+650927.4,True,coord_review,UGC05918,126.0,0.4430977802076746
J105318.39+654209.3,J105318.39+654209.3,Sc(f) ,16.09,15.65,15.49,22.72,22.28,22.13,0.0111,0.000106,163.32666667,65.70260389,10 53 18.400,+65 42 09.37,4.068,72.845,0.729,Kautsch 2006,140.31438217,47.24133205,163.32666667,65.70260389,162.5038223,65.96858486,129.93393801,52.11572855,J105318.39+654209.3,0.02,0.02,0.06,0.736,0.729,0.726,2.242,2.218,2.117,66.171,72.845,74.641,4.141,4.068,4.018,J105318.39+654209.3,J105318.39+654209.3,J105318.39+654209.3,163.32666667,65.70260389,J105318.39+654209.3,J105318.39+654209.3,True,coord_review,UGC05918,126.0,0.41754606292678315
J151553.77+561943.5,J151553.77+561943.5,Sb(f) ,11.6,10.76,10.29,21.35,20.51,20.04,,,228.97404167,56.32877139,15 15 53.770,+56 19 43.58,3.762,205.631,0.884,Kautsch 2006,91.58400049,51.0869057,228.97404167,56.32877139,228.64875658,56.51200543,188.24103318,68.42472575,J151553.77+561943.5,0.54,0.54,0.54,0.887,0.884,0.881,4.481,4.318,3.709,182.633,205.631,217.121,3.375,3.762,3.871,J151553.77+561943.5,J151553.77+561943.5,J151553.77+561943.5,228.97404167,56.32877139,J151553.77+561943.5,J151553.77+561943.5,True,coord_strict,NGC5907,84.0,0.0002072472877160785
J163604.02+390255.9,J163604.02+390255.9,Sd(f) ,16.38,15.56,15.11,22.2,21.38,20.93,,,249.01675833,39.04886833,16 36 04.022,+39 02 55.93,5.493,57.659,0.849,Kautsch 2006,62.33242998,42.23604759,249.01675833,39.04886833,248.58685029,39.14947819,236.15280228,60.04635042,J163604.02+390255.9,0.03,0.03,0.03,0.854,0.849,0.85,2.179,2.254,2.294,54.159,57.659,58.459,5.976,5.493,4.519,J163604.02+390255.9,J163604.02+390255.9,J163604.02+390255.9,249.01675833,39.04886833,J163604.02+390255.9,J163604.02+390255.9,True,coord_exact,NGC6195,87.0,0.09459495404047047
