galaxy,n_points,n_segments,mean_Dw_i,mean_sigma_i,mean_beta_i,mean_info_source_i,mean_v_struct_kms,rmse_vis_only_kms,rmse_topo_kms,mae_vis_only_kms,mae_topo_kms,reduced_chi2_vis_only,reduced_chi2_topo,rmse_improvement_kms,mae_improvement_kms
NGC4068,6,1,2.0593355510021163,0.0,1.0,0.059335551002116294,0.0006526851582587491,6.0332781675934655,6.033278179050453,4.801296271137378,4.801296305618346,5.445130931015962,5.445130938350538,-1.1456987358826609e-08,-3.4480968302830206e-08
UGCA281,6,1,2.1288839663765535,0.0,1.0,0.12888396637655353,0.0008317788005348137,7.177529777039661,7.177529757936244,6.688468146271515,6.6884681181714,21.399920300642766,21.399920152246978,1.9103416626364833e-08,2.8100115123663727e-08
UGC08837,7,2,2.0485210361879664,0.025204998369271037,0.9500240658916554,0.07004150711213566,0.0005719662129904037,8.490305533776496,8.490305534586575,6.9506867492881765,6.950686753467383,9.31837127870333,9.318371288787851,-8.100791148990538e-10,-4.179206314347539e-09
UGC07089,10,3,2.0234916984677884,0.012240115071102084,0.9720856412825526,0.03458177193529798,0.00042079887161326047,15.229946408036618,15.229946406828526,12.303559329756132,12.303559327024455,7.696393487154574,7.696393485563037,1.2080914046919133e-09,2.731676218559187e-09
NGC4010,10,3,2.022823205228913,0.012680058510548578,0.969509334450728,0.03426182002871905,0.00042125208952273037,17.55139775692406,17.551397756438817,15.401422451744116,15.401422450869385,14.345191584623803,14.345191583889099,4.852438451052876e-10,8.747313984258653e-10
DDO168,9,2,2.048143220556609,0.025129852138522812,0.9452501590223938,0.069261383617133,0.0005975394635543761,19.024813323289894,19.024813318191192,15.826201390734967,15.826201379218478,128.81094172142923,128.81094164329053,5.0987019051262905e-09,1.151648909569758e-08
UGC01281,20,5,2.0591358256631267,0.028936401246990772,0.9203867682550848,0.07833495280553933,0.000675585391359701,19.039841709046208,19.039841702373977,16.21440390457922,16.214403894507992,18.972876049072816,18.9728760366806,6.6722307678901416e-09,1.0071229183949981e-08
UGC05750,10,2,2.019366620021896,0.015271622619737357,0.9384597634489551,0.03250659699575458,0.0004826156722717162,21.177236001939548,21.1772359997283,17.68465137815956,17.684651397462403,8.104833924877713,8.104833923185403,2.2112480735358986e-09,-1.930284199147536e-08
NGC3917,14,4,2.0184313512342076,0.010209204109438819,0.9720603122482884,0.027568038440821768,0.00039337253198096494,26.275307983859516,26.275307983531174,23.910904002915338,23.91090400265302,39.657952050238954,39.65795204918439,3.283417981947423e-10,2.623181671879138e-10
NGC0100,17,5,2.028442125867639,0.016384200503421553,0.9442275882253212,0.04082427158890896,0.000523101779438734,27.477769360087667,27.47776935952151,22.47593038297263,22.475930389239178,22.75170568590904,22.751705683855867,5.66156899139969e-10,-6.266546392907912e-09
UGC04278,21,5,2.034817528493467,0.01908242718480029,0.9338662429972254,0.04832367299623906,0.0005887602962699295,27.733839595268694,27.733839591386207,23.36036661759344,23.36036659112923,30.149033019702177,30.14903301017219,3.8824872206078e-09,2.6464206825949077e-08
UGC06917,10,2,2.021287223407773,0.010584508631839906,0.9813610287142799,0.03127767574130018,0.00036376633969270676,30.596331189780688,30.596331188870405,28.244821977626014,28.244821976456215,57.79119508699503,57.79119508328045,9.10283404209622e-10,1.1697984803049621e-09
NGC4183,19,5,2.012747364075024,0.006686461283944123,0.9793454926773684,0.018822239906857413,0.0003424231499988751,33.32695447458726,33.326954473761496,31.374016102312698,31.37401610101732,35.62939113587394,35.62939113415851,8.25764345790958e-10,1.2953762507095234e-09
NGC2683,10,2,2.007314821317814,0.00433807407008957,0.9893430140790791,0.011528710645816303,0.0002464477413247146,34.69083060476303,34.69083060466056,30.871646941735946,30.871646941631713,15.1749967952912,15.174996795248651,1.0246736792396405e-10,1.042330666223279e-10
IC4202,28,5,2.009843504928134,0.005174358578746841,0.9822966617105612,0.01460543666194818,0.0003208316812446394,37.32068988815855,37.32068988852198,25.941003196887227,25.94100319697605,68.3607217596409,68.36072176149294,-3.6343550391393364e-10,-8.882494739737012e-11
NGC2998,11,3,2.020937188184565,0.018011111299414722,0.9217018089580761,0.0349228565879832,0.0004969552916453966,37.33173037461076,37.33173037207996,31.907527665370004,31.907527663071065,200.42843511566008,200.4284351121045,2.5307969053756096e-09,2.2989397052697313e-09
UGC05721,18,5,2.0511428544091124,0.025886691372072425,0.9244146331695466,0.06914342276741321,0.0006191461991323287,37.70865004362226,37.70865003942418,34.50147014985871,34.50147014366732,71.9269365503235,71.92693653485713,4.198078329409327e-09,6.1913922877465666e-09
UGC08490,26,5,2.0247536146944776,0.013259005270981117,0.9578486181939863,0.03553155812699986,0.0004938977097054254,38.11435670120881,38.11435669819508,36.39149888289967,36.39149887870896,110.95778925072966,110.95778923318271,3.013731486589677e-09,4.190710001239495e-09
NGC2403,69,5,2.0267651575145913,0.016460408497649757,0.9275698047405566,0.03858429520907272,0.0005227771516647056,38.14020035207019,38.14020035155624,26.9481844126792,26.94818441251136,2117.2026111001674,2117.2026110057295,5.139497716299957e-10,1.6784085232757207e-10
NGC3198,39,5,2.015547747826916,0.009802708952509231,0.9546847746568521,0.02360711440219313,0.00039809789090442725,38.233093369686515,38.23309337007242,28.66609111276689,28.66609111319416,308.0344533964537,308.03445339228807,-3.85902865218668e-10,-4.2727066329462104e-10
UGC05986,13,3,2.0247641736230424,0.013878155028829239,0.963969460768185,0.037040810632000785,0.0004577113680146226,39.21030770006691,39.210307698866416,35.005928290617334,35.00592828998283,159.98877964927615,159.98877963931054,1.2004974792034773e-09,6.345004521790543e-10
