r_kpc,v_obs,v_model
0.37,183.0,12773.83845828296
0.74,196.0,4755.00551261971
1.11,205.0,1.053565375285274e-06
1.48,211.0,1.2165525060596438e-06
1.84,214.0,1.3564659966250537e-06
2.21,214.0,1.4866068747318505e-06
2.6,213.0,1.61245154965971e-06
2.96,211.0,1.7204650534085253e-06
3.17,210.0,1.7804493814764855e-06
3.33,209.0,1.8248287590894659e-06
3.7,207.0,1.9235384061671345e-06
4.07,206.0,2.0174241001832015e-06
4.44,205.0,2.107130750570548e-06
4.81,205.0,2.193171219946131e-06
5.18,206.0,2.2759613353482084e-06
5.55,207.0,2.355843797877949e-06
5.92,208.0,2.4331050121192877e-06
6.28,210.0,2.5059928172283337e-06
6.34,210.0,2.5179356624028345e-06
6.65,212.0,2.5787593916455255e-06
7.03,214.0,2.6514147167125704e-06
7.39,215.0,2.718455443813637e-06
7.77,216.0,2.7874719729532707e-06
8.14,217.0,2.8530685235374213e-06
8.51,218.0,2.917190429162964e-06
8.88,218.0,2.979932885150268e-06
9.25,218.0,3.04138126514911e-06
9.52,218.0,3.0854497241083026e-06
9.62,218.0,3.1016124838541647e-06
9.99,217.0,3.1606961258558217e-06
10.4,217.0,3.22490309931942e-06
10.71,216.0,3.2726136343907146e-06
11.12,215.0,3.334666400106613e-06
12.67,212.0,3.5594943461115373e-06
12.98,211.0,3.602776706930364e-06
15.86,209.0,3.982461550347976e-06
19.05,215.0,4.364630568559039e-06
22.14,215.0,4.705316142407436e-06
25.34,210.0,5.033885179461287e-06
28.53,196.0,5.341348144429457e-06
31.72,185.0,5.63205113613149e-06
34.91,182.0,5.908468498688979e-06
38.0,181.0,6.1644140029689764e-06
