r_kpc,v_obs,v_model
0.62,35.1,5360.218389172062
1.23,64.6,4108.668137455218
1.83,80.1,1.3527749258468684e-06
2.47,113.0,1.5716233645501712e-06
3.08,136.0,1.7549928774784246e-06
3.68,150.0,1.918332609325088e-06
4.32,171.0,2.078460969082653e-06
4.91,192.0,2.2158519806160336e-06
5.53,197.0,1916.5896358563405
6.17,195.0,2863.244163980321
6.78,196.0,3398.5715390532223
7.38,216.0,2489.6458195170544
8.0,225.0,2.82842712474619e-06
8.62,240.0,2.9359836511806395e-06
9.23,247.0,3.0380915061926624e-06
9.85,254.0,3.1384709652950433e-06
10.43,257.0,3.2295510523910284e-06
11.05,273.0,3.3241540277189324e-06
11.67,272.0,3.4161381705077446e-06
12.19,270.0,3.491418050019218e-06
12.91,279.0,3.5930488446443366e-06
14.56,287.0,3.815756805667783e-06
16.63,291.0,4.077989700820736e-06
17.77,286.0,4.215447781671599e-06
18.49,288.0,4.2999999999999995e-06
20.24,289.0,4.498888751680797e-06
22.62,288.0,4.756048780237646e-06
24.89,269.0,4.988987873306569e-06
27.06,267.0,5.2019227214559806e-06
29.13,272.0,5.397221507405454e-06
31.3,274.0,5.594640292279746e-06
33.46,259.0,5.7844619455918285e-06
35.53,272.0,5.960704656330491e-06
37.7,274.0,6.1400325732035005e-06
39.87,272.0,6.314269553954756e-06
41.93,266.0,6.47533782902483e-06
